time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
1.064,6.2000,0.01,0.0000,4.2629,48.31,nan,ramp_up
1.064,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.064,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.064,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.064,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.065,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
1.066,6.2000,0.29,6.0297,4.2629,48.24,nan,ramp_up
