time_s,encoder_pos_rad,output_torque_Nm,cycle
0.009735,-0.000479369,0.000000,1
0.023526,-0.000671117,0.004000,1
0.037446,0.000191748,0.008000,1
0.051882,-0.000287621,0.012000,1
0.065438,-0.000575243,0.016000,1
0.079390,-0.000383495,0.020000,1
0.093358,-0.000287621,0.024000,1
0.106498,-0.000383495,0.028000,1
0.120767,-0.000383495,0.032000,1
0.134231,-0.000575243,0.036000,1
0.148062,-0.000958738,0.040000,1
0.161582,0.000191748,0.044000,1
0.175073,-0.000671117,0.048000,1
0.189690,-0.000479369,0.052000,1
0.203456,-0.000671117,0.056000,1
0.217168,-0.000287621,0.060000,1
0.231415,-0.000479369,0.064000,1
0.244913,-0.000479369,0.068000,1
0.258962,-0.000671117,0.072000,1
0.273031,-0.000383495,0.076000,1
0.286724,-0.000383495,0.080000,1
0.300782,-0.000671117,0.084000,1
0.314772,-0.000575243,0.088000,1
0.328475,-0.000287621,0.092000,1
0.342283,-0.000766990,0.096000,1
0.356473,-0.000671117,0.100000,1
0.370071,-0.000479369,0.104000,1
0.383649,-0.000479369,0.108000,1
0.397233,-0.000671117,0.112000,1
0.411866,-0.000862864,0.116000,1
0.425430,-0.000671117,0.120000,1
0.438861,-0.000575243,0.124000,1
0.452905,-0.000671117,0.128000,1
0.466557,-0.000766990,0.132000,1
0.480127,-0.000862864,0.136000,1
0.494114,-0.000383495,0.140000,1
0.507941,-0.000575243,0.144000,1
0.522105,-0.000287621,0.148000,1
0.535983,-0.000671117,0.152000,1
0.549820,-0.000862864,0.156000,1
0.563582,-0.000575243,0.160000,1
0.577224,-0.000862864,0.164000,1
0.590659,-0.001054612,0.168000,1
0.604542,-0.000958738,0.172000,1
0.618723,-0.000671117,0.176000,1
0.633432,-0.000671117,0.180000,1
0.646766,-0.000862864,0.184000,1
0.661110,-0.001533981,0.188000,1
0.675167,-0.001054612,0.192000,1
0.689766,-0.000766990,0.196000,1
0.703324,-0.001438107,0.200000,1
0.717825,-0.001342233,0.204000,1
0.731865,-0.001054612,0.208000,1
0.746312,-0.000958738,0.212000,1
0.759708,-0.001533981,0.216000,1
0.773517,-0.001150486,0.220000,1
0.787075,-0.000862864,0.224000,1
0.800587,-0.001150486,0.228000,1
0.814484,-0.001150486,0.232000,1
0.828628,-0.001054612,0.236000,1
0.842224,-0.001150486,0.240000,1
0.856021,-0.001246359,0.244000,1
0.870268,-0.001246359,0.248000,1
0.884185,-0.001342233,0.252000,1
0.898381,-0.001438107,0.256000,1
0.912470,-0.001246359,0.260000,1
0.926266,-0.001438107,0.264000,1
0.940033,-0.001342233,0.268000,1
0.954598,-0.001533981,0.272000,1
0.968455,-0.001150486,0.276000,1
0.982788,-0.001533981,0.280000,1
0.996714,-0.001533981,0.284000,1
1.010576,-0.001342233,0.288000,1
1.024167,-0.001246359,0.292000,1
1.037725,-0.001342233,0.296000,1
1.051350,-0.001629855,0.300000,1
1.065545,-0.001342233,0.304000,1
