time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.635,3.8000,0.03,0.0000,3.3102,48.28,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.635,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
0.636,3.8000,0.17,3.7259,3.3102,48.24,nan,ramp_up
