time_s,encoder_pos_rad,output_torque_Nm,cycle
0.008728,-0.000958738,0.000000,1
0.023391,0.000095874,0.020000,1
0.037738,-0.000862864,0.040000,1
0.052045,0.000095874,0.060000,1
0.066755,-0.000575243,0.080000,1
0.081393,0.000000000,0.100000,1
0.095620,-0.000479369,0.120000,1
0.110445,-0.000191748,0.140000,1
0.125080,0.000575243,0.160000,1
0.139972,0.001150486,0.180000,1
0.154187,0.000958738,0.200000,1
0.168038,0.001438107,0.220000,1
0.181460,0.001917476,0.240000,1
0.195008,0.002684466,0.260000,1
0.209553,0.003930826,0.280000,1
0.223305,0.004314321,0.300000,1
0.238055,0.006040049,0.320000,1
0.251744,0.007861652,0.340000,1
0.266188,0.011025487,0.360000,1
0.279987,0.016106798,0.380000,1
0.293456,0.017832527,0.400000,1
0.306711,0.018311896,0.420000,1
0.320305,0.018887138,0.440000,1
0.334491,0.019558255,0.460000,1
0.348216,0.020804614,0.480000,1
0.361712,0.022146848,0.500000,1
0.376081,0.022913838,0.520000,1
0.390309,0.023584955,0.540000,1
0.404396,0.023968450,0.560000,1
0.419336,0.023968450,0.580000,1
0.433601,0.024927188,0.600000,1
0.448380,0.024735440,0.620000,1
0.463520,0.025598304,0.640000,1
0.478420,0.026461169,0.660000,1
0.492354,0.026077673,0.680000,1
0.506307,0.027515780,0.700000,1
0.522213,0.028282771,0.720000,1
0.536995,0.028282771,0.740000,1
0.552121,0.028953887,0.760000,1
0.567168,0.029241509,0.780000,1
0.582507,0.029816752,0.800000,1
0.597449,0.029912625,0.820000,1
0.612634,0.029720878,0.840000,1
0.627262,0.030391994,0.860000,1
0.641707,0.030679616,0.880000,1
0.656554,0.031158985,0.900000,1
0.671231,0.031350732,0.920000,1
0.685334,0.031830101,0.940000,1
0.700075,0.032021849,0.960000,1
0.715088,0.032309470,0.980000,1
0.733836,0.032884713,1.000000,1
0.753293,0.033651704,1.020000,1
0.771599,0.033939325,1.040000,1
0.791020,0.034035199,1.060000,1
0.807803,0.033939325,1.080000,1
0.821752,0.034418694,1.100000,1
0.835818,0.034706315,1.120000,1
0.849178,0.034993937,1.140000,1
0.863541,0.035665053,1.160000,1
0.877251,0.035569180,1.180000,1
0.890858,0.035473306,1.200000,1
0.905872,0.036048549,1.220000,1
0.920390,0.036240296,1.240000,1
0.934978,0.036336170,1.260000,1
0.950649,0.036240296,1.280000,1
0.967396,0.036911413,1.300000,1
0.982262,0.037294908,1.320000,1
0.996291,0.037103160,1.340000,1
1.011030,0.037678403,1.360000,1
1.025152,0.038061898,1.380000,1
1.038788,0.038157772,1.400000,1
1.052550,0.038253646,1.420000,1
1.066923,0.038733015,1.440000,1
1.080947,0.039212384,1.460000,1
1.094430,0.038924762,1.480000,1
1.108423,0.039404131,1.500000,1
1.122136,0.039691753,1.520000,1
1.136121,0.039691753,1.540000,1
1.149724,0.039883500,1.560000,1
1.163644,0.039979374,1.580000,1
1.177571,0.040362869,1.600000,1
1.191187,0.040554617,1.620000,1
1.204797,0.040938112,1.640000,1
1.218641,0.041800976,1.660000,1
1.232345,0.041513355,1.680000,1
1.245462,0.041609229,1.700000,1
1.259183,0.041609229,1.720000,1
1.272971,0.041896850,1.740000,1
1.286802,0.042280345,1.760000,1
1.300122,0.042472093,1.780000,1
1.313455,0.042663841,1.800000,1
1.327255,0.043047336,1.820000,1
1.342523,0.043047336,1.840000,1
1.358203,0.043334957,1.860000,1
1.373352,0.043718452,1.880000,1
1.387295,0.043239083,1.900000,1
1.400763,0.044006074,1.920000,1
1.414292,0.044101948,1.940000,1
1.427962,0.044293695,1.960000,1
1.443900,0.044485443,1.980000,1
1.458240,0.044581317,2.000000,1
1.474013,0.044773064,2.020000,1
1.488210,0.045156559,2.040000,1
1.502572,0.045252433,2.060000,1
1.516443,0.044677190,2.080000,1
1.531014,0.045635928,2.100000,1
1.546015,0.045444181,2.120000,1
1.560483,0.045635928,2.140000,1
1.574667,0.046307045,2.160000,1
1.588839,0.046594666,2.180000,1
1.602826,0.046402919,2.200000,1
1.617031,0.046402919,2.220000,1
1.631398,0.046978162,2.240000,1
1.646096,0.047553404,2.260000,1
1.660640,0.047074035,2.280000,1
1.674998,0.047457531,2.300000,1
1.689042,0.047649278,2.320000,1
1.703848,0.047553404,2.340000,1
1.718286,0.048320395,2.360000,1
1.732470,0.047745152,2.380000,1
1.746763,0.048608016,2.400000,1
1.760997,0.048320395,2.420000,1
1.775320,0.048991511,2.440000,1
1.789254,0.048895638,2.460000,1
1.803881,0.049183259,2.480000,1
1.818610,0.049470880,2.500000,1
1.833142,0.049470880,2.520000,1
1.848026,0.050141997,2.540000,1
1.862158,0.050141997,2.560000,1
