time_s,odrive_pos_rad,output_pos_rad,diff_rad
4.898397,61.734524,2.550243,59.184280
4.899251,61.734314,2.549860,59.184454
4.902603,61.734266,2.550243,59.184023
4.906276,61.734613,2.550243,59.184370
4.909219,61.734631,2.550243,59.184388
4.912072,61.735344,2.550627,59.184718
4.914913,61.736243,2.549860,59.186384
4.918041,61.737460,2.549860,59.187600
4.921006,61.739701,2.549860,59.189841
4.924318,61.743841,2.549476,59.194365
4.927568,61.750073,2.549093,59.200980
4.930454,61.754507,2.548326,59.206182
4.933965,61.761140,2.547559,59.213582
4.938211,61.781969,2.546792,59.235177
4.939926,61.789609,2.545641,59.243968
4.943248,61.811253,2.544107,59.267145
4.946313,61.831512,2.542573,59.288939
4.949528,61.851825,2.541806,59.310019
4.952552,61.870137,2.540272,59.329865
4.955518,61.890738,2.538738,59.352000
4.958668,61.915911,2.536437,59.379474
4.961491,61.939346,2.534520,59.404826
4.965159,61.971146,2.533369,59.437777
4.968257,61.998752,2.531068,59.467683
4.971070,62.027526,2.528384,59.499142
4.974487,62.060027,2.526466,59.533561
4.977882,62.093553,2.523398,59.570155
4.980859,62.123561,2.521097,59.602464
4.984118,62.156782,2.518796,59.637985
4.987220,62.202849,2.516879,59.685970
4.989969,62.225182,2.513428,59.711754
4.993232,62.264790,2.511894,59.752896
4.996061,62.299112,2.507675,59.791437
4.999314,62.339295,2.504607,59.834688
5.002393,62.379736,2.501923,59.877814
5.005378,62.419548,2.500005,59.919543
5.008748,62.462541,2.495787,59.966754
5.011463,62.502131,2.492719,60.009412
5.014971,62.549361,2.488117,60.061244
5.018411,62.595356,2.485816,60.109541
5.021309,62.641615,2.482364,60.159251
5.024513,62.688186,2.479296,60.208890
5.027576,62.740707,2.475078,60.265629
5.030367,62.774245,2.472777,60.301468
5.033874,62.826436,2.469326,60.357111
5.038264,62.893620,2.466641,60.426979
5.039594,62.920291,2.461656,60.458635
5.043154,62.968905,2.458204,60.510700
5.048370,63.015379,2.455136,60.560243
5.049580,63.070711,2.450534,60.620176
5.052721,63.122051,2.447850,60.674201
5.055890,63.174284,2.444398,60.729886
5.059162,63.223923,2.440947,60.782976
5.061869,63.270236,2.437879,60.832357
5.064788,63.317783,2.433277,60.884506
5.067886,63.371347,2.429442,60.941905
5.071060,63.420350,2.426374,60.993976
5.074262,63.472787,2.423306,61.049481
5.077375,63.537520,2.419088,61.118432
5.080197,63.573916,2.415636,61.158280
5.083576,63.628594,2.411418,61.217177
5.088432,63.677358,2.407966,61.269392
5.089792,63.731365,2.402597,61.328768
5.092789,63.782250,2.399146,61.383104
5.096104,63.836581,2.395694,61.440886
5.099164,63.886836,2.393010,61.493826
5.101981,63.935534,2.389559,61.545976
5.104761,63.984256,2.386491,61.597766
5.108163,64.037874,2.381505,61.656368
5.110723,64.084456,2.378054,61.706403
5.114128,64.139254,2.373835,61.765419
5.118222,64.209176,2.370767,61.838409
5.119909,64.237854,2.366549,61.871305
5.123492,64.298009,2.363481,61.934528
5.126709,64.350218,2.360796,61.989422
5.129774,64.403554,2.355427,62.048127
5.132818,64.454445,2.351976,62.102469
5.135760,64.503730,2.348525,62.155206
5.139296,64.555916,2.345457,62.210459
5.141649,64.599784,2.342005,62.257779
5.145147,64.655900,2.337403,62.318497
5.148133,64.703100,2.334719,62.368381
5.151181,64.755729,2.331651,62.424078
5.154229,64.805098,2.327816,62.477282
5.157343,64.868554,2.324364,62.544190
5.160105,64.901708,2.319762,62.581946
5.163437,64.952677,2.316311,62.636366
5.166391,65.001885,2.313243,62.688642
5.169575,65.050367,2.310559,62.739808
5.172536,65.099113,2.307107,62.792006
5.175561,65.146756,2.303656,62.843100
5.179149,65.201554,2.300204,62.901350
5.181693,65.242108,2.297520,62.944589
5.184662,65.288056,2.294452,62.993604
5.188005,65.339894,2.289850,63.050044
5.190689,65.380520,2.286782,63.093738
5.194198,65.431962,2.283714,63.148249
5.198107,65.493921,2.281413,63.212508
5.199703,65.522282,2.276811,63.245471
5.203423,65.572244,2.273360,63.298884
5.206455,65.615992,2.271059,63.344934
5.209804,65.665307,2.267991,63.397317
5.212719,65.707564,2.262622,63.444942
5.216259,65.761487,2.260704,63.500783
5.219346,65.805882,2.257253,63.548630
5.222347,65.848193,2.253418,63.594775
5.225342,65.889227,2.250733,63.638493
5.228527,65.936109,2.246898,63.689211
5.231429,65.976118,2.243063,63.733055
5.234764,66.023366,2.240762,63.782604
5.238148,66.061847,2.238078,63.823769
5.240748,66.101084,2.235777,63.865307
5.244217,66.144748,2.232709,63.912039
5.247257,66.199642,2.229258,63.970384
5.249974,66.225546,2.226573,63.998973
