time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
5.147198,0.226229,0.681854,-0.455625,0.0,-0.0,0.0,0.0
5.149636,0.225349,0.682238,-0.456889,-0.0008800000000000197,-0.00038400000000005097,-6.285714285714426e-05,0.00032114285714290674
5.151902,0.225403,0.682238,-0.456835,-0.0008260000000000212,-0.00038400000000005097,-5.900000000000151e-05,0.0003250000000000495
5.155716,0.226746,0.681471,-0.454725,0.0005169999999999897,0.0003829999999999112,3.692857142857069e-05,-0.0003460714285713405
5.158735,0.22839,0.681471,-0.453081,0.0021609999999999963,0.0003829999999999112,0.00015435714285714258,-0.0002286428571427686
5.161498,0.229972,0.681854,-0.451882,0.0037429999999999963,-0.0,0.0002673571428571426,0.0002673571428571426
5.16491,0.233395,0.681854,-0.448459,0.007165999999999978,-0.0,0.0005118571428571413,0.0005118571428571413
5.16984,0.238799,0.681471,-0.442672,0.012569999999999998,0.0003829999999999112,0.0008978571428571427,0.0005148571428572315
5.171292,0.241239,0.680704,-0.439465,0.015009999999999996,0.0011499999999999844,0.0010721428571428568,-7.785714285712757e-05
5.174528,0.245886,0.680704,-0.434818,0.01965699999999998,0.0011499999999999844,0.001404071428571427,0.0002540714285714427
5.180043,0.256854,0.679937,-0.423083,0.030625000000000013,0.0019169999999999465,0.002187500000000001,0.00027050000000005455
5.180824,0.268144,0.67917,-0.411026,0.04191499999999998,0.0026839999999999087,0.00299392857142857,0.00030992857142866145
5.184052,0.279734,0.678403,-0.398669,0.05350499999999997,0.003450999999999982,0.003821785714285712,0.00037078571428573017
5.187112,0.292732,0.677636,-0.384904,0.06650299999999998,0.004217999999999944,0.004750214285714284,0.0005322142857143398
5.191758,0.300757,0.676869,-0.376112,0.07452799999999998,0.004984999999999906,0.00532342857142857,0.00033842857142866393
5.193264,0.318012,0.675719,-0.357706,0.091783,0.0061350000000000016,0.006555928571428572,0.00042092857142857036
5.196594,0.330465,0.674568,-0.344103,0.104236,0.007286000000000015,0.007445428571428571,0.00015942857142855604
5.199661,0.343307,0.673801,-0.330494,0.11707799999999996,0.008052999999999977,0.008362714285714282,0.0003097142857143055
5.202559,0.356638,0.673034,-0.316396,0.130409,0.008819999999999939,0.009314928571428571,0.0004949285714286322
5.20558,0.372086,0.671884,-0.299798,0.14585699999999996,0.009969999999999923,0.01041835714285714,0.0004483571428572173
5.208892,0.395024,0.671117,-0.276092,0.16879499999999997,0.010736999999999997,0.012056785714285713,0.001319785714285716
5.212238,0.413584,0.668816,-0.255231,0.187355,0.013037999999999994,0.0133825,0.00034450000000000626
5.215299,0.437925,0.667282,-0.229357,0.211696,0.014571999999999918,0.015121142857142857,0.000549142857142939
5.219589,0.470509,0.665748,-0.195239,0.24428,0.016105999999999954,0.017448571428571428,0.0013425714285714742
5.221098,0.486627,0.664214,-0.177586,0.26039799999999996,0.01763999999999999,0.01859985714285714,0.0009598571428571512
5.224644,0.51198,0.661146,-0.149166,0.285751,0.02070799999999995,0.02041078571428571,-0.0002972142857142375
5.229989,0.5351,0.660379,-0.125279,0.308871,0.02147499999999991,0.022062214285714286,0.0005872142857143749
5.2308,0.559698,0.658845,-0.099147,0.333469,0.023008999999999946,0.023819214285714287,0.0008102142857143411
5.234008,0.58457,0.656927,-0.072358,0.358341,0.02492699999999992,0.025595785714285717,0.0006687857142857953
5.237094,0.607328,0.655777,-0.048448,0.38109899999999997,0.026076999999999906,0.02722135714285714,0.001144357142857235
5.240625,0.631481,0.653476,-0.021995,0.40525199999999995,0.028378000000000014,0.028946571428571426,0.0005685714285714114
5.242976,0.656678,0.651175,0.005503,0.43044899999999997,0.030679000000000012,0.03074635714285714,6.735714285712943e-05
5.246021,0.686774,0.650024,0.03675,0.460545,0.031829999999999914,0.03289607142857143,0.0010660714285715134
5.249312,0.716152,0.647723,0.068428,0.489923,0.03413099999999991,0.0349945,0.0008635000000000864
5.251985,0.74968,0.645806,0.103874,0.523451,0.03604799999999997,0.03738935714285714,0.0013413571428571719
5.255157,0.782176,0.642354,0.139821,0.555947,0.03949999999999998,0.039710499999999996,0.00021050000000001623
5.262204,0.827817,0.638903,0.188914,0.601588,0.04295099999999996,0.04297057142857143,1.9571428571465987e-05
5.262204,0.864204,0.637753,0.226451,0.637975,0.044100999999999946,0.04556964285714286,0.0014686428571429114
5.266124,0.903551,0.634301,0.26925,0.677322,0.047552999999999956,0.04838014285714286,0.0008271428571429013
5.269381,0.935409,0.632384,0.303026,0.70918,0.049470000000000014,0.05065571428571429,0.001185714285714276
5.272071,0.973203,0.630083,0.34312,0.746974,0.05177100000000001,0.053355285714285716,0.0015842857142857047
5.274997,1.008653,0.627398,0.381254,0.782424,0.05445599999999995,0.055887428571428574,0.0014314285714286251
5.279651,1.061145,0.625097,0.436048,0.834916,0.056756999999999946,0.059636857142857144,0.002879857142857198
5.281406,1.085377,0.622029,0.463348,0.859148,0.059824999999999906,0.06136771428571429,0.0015427142857143833
5.284814,1.132695,0.618961,0.513733,0.906466,0.06289299999999998,0.06474757142857143,0.0018545714285714554
5.290471,1.17467,0.61551,0.55916,0.9484410000000001,0.06634399999999996,0.06774578571428572,0.0014017857142857582
5.29111,1.218614,0.612442,0.606172,0.9923850000000001,0.06941199999999992,0.07088464285714287,0.00147264285714295
5.29439,1.262507,0.609757,0.65275,1.036278,0.07209699999999997,0.07401985714285715,0.0019228571428571845
5.297375,1.308247,0.606689,0.701557,1.082018,0.07516499999999993,0.077287,0.0021220000000000683
5.300808,1.352583,0.604005,0.748578,1.126354,0.07784899999999995,0.08045385714285715,0.0026048571428572004
5.303194,1.392651,0.60017,0.792481,1.166422,0.08168399999999998,0.08331585714285715,0.001631857142857171
5.306373,1.438869,0.597102,0.841767,1.21264,0.08475199999999994,0.08661714285714285,0.0018651428571429124
5.309686,1.489246,0.594801,0.894444,1.263017,0.08705299999999994,0.0902155,0.003162500000000068
5.312526,1.534667,0.59135,0.943318,1.308438,0.09050399999999992,0.09345985714285714,0.0029558571428572183
5.315573,1.582385,0.588665,0.99372,1.356156,0.09318899999999997,0.09686828571428571,0.003679285714285746
5.319968,1.643637,0.584447,1.059191,1.417408,0.09740699999999991,0.10124342857142857,0.0038364285714286572
5.321602,1.677641,0.581379,1.096262,1.451412,0.10047499999999998,0.1036722857142857,0.003197285714285722
5.325256,1.735268,0.577927,1.157341,1.509039,0.10392699999999999,0.1077885,0.003861500000000004
5.32966,1.810272,0.575243,1.235029,1.584043,0.10661100000000001,0.11314592857142858,0.0065349285714285665
5.331527,1.840822,0.570641,1.270181,1.614593,0.111213,0.11532807142857142,0.004115071428571412
5.334741,1.905599,0.566422,1.339176,1.67937,0.11543199999999998,0.119955,0.004523000000000027
5.339699,1.984266,0.562204,1.422062,1.758037,0.11964999999999992,0.12557407142857144,0.005924071428571515
5.341165,2.017935,0.558369,1.459566,1.791706,0.12348499999999996,0.127979,0.0044940000000000535
5.344513,2.077722,0.555301,1.522421,1.851493,0.12655299999999992,0.1322495,0.0056965000000000765
5.347497,2.1357,0.551083,1.584618,1.909471,0.13077099999999997,0.1363907857142857,0.00561978571428573
5.350831,2.194041,0.546097,1.647944,1.967812,0.1357569999999999,0.140558,0.004801000000000083
5.353461,2.245068,0.542646,1.702422,2.018839,0.139208,0.14420278571428571,0.0049947857142857155
5.35659,2.304733,0.539961,1.764772,2.078504,0.14189299999999994,0.14846457142857145,0.00657157142857151
5.359916,2.371356,0.535743,1.835613,2.145127,0.146111,0.15322335714285715,0.007112357142857156
5.36276,2.425255,0.52999,1.895264,2.199026,0.151864,0.15707328571428572,0.005209285714285722
5.365811,2.486986,0.526155,1.96083,2.260757,0.15569899999999992,0.16148264285714284,0.005783642857142918
5.369151,2.554535,0.522704,2.031831,2.328306,0.15915,0.16630757142857142,0.007157571428571402
5.371881,2.611603,0.519252,2.092351,2.385374,0.1626019999999999,0.17038385714285714,0.007781857142857229
5.374976,2.673749,0.514651,2.159098,2.44752,0.167203,0.17482285714285714,0.0076198571428571504
5.379773,2.765033,0.508515,2.256518,2.538804,0.1733389999999999,0.18134314285714284,0.008004142857142932
5.381698,2.804654,0.50468,2.299974,2.578425,0.17717399999999994,0.1841732142857143,0.006999214285714345
