time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.01,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.05,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.09,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.13,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.17,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.21,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.25,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.29,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.33,0.00,0.48,-0.00,0.06,0.03,0.00,48.20,48.71,0.072,nan,nan
0.37,0.00,0.48,-0.00,0.06,0.03,0.00,48.20,48.71,0.072,nan,nan
0.41,0.00,0.48,-0.00,0.06,0.03,0.00,48.20,48.71,0.072,nan,nan
0.45,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.49,0.00,0.48,-0.00,0.06,0.03,0.00,48.10,48.71,0.072,nan,nan
0.54,0.00,0.48,-0.00,0.06,0.03,0.07,48.10,48.71,0.072,nan,nan
0.57,0.00,0.14,0.10,0.00,0.03,0.11,48.10,48.73,0.000,nan,nan
0.61,-0.33,-0.74,0.01,0.03,0.03,0.15,48.10,48.73,0.033,nan,nan
0.65,-0.50,-0.77,0.04,0.20,0.02,0.20,48.10,48.73,0.226,nan,nan
0.69,-0.83,-1.22,-0.03,0.14,0.01,0.26,48.20,48.71,0.165,nan,nan
0.73,-1.50,-1.15,0.08,0.29,0.00,0.31,48.20,48.73,0.327,nan,nan
0.77,-1.50,-0.38,0.13,0.26,-0.01,0.35,48.20,48.71,0.299,nan,nan
0.81,-2.17,-0.62,1.29,0.39,-0.06,0.42,48.10,48.73,0.445,nan,nan
0.85,-1.67,-1.75,1.52,0.48,-0.17,0.46,48.10,48.71,0.549,nan,nan
0.89,-2.50,-1.32,4.21,0.25,-0.27,0.53,48.10,48.69,0.284,nan,nan
0.93,-3.00,-0.89,9.19,0.50,-0.26,0.57,48.20,48.73,0.570,nan,nan
0.97,-3.00,-0.02,6.37,0.93,-0.08,0.61,48.20,48.67,1.066,nan,nan
1.01,-3.00,-0.55,0.22,0.55,0.19,0.66,48.20,48.71,0.630,nan,nan
1.05,-3.50,-0.31,0.28,0.78,0.29,0.72,48.20,48.71,0.897,nan,nan
1.09,-4.17,-0.17,2.34,0.81,0.15,0.77,48.20,48.69,0.931,nan,nan
1.13,-3.67,-1.34,1.87,0.59,0.02,0.81,48.20,48.71,0.670,nan,nan
1.17,-4.83,-0.89,11.70,0.97,-0.06,0.88,48.10,48.69,1.109,nan,nan
1.21,-6.00,1.58,10.58,1.14,0.00,0.92,48.10,48.69,1.307,nan,nan
1.25,-5.17,0.98,3.52,1.02,0.43,0.98,48.10,48.73,1.171,nan,nan
1.29,-5.17,-0.67,3.49,1.08,0.73,1.03,48.20,48.69,1.230,nan,nan
1.33,-5.83,-0.38,8.19,1.03,0.49,1.09,48.20,48.69,1.183,nan,nan
1.37,-6.67,1.18,4.39,1.29,0.34,1.14,48.20,48.71,1.481,nan,nan
1.41,-5.33,-1.22,0.99,0.89,0.58,1.18,48.10,48.73,1.015,nan,nan
1.45,-6.83,0.10,13.57,1.20,0.55,1.25,48.10,48.69,1.374,nan,nan
1.49,-7.00,1.13,3.80,1.57,0.49,1.29,48.10,48.69,1.798,nan,nan
1.53,-6.83,-0.34,2.69,1.20,0.81,1.33,48.00,48.69,1.369,nan,nan
1.57,-7.67,-0.26,12.89,1.42,0.72,1.40,48.00,48.69,1.624,nan,nan
1.61,-8.50,1.75,6.17,1.61,0.57,1.44,48.00,48.71,1.842,nan,nan
1.65,-8.00,0.60,2.84,1.29,0.91,1.51,48.20,48.71,1.481,nan,nan
1.69,-8.50,0.02,14.91,1.70,0.87,1.55,48.20,48.71,1.942,nan,nan
1.74,-8.50,0.50,4.12,1.49,0.83,1.62,48.20,48.73,1.699,nan,nan
1.77,-9.33,0.41,14.49,1.63,1.00,1.66,48.20,48.71,1.861,nan,nan
1.81,-10.00,1.56,9.55,1.87,0.94,1.71,48.20,48.69,2.144,nan,nan
1.85,-9.17,-0.48,4.34,1.63,1.07,1.75,48.20,48.73,1.864,nan,nan
1.89,-10.67,1.13,15.41,1.73,1.10,1.82,48.20,48.73,1.982,nan,nan
1.93,-9.83,0.00,6.11,1.78,1.13,1.86,48.20,48.69,2.033,nan,nan
1.97,-11.33,1.20,13.98,2.24,1.25,1.90,48.20,48.67,2.556,nan,nan
2.01,-11.17,1.78,10.25,1.78,1.30,1.97,48.10,48.69,2.037,nan,nan
2.05,-11.83,2.23,13.94,1.93,1.38,2.01,48.10,48.71,2.212,nan,nan
2.09,-11.33,0.91,10.53,2.19,1.42,2.06,48.10,48.71,2.508,nan,nan
2.13,-11.33,0.43,12.05,1.83,1.48,2.12,48.10,48.73,2.089,nan,nan
2.17,-11.83,0.79,11.09,1.95,1.51,2.17,48.10,48.71,2.227,nan,nan
2.21,-12.00,0.55,12.46,2.34,1.55,2.23,48.10,48.69,2.673,nan,nan
2.25,-12.17,0.70,12.60,2.19,1.60,2.27,48.10,48.73,2.508,nan,nan
2.29,-12.83,1.06,12.40,1.73,1.63,2.32,48.10,48.69,1.977,nan,nan
2.33,-13.33,1.68,13.87,2.48,1.69,2.38,48.10,48.69,2.838,nan,nan
2.37,-13.17,1.08,14.27,2.68,1.76,2.43,48.10,48.69,3.062,nan,nan
2.41,-13.83,1.61,12.83,2.42,1.84,2.47,48.10,48.69,2.767,nan,nan
2.45,-14.50,2.16,14.49,2.58,1.89,2.54,48.10,48.69,2.955,nan,nan
