time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.02,0.00,-0.65,-0.11,0.07,-0.20,0.00,48.50,49.09,0.084,nan,nan
0.06,0.00,-0.65,-0.11,0.07,-0.20,0.00,48.50,49.09,0.084,nan,nan
0.10,0.00,-0.65,-0.11,0.07,-0.18,0.00,48.50,49.09,0.084,nan,nan
0.14,0.00,-0.65,-0.11,0.07,-0.15,0.00,48.50,49.09,0.084,nan,nan
0.18,0.00,-0.65,-0.11,0.07,-0.14,0.00,48.50,49.09,0.084,nan,nan
0.22,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.40,49.09,0.084,nan,nan
0.26,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.40,49.09,0.084,nan,nan
0.30,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.40,49.09,0.084,nan,nan
0.34,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.50,49.09,0.084,nan,nan
0.38,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.50,49.09,0.084,nan,nan
0.42,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.50,49.09,0.084,nan,nan
0.46,0.00,-0.65,-0.11,0.07,-0.13,0.00,48.60,49.09,0.084,nan,nan
0.50,0.00,-0.65,-0.11,0.07,-0.13,0.03,48.60,49.09,0.084,nan,nan
0.54,0.00,-0.79,0.02,0.00,-0.13,0.08,48.60,49.09,-0.858,nan,nan
0.58,-0.17,-1.56,0.02,0.03,-0.13,0.14,48.50,49.05,0.030,nan,nan
0.62,-0.50,-1.92,0.09,0.12,-0.17,0.23,48.50,49.05,0.134,nan,nan
0.66,-1.33,-1.39,2.29,-0.07,-0.31,0.28,48.50,49.05,-0.084,nan,nan
0.70,-2.00,-0.38,2.62,0.01,-0.41,0.34,48.60,49.07,0.009,nan,nan
0.74,-2.17,-0.79,5.93,0.44,-0.33,0.42,48.60,49.07,0.495,nan,nan
