time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,nan,nan,nan,nan,0.30,nan,nan,nan,nan,nan,nan
0.08,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.12,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.16,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.20,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.24,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.28,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.32,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.36,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.40,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.44,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.48,nan,nan,nan,nan,0.30,nan,48.00,nan,nan,nan,nan
0.52,nan,nan,nan,nan,0.30,0.04,48.00,nan,nan,nan,nan
0.56,0.00,-0.24,-0.07,0.26,0.30,0.07,48.00,48.24,0.292,nan,nan
0.60,0.00,-0.60,-0.03,-0.02,0.29,0.13,48.00,48.22,-0.027,nan,nan
0.64,-0.50,-0.94,0.01,0.08,0.26,0.17,47.70,48.24,0.093,nan,nan
0.68,-1.00,-1.20,0.04,0.14,0.20,0.21,47.70,48.22,0.160,nan,nan
0.72,-1.33,-0.84,-0.00,0.17,0.14,0.26,47.70,48.24,0.196,nan,nan
0.76,-1.33,-0.89,0.01,0.35,0.09,0.30,47.70,48.24,0.390,nan,nan
0.80,-2.17,-0.29,0.02,0.23,0.05,0.36,47.70,48.21,0.263,nan,nan
0.84,-1.83,-1.15,0.20,0.24,0.03,0.39,47.70,48.24,0.271,nan,nan
0.88,-2.67,-1.10,1.55,0.57,-0.06,0.43,47.70,48.19,0.644,nan,nan
0.92,-2.67,-1.44,4.17,-0.04,-0.22,0.49,47.70,48.22,-0.040,nan,nan
0.96,-2.83,-1.34,10.49,0.64,-0.28,0.53,47.70,48.19,0.725,nan,nan
1.00,-3.83,0.10,7.44,0.72,-0.09,0.58,47.70,48.24,0.809,nan,nan
1.04,-3.33,-1.39,0.75,0.64,0.21,0.62,47.70,48.22,0.725,nan,nan
1.08,-4.00,-0.62,-0.09,0.79,0.27,0.66,47.70,48.19,0.891,nan,nan
1.12,-3.83,-1.15,0.10,0.59,0.13,0.71,47.70,48.22,0.661,nan,nan
1.16,-4.50,-0.67,5.23,0.02,-0.04,0.75,47.70,48.24,0.017,nan,nan
1.20,-5.50,0.10,13.80,0.77,-0.24,0.79,47.70,48.22,0.846,nan,nan
1.24,-5.83,0.38,15.09,0.43,-0.15,0.84,47.70,48.22,0.483,nan,nan
1.28,-4.83,-0.05,-0.06,0.68,0.37,0.88,47.70,48.22,0.770,nan,nan
1.32,-5.67,-0.84,-0.03,0.84,0.62,0.94,47.70,48.24,0.948,nan,nan
1.36,-5.83,0.19,0.46,0.90,0.33,0.98,47.70,48.19,1.016,nan,nan
1.40,-5.67,-2.54,11.50,1.00,0.00,1.01,47.80,48.22,1.129,nan,nan
1.44,-6.83,-1.32,20.30,0.93,-0.17,1.07,47.80,48.22,1.052,nan,nan
1.48,-7.00,1.51,-0.21,1.22,0.22,1.11,47.80,48.22,1.370,nan,nan
1.52,-6.83,-0.07,3.50,1.03,0.93,1.16,47.70,48.22,1.160,nan,nan
1.56,-7.67,-0.60,13.22,1.26,0.83,1.20,47.70,48.22,1.418,nan,nan
1.60,-8.67,1.01,7.81,1.07,0.54,1.26,47.70,48.22,1.204,nan,nan
1.64,-7.33,-0.86,4.48,1.11,0.75,1.29,47.70,48.22,1.247,nan,nan
1.68,-8.50,0.26,11.76,0.98,0.83,1.35,47.70,48.21,1.105,nan,nan
1.72,-8.83,-0.46,9.26,1.66,0.77,1.39,47.70,48.22,1.874,nan,nan
1.76,-9.00,0.12,11.02,1.35,0.88,1.42,47.70,48.19,1.517,nan,nan
1.80,-9.83,1.39,11.18,1.58,0.89,1.48,47.70,48.22,1.782,nan,nan
1.84,-9.83,0.26,8.50,1.02,0.92,1.52,47.70,48.24,1.145,nan,nan
1.88,-10.00,0.53,9.30,1.35,0.97,1.57,47.70,48.22,1.521,nan,nan
1.92,-10.33,0.41,11.17,1.72,1.01,1.61,47.70,48.22,1.940,nan,nan
1.96,-11.00,1.18,10.11,1.56,1.06,1.67,47.70,48.24,1.763,nan,nan
2.00,-10.83,0.79,12.45,1.65,1.11,1.71,47.70,48.22,1.863,nan,nan
2.04,-11.17,0.84,11.19,1.93,1.16,1.76,47.70,48.22,2.170,nan,nan
2.08,-11.67,0.62,12.15,1.75,1.21,1.80,47.60,48.21,1.969,nan,nan
2.12,-12.17,1.03,10.54,1.40,1.26,1.84,47.60,48.21,1.578,nan,nan
2.16,-11.67,0.24,13.94,1.92,1.30,1.89,47.60,48.21,2.165,nan,nan
2.20,-11.83,-0.24,13.73,1.70,1.33,1.93,47.60,48.24,1.920,nan,nan
2.24,-12.83,0.67,12.79,2.03,1.37,1.99,47.60,48.22,2.291,nan,nan
2.28,-13.17,1.15,12.74,2.36,1.41,2.03,47.60,48.22,2.653,nan,nan
2.32,-13.83,1.44,13.00,2.33,1.46,2.08,47.60,48.22,2.628,nan,nan
2.36,-13.33,0.79,14.57,1.95,1.51,2.12,47.70,48.22,2.201,nan,nan
2.40,-14.00,1.20,14.00,1.87,1.56,2.17,47.70,48.22,2.109,nan,nan
2.44,-14.67,1.70,14.44,2.33,1.61,2.21,47.70,48.21,2.623,nan,nan
2.48,-14.67,1.13,15.21,1.86,1.66,2.27,47.60,48.24,2.093,nan,nan
2.52,-14.50,1.01,15.80,2.46,1.70,2.31,47.60,48.21,2.776,nan,nan
2.56,-15.17,0.67,14.33,2.28,1.74,2.34,47.60,48.22,2.564,nan,nan
2.60,-15.67,0.98,15.44,2.87,1.77,2.40,47.60,48.24,3.233,nan,nan
2.64,-16.33,1.90,16.53,2.34,1.82,2.44,47.60,48.22,2.631,nan,nan
2.68,-16.17,1.01,15.75,3.03,1.88,2.49,47.60,48.22,3.408,nan,nan
2.72,-16.50,1.70,16.66,2.60,1.92,2.53,47.60,48.24,2.932,nan,nan
2.76,-16.33,0.65,17.77,2.72,1.98,2.59,47.60,48.19,3.065,nan,nan
2.80,-17.17,1.54,16.97,2.48,2.03,2.62,47.60,48.21,2.790,nan,nan
2.84,-17.00,0.77,16.86,2.90,2.06,2.66,47.60,48.21,3.267,nan,nan
2.88,-17.83,2.16,16.98,2.68,2.09,2.72,47.60,48.21,3.018,nan,nan
2.92,-18.33,1.78,18.04,3.03,2.14,2.76,47.60,48.21,3.407,nan,nan
2.96,-18.33,0.89,18.34,3.39,2.19,2.81,47.70,48.24,3.813,nan,nan
3.00,-18.83,2.30,18.51,3.06,2.24,2.85,47.70,48.21,3.442,nan,nan
3.04,-19.17,2.50,18.39,2.48,2.30,2.91,47.60,48.22,2.794,nan,nan
3.08,-19.17,1.68,18.69,2.64,2.35,2.94,47.60,48.19,2.977,nan,nan
3.12,-19.50,1.13,19.72,2.41,2.39,2.98,47.60,48.22,2.718,nan,nan
3.16,-20.00,2.35,20.47,2.97,2.43,3.04,47.60,48.22,3.348,nan,nan
3.20,-19.83,1.87,20.74,3.55,2.46,3.07,47.70,48.24,3.999,nan,nan
3.24,-20.67,2.59,20.01,3.34,2.52,3.11,47.70,48.21,3.757,nan,nan
3.28,-20.17,1.56,20.68,2.65,2.58,3.17,47.70,48.21,2.990,nan,nan
3.32,-20.83,1.51,20.96,3.36,2.61,3.21,47.70,48.19,3.780,nan,nan
3.36,-20.83,1.58,20.99,3.67,2.64,3.24,47.70,48.21,4.137,nan,nan
3.40,-21.67,2.57,22.08,3.98,2.69,3.30,47.70,48.21,4.479,nan,nan
3.44,-21.67,1.39,22.56,3.66,2.73,3.34,47.60,48.19,4.126,nan,nan
3.48,-22.17,2.06,22.35,3.17,2.76,3.37,47.60,48.22,3.576,nan,nan
3.52,-22.00,1.92,22.05,3.76,2.81,3.41,47.60,48.19,4.233,nan,nan
3.56,-22.33,1.51,23.30,3.22,2.84,3.47,47.60,48.19,3.632,nan,nan
3.60,-23.00,2.04,23.13,3.38,2.88,3.51,47.60,48.19,3.807,nan,nan
3.64,-23.67,3.19,23.74,4.13,2.93,3.54,47.60,48.22,4.652,nan,nan
3.68,-23.33,2.28,24.62,3.27,2.96,3.60,47.60,48.22,3.679,nan,nan
3.72,-23.67,1.73,22.59,3.45,2.99,3.64,47.60,48.22,3.890,nan,nan
3.76,-24.17,2.45,23.34,3.79,2.99,3.68,47.60,48.22,4.270,nan,nan
3.80,-23.83,1.73,25.22,2.66,3.02,3.73,47.70,48.21,2.999,nan,nan
3.84,-25.00,2.86,24.78,4.07,3.05,3.77,47.70,48.22,4.581,nan,nan
3.88,-24.67,1.92,24.75,5.08,3.10,3.81,47.70,48.19,5.721,nan,nan
3.92,-25.33,3.12,24.67,3.26,3.13,3.84,47.60,48.19,3.677,nan,nan
3.96,-25.50,2.11,26.72,3.62,3.15,3.88,47.60,48.21,4.077,nan,nan
4.00,-25.50,2.18,25.24,3.60,3.17,3.92,47.60,48.22,4.052,nan,nan
