time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.01,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
0.05,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.09,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.13,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.17,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.21,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.25,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.29,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.33,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.37,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.41,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.45,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.49,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.53,nan,nan,nan,nan,0.00,0.05,48.60,nan,nan,nan,nan
0.57,-0.83,0.31,0.08,0.05,0.00,0.12,48.50,48.64,0.051,nan,nan
0.61,-0.33,-0.43,-0.02,0.05,0.00,0.17,48.50,48.60,0.054,nan,nan
0.65,-0.67,-0.36,0.02,0.10,0.00,0.25,48.50,48.64,0.113,nan,nan
0.69,-0.83,-0.89,0.09,0.20,-0.02,0.30,48.10,48.64,0.229,nan,nan
0.73,-1.17,-0.98,0.02,0.35,-0.04,0.35,48.10,48.65,0.395,nan,nan
0.77,-1.50,-1.32,0.04,0.50,-0.05,0.42,48.10,48.64,0.566,nan,nan
0.81,-2.00,-0.55,0.05,0.27,-0.06,0.47,48.20,48.62,0.308,nan,nan
0.85,-2.17,-0.29,0.03,0.41,-0.07,0.53,48.20,48.60,0.458,nan,nan
0.89,-2.00,-1.78,0.23,0.83,-0.11,0.60,48.20,48.64,0.943,nan,nan
0.93,-2.67,-1.54,1.06,0.41,-0.18,0.65,48.10,48.62,0.458,nan,nan
0.97,-3.50,-0.60,7.34,0.04,-0.33,0.72,48.10,48.62,0.050,nan,nan
1.01,-4.17,0.50,14.64,0.08,-0.35,0.77,48.20,48.64,0.092,nan,nan
1.05,-4.67,1.03,9.96,1.24,-0.10,0.82,48.20,48.62,1.400,nan,nan
1.09,-3.67,0.24,-2.54,0.81,0.37,0.90,48.20,48.60,0.918,nan,nan
1.13,-3.83,-1.01,0.14,0.85,0.55,0.95,48.10,48.62,0.960,nan,nan
1.17,-4.83,-0.24,-0.00,1.00,0.25,1.00,48.10,48.62,1.134,nan,nan
1.21,-4.50,-1.34,0.06,0.96,0.02,1.07,48.10,48.64,1.090,nan,nan
1.25,-4.83,-1.90,7.42,0.63,-0.09,1.12,48.20,48.64,0.711,nan,nan
1.29,-6.00,-0.48,20.59,0.85,-0.22,1.17,48.20,48.64,0.963,nan,nan
1.33,-7.17,1.85,20.36,1.88,0.00,1.25,48.20,48.60,2.124,nan,nan
1.37,-5.17,-0.19,-0.08,1.17,0.79,1.30,48.30,48.62,1.326,nan,nan
1.41,-5.50,-1.32,5.14,0.99,1.03,1.38,48.30,48.60,1.114,nan,nan
1.45,-6.83,-1.06,12.00,1.67,0.56,1.43,48.30,48.64,1.887,nan,nan
1.49,-7.17,1.66,3.59,1.56,0.60,1.48,48.30,48.62,1.762,nan,nan
1.53,-6.83,-0.36,1.19,1.42,0.97,1.55,48.20,48.62,1.610,nan,nan
1.57,-7.50,-1.01,17.23,1.42,0.73,1.60,48.20,48.60,1.606,nan,nan
1.61,-9.17,2.98,9.53,2.00,0.50,1.65,48.20,48.64,2.265,nan,nan
1.65,-7.67,0.14,3.12,1.37,0.97,1.73,48.20,48.64,1.550,nan,nan
1.69,-8.33,0.50,10.73,1.91,1.18,1.77,48.20,48.62,2.161,nan,nan
1.73,-8.33,0.70,7.37,1.86,1.15,1.82,48.20,48.60,2.105,nan,nan
1.77,-9.00,1.01,11.72,1.81,1.23,1.90,48.20,48.64,2.050,nan,nan
1.81,-9.33,0.91,8.89,1.97,1.27,1.95,48.20,48.62,2.233,nan,nan
1.85,-9.50,0.86,8.04,1.50,1.34,2.00,48.20,48.64,1.693,nan,nan
1.89,-10.33,1.82,12.43,2.15,1.38,2.08,48.10,48.65,2.431,nan,nan
1.93,-10.50,1.85,7.70,1.76,1.43,2.12,48.10,48.60,1.996,nan,nan
1.97,-10.67,0.91,10.12,1.96,1.49,2.20,48.10,48.60,2.219,nan,nan
2.01,-11.00,1.37,9.98,1.93,1.51,2.25,48.20,48.62,2.169,nan,nan
2.05,-11.50,1.15,11.57,2.31,1.57,2.30,48.20,48.64,2.614,nan,nan
2.09,-11.50,1.13,12.55,2.34,1.66,2.37,48.20,48.65,2.649,nan,nan
2.13,-12.17,1.94,12.94,2.29,1.73,2.42,48.10,48.62,2.587,nan,nan
2.17,-11.50,0.67,11.17,2.91,1.82,2.50,48.10,48.60,3.294,nan,nan
2.21,-12.00,0.86,12.20,2.66,1.90,2.55,48.10,48.60,3.006,nan,nan
2.25,-12.67,1.75,12.82,2.69,1.94,2.60,48.10,48.64,3.037,nan,nan
2.29,-13.00,2.04,13.43,2.89,1.99,2.67,48.10,48.60,3.266,nan,nan
2.33,-12.67,0.74,12.57,2.05,2.02,2.73,48.10,48.62,2.316,nan,nan
2.37,-13.33,1.37,14.68,2.43,2.07,2.77,48.20,48.64,2.770,nan,nan
2.41,-13.17,0.60,13.71,2.17,2.11,2.85,48.20,48.62,2.450,nan,nan
2.45,-14.17,1.80,15.30,2.31,2.16,2.90,48.20,48.64,2.610,nan,nan
