time_s,cmd_motor_torque_nm,cmd_output_torque_nm,test_vel_motor_rpm,test_vel_output_rpm,test_torque_motor_nm,test_torque_output_nm,loadcell_torque_nm,test_voltage_v,test_q_A,phase
0.004,nan,nan,nan,nan,nan,nan,0.5624,nan,nan,ramp_up
0.013,0.0083,0.1156,0.01,0.00,0.0035,0.0490,0.5624,47.85,0.0568,ramp_up
0.026,0.0165,0.2313,1.17,0.08,0.0113,0.1586,0.5867,47.81,0.1839,ramp_up
0.038,0.0248,0.3469,2.13,0.15,0.0156,0.2178,0.5867,47.83,0.2526,ramp_up
0.050,0.0330,0.4625,3.18,0.23,0.0207,0.2892,0.5867,47.85,0.3353,ramp_up
0.063,0.0330,0.4625,3.18,0.23,0.0207,0.2892,0.5867,47.85,0.3353,ramp_up
0.075,0.0413,0.5781,8.78,0.63,0.0347,0.4861,0.5867,47.81,0.5795,ramp_up
0.088,0.0496,0.6937,24.73,1.77,0.0397,0.5562,0.5867,47.83,0.6450,ramp_up
0.100,0.0578,0.8094,40.84,2.92,0.0397,0.5556,0.5867,47.81,0.6443,ramp_up
0.117,0.0661,0.9250,40.84,2.92,0.0397,0.5556,0.5871,47.81,0.6443,ramp_up
0.125,0.0661,0.9250,68.02,4.86,0.0555,0.7769,0.5871,47.85,0.9009,ramp_up
0.138,0.0743,1.0406,35.96,2.57,0.0481,0.6728,0.5871,47.81,0.7802,ramp_up
0.150,0.0826,1.1562,38.95,2.78,0.0703,0.9839,0.5871,47.83,1.2293,ramp_up
0.164,0.0908,1.2719,38.95,2.78,0.0703,0.9839,0.5871,47.83,1.2293,ramp_up
0.175,0.0908,1.2719,29.07,2.08,0.0971,1.3593,0.5871,47.83,1.5763,ramp_up
0.188,0.0991,1.3875,-9.71,-0.69,0.0906,1.2688,0.5871,47.81,1.4713,ramp_up
0.200,0.1074,1.5031,5.45,0.39,0.0999,1.3991,0.5871,47.81,1.6223,ramp_up
0.216,0.1156,1.6187,5.45,0.39,0.0999,1.3991,0.6351,47.81,1.6223,ramp_up
0.225,0.1156,1.6187,1.03,0.07,0.1093,1.5296,0.6351,47.81,1.7737,ramp_up
0.238,0.1239,1.7344,0.01,0.00,0.1160,1.6235,0.6351,47.81,1.8826,ramp_up
0.250,0.1321,1.8500,1.84,0.13,0.1233,1.7258,0.6351,47.81,2.0012,ramp_up
0.263,0.1404,1.9656,1.84,0.13,0.1233,1.7258,0.6351,47.81,2.0012,ramp_up
0.275,0.1404,1.9656,0.75,0.05,0.1405,1.9665,0.6351,47.83,2.2803,ramp_up
0.288,0.1487,2.0812,1.35,0.10,0.1439,2.0142,0.6351,47.79,2.3356,ramp_up
0.301,0.1569,2.1969,1.02,0.07,0.1590,2.2265,1.2247,47.83,2.5818,ramp_up
0.313,0.1652,2.3125,1.02,0.07,0.1590,2.2265,1.2247,47.83,2.5818,ramp_up
0.325,0.1652,2.3125,1.98,0.14,0.1594,2.2316,1.2247,47.81,2.5877,ramp_up
0.338,0.1734,2.4281,1.22,0.09,0.1708,2.3918,1.2247,47.83,2.7735,ramp_up
0.350,0.1817,2.5438,2.03,0.14,0.1745,2.4425,1.2247,47.83,2.8322,ramp_up
0.364,0.1900,2.6594,1.74,0.12,0.1821,2.5487,1.2247,47.83,2.9554,ramp_up
0.375,0.1900,2.6594,1.74,0.12,0.1821,2.5487,1.2247,47.83,2.9554,ramp_up
0.389,0.1982,2.7750,5.54,0.40,0.1805,2.5266,2.2271,47.83,2.9298,ramp_up
0.400,0.2065,2.8906,7.28,0.52,0.1963,2.7489,2.2271,47.83,3.1875,ramp_up
0.413,0.2147,3.0063,-0.22,-0.02,0.2003,2.8044,2.2271,47.83,3.2519,ramp_up
0.425,0.2147,3.0063,-0.22,-0.02,0.2003,2.8044,2.2271,47.83,3.2519,ramp_up
0.438,0.2230,3.1219,-1.43,-0.10,0.1905,2.6674,2.2271,47.81,3.2471,ramp_up
0.450,0.2312,3.2375,0.12,0.01,0.2346,3.2842,2.2271,47.77,3.8083,ramp_up
0.463,0.2395,3.3531,2.43,0.17,0.2361,3.3052,2.2271,47.81,3.8327,ramp_up
