time_s,cmd_motor_torque_nm,cmd_output_torque_nm,test_vel_motor_rpm,test_vel_output_rpm,test_torque_motor_nm,test_torque_output_nm,loadcell_torque_nm,test_voltage_v,test_q_A,motor_position_rev,motor_position_deg,output_position_deg,phase
0.006,nan,nan,-0.31,-0.02,0.0027,0.0384,0.6908,47.81,0.0453,0.000000,0.0000,0.0000,ramp_up
0.013,0.0083,0.1156,-0.11,-0.01,-0.0002,-0.0022,0.6908,47.85,-0.0026,0.000061,0.0220,0.0016,ramp_up
0.025,0.0165,0.2313,0.07,0.01,0.0110,0.1541,0.6908,47.83,0.1820,0.000244,0.0879,0.0063,ramp_up
0.038,0.0248,0.3469,0.40,0.03,0.0171,0.2394,0.6908,47.85,0.2827,0.000427,0.1538,0.0110,ramp_up
0.050,0.0248,0.3469,0.40,0.03,0.0171,0.2394,0.6908,47.85,0.2827,0.000427,0.1538,0.0110,ramp_up
0.063,0.0330,0.4625,0.75,0.05,0.0257,0.3598,0.6908,47.83,0.4248,0.000610,0.2197,0.0157,ramp_up
0.075,0.0413,0.5781,1.57,0.11,0.0227,0.3184,0.6908,47.85,0.3760,0.000854,0.3076,0.0220,ramp_up
0.088,0.0496,0.6937,1.01,0.07,0.0399,0.5590,0.6908,47.83,0.6600,0.001221,0.4395,0.0314,ramp_up
0.104,0.0578,0.8094,1.01,0.07,0.0399,0.5590,0.6954,47.83,0.6600,0.001221,0.4395,0.0314,ramp_up
0.113,0.0578,0.8094,3.13,0.22,0.0437,0.6118,0.6954,47.81,0.7223,0.001831,0.6592,0.0471,ramp_up
0.125,0.0661,0.9250,2.70,0.19,0.0640,0.8957,0.6954,47.81,1.0574,0.002441,0.8789,0.0628,ramp_up
0.138,0.0743,1.0406,3.90,0.28,0.0660,0.9234,0.6954,47.85,1.0902,0.003357,1.2085,0.0863,ramp_up
0.151,0.0826,1.1562,3.90,0.28,0.0660,0.9234,0.6954,47.85,1.0902,0.003357,1.2085,0.0863,ramp_up
0.163,0.0826,1.1562,8.37,0.60,0.0699,0.9788,0.6954,47.81,1.1556,0.005066,1.8237,0.1303,ramp_up
0.175,0.0908,1.2719,17.86,1.28,0.0759,1.0619,0.6954,47.85,1.2537,0.010071,3.6255,0.2590,ramp_up
0.188,0.0991,1.3875,10.70,0.76,0.0944,1.3213,0.7483,47.83,1.5599,0.013550,4.8779,0.3484,ramp_up
0.201,0.1074,1.5031,10.70,0.76,0.0944,1.3213,0.7483,47.83,1.5599,0.013550,4.8779,0.3484,ramp_up
0.213,0.1074,1.5031,-0.81,-0.06,0.1026,1.4360,0.7483,47.83,1.6953,0.013611,4.8999,0.3500,ramp_up
0.225,0.1156,1.6187,2.72,0.19,0.1062,1.4875,0.7483,47.83,1.7561,0.014465,5.2075,0.3720,ramp_up
0.238,0.1239,1.7344,3.28,0.23,0.1123,1.5727,0.7483,47.83,1.8568,0.015198,5.4712,0.3908,ramp_up
0.250,0.1321,1.8500,7.76,0.55,0.1232,1.7247,0.7483,47.83,2.0362,0.016968,6.1084,0.4363,ramp_up
0.263,0.1404,1.9656,7.76,0.55,0.1232,1.7247,0.7483,47.83,2.0362,0.016968,6.1084,0.4363,ramp_up
0.275,0.1404,1.9656,11.49,0.82,0.1371,1.9196,0.7483,47.83,2.2662,0.020447,7.3608,0.5258,ramp_up
0.288,0.1487,2.0812,0.51,0.04,0.1394,1.9510,1.0635,47.83,2.3033,0.021118,7.6025,0.5430,ramp_up
0.300,0.1569,2.1969,4.11,0.29,0.1506,2.1085,1.0635,47.83,2.4894,0.021912,7.8882,0.5634,ramp_up
0.314,0.1652,2.3125,2.67,0.19,0.1561,2.1859,1.0635,47.83,2.5807,0.023132,8.3276,0.5948,ramp_up
0.325,0.1652,2.3125,2.67,0.19,0.1561,2.1859,1.0635,47.83,2.5807,0.023132,8.3276,0.5948,ramp_up
0.338,0.1734,2.4281,0.89,0.06,0.1648,2.3070,1.0635,47.83,2.7236,0.023682,8.5254,0.6090,ramp_up
0.350,0.1817,2.5438,2.91,0.21,0.1722,2.4110,1.0635,47.85,2.8464,0.024536,8.8330,0.6309,ramp_up
0.363,0.1900,2.6594,-0.44,-0.03,0.1804,2.5250,1.0635,47.79,2.9810,0.024719,8.8989,0.6356,ramp_up
0.377,0.1900,2.6594,-0.44,-0.03,0.1804,2.5250,2.0909,47.79,2.9810,0.024719,8.8989,0.6356,ramp_up
0.388,0.1982,2.7750,0.43,0.03,0.1942,2.7187,2.0909,47.85,3.2096,0.025330,9.1187,0.6513,ramp_up
0.400,0.2065,2.8906,1.41,0.10,0.1970,2.7578,2.0909,47.85,3.2559,0.025696,9.2505,0.6607,ramp_up
0.413,0.2147,3.0063,0.43,0.03,0.2029,2.8400,2.0909,47.81,3.3529,0.025940,9.3384,0.6670,ramp_up
