time_s,cmd_motor_torque_nm,cmd_output_torque_nm,test_vel_motor_rpm,test_vel_output_rpm,test_torque_motor_nm,test_torque_output_nm,loadcell_torque_nm,test_voltage_v,test_q_A,motor_position_rev,motor_position_deg,output_position_deg,phase
0.007,nan,nan,-0.03,-0.00,-0.0031,-0.0431,-0.0474,47.83,-0.0485,0.000000,0.0000,0.0000,ramp_up
0.013,0.0083,0.1156,0.68,0.05,-0.0031,-0.0433,-0.0474,47.85,-0.0487,0.000076,0.0275,0.0020,ramp_up
0.025,0.0165,0.2313,0.40,0.03,0.0149,0.2081,-0.0474,47.83,0.2341,0.000275,0.0989,0.0071,ramp_up
0.038,0.0248,0.3469,2.31,0.16,0.0154,0.2156,-0.0474,47.83,0.2425,0.000702,0.2527,0.0180,ramp_up
0.050,0.0330,0.4625,2.31,0.16,0.0154,0.2156,-0.0474,47.83,0.2425,0.000702,0.2527,0.0180,ramp_up
0.063,0.0330,0.4625,1.96,0.14,0.0165,0.2314,-0.0497,47.85,0.2604,0.001221,0.4395,0.0314,ramp_up
0.075,0.0413,0.5781,4.70,0.34,0.0323,0.4523,-0.0497,47.83,0.5090,0.002274,0.8185,0.0585,ramp_up
0.088,0.0496,0.6937,5.58,0.40,0.0341,0.4771,-0.0497,47.85,0.5368,0.003540,1.2744,0.0910,ramp_up
0.102,0.0578,0.8094,5.58,0.40,0.0341,0.4771,-0.0497,47.85,0.5368,0.003540,1.2744,0.0910,ramp_up
0.113,0.0578,0.8094,25.75,1.84,0.0383,0.5358,-0.0497,47.83,0.6029,0.007996,2.8784,0.2056,ramp_up
0.125,0.0661,0.9250,69.32,4.95,0.0579,0.8108,-0.0497,47.83,0.9124,0.026779,9.6405,0.6886,ramp_up
0.138,0.0743,1.0406,11.95,0.85,0.0797,1.1152,-0.0497,47.83,1.2548,0.035004,12.6013,0.9001,ramp_up
0.150,0.0743,1.0406,11.95,0.85,0.0797,1.1152,-0.0497,47.83,1.2548,0.035004,12.6013,0.9001,ramp_up
0.163,0.0826,1.1562,-5.97,-0.43,0.0753,1.0537,-0.0418,47.85,1.1856,0.032516,11.7059,0.8361,ramp_up
0.175,0.0908,1.2719,1.85,0.13,0.0838,1.1731,-0.0418,47.85,1.3200,0.033401,12.0245,0.8589,ramp_up
0.188,0.0991,1.3875,0.30,0.02,0.0833,1.1656,-0.0418,47.85,1.3115,0.033432,12.0355,0.8597,ramp_up
0.200,0.1074,1.5031,0.30,0.02,0.0833,1.1656,-0.0418,47.85,1.3115,0.033432,12.0355,0.8597,ramp_up
0.213,0.1074,1.5031,3.72,0.27,0.1034,1.4479,-0.0418,47.83,1.6292,0.034103,12.2772,0.8769,ramp_up
0.225,0.1156,1.6187,5.38,0.38,0.1002,1.4029,-0.0418,47.83,1.5785,0.035324,12.7167,0.9083,ramp_up
0.238,0.1239,1.7344,15.47,1.11,0.1243,1.7408,-0.0418,47.85,1.9587,0.038528,13.8702,0.9907,ramp_up
0.254,0.1321,1.8500,15.47,1.11,0.1243,1.7408,0.1054,47.85,1.9587,0.038528,13.8702,0.9907,ramp_up
0.263,0.1321,1.8500,39.81,2.84,0.1126,1.5771,0.1054,47.85,1.7745,0.047729,17.1826,1.2273,ramp_up
0.275,0.1404,1.9656,46.29,3.31,0.1493,2.0901,0.1054,47.83,2.3518,0.062363,22.4506,1.6036,ramp_up
0.288,0.1487,2.0812,-20.77,-1.48,0.1309,1.8325,0.1054,47.83,2.0619,0.059448,21.4014,1.5287,ramp_up
0.302,0.1569,2.1969,-20.77,-1.48,0.1309,1.8325,0.1054,47.83,2.0619,0.059448,21.4014,1.5287,ramp_up
0.313,0.1569,2.1969,17.64,1.26,0.1505,2.1073,0.1054,47.83,2.3711,0.062164,22.3792,1.5985,ramp_up
0.325,0.1652,2.3125,-5.06,-0.36,0.1507,2.1094,0.1054,47.85,2.3735,0.061172,22.0221,1.5730,ramp_up
0.338,0.1734,2.4281,-1.09,-0.08,0.1697,2.3755,0.1054,47.81,2.6729,0.062363,22.4506,1.6036,ramp_up
0.354,0.1817,2.5438,-1.09,-0.08,0.1697,2.3755,0.6575,47.81,2.6729,0.062363,22.4506,1.6036,ramp_up
0.363,0.1817,2.5438,2.18,0.16,0.1788,2.5026,0.6575,47.83,2.8159,0.062576,22.5275,1.6091,ramp_up
0.375,0.1900,2.6594,1.61,0.12,0.1846,2.5846,0.6575,47.81,2.9082,0.062576,22.5275,1.6091,ramp_up
0.388,0.1982,2.7750,0.11,0.01,0.1936,2.7108,0.6575,47.81,3.0502,0.062637,22.5494,1.6107,ramp_up
0.401,0.2065,2.8906,0.11,0.01,0.1936,2.7108,0.6575,47.81,3.0502,0.062637,22.5494,1.6107,ramp_up
0.413,0.2065,2.8906,1.11,0.08,0.1998,2.7976,0.6575,47.83,3.1479,0.063385,22.8186,1.6299,ramp_up
0.425,0.2147,3.0063,0.91,0.07,0.2081,2.9140,0.6575,47.85,3.2789,0.063477,22.8516,1.6323,ramp_up
0.438,0.2230,3.1219,1.95,0.14,0.2114,2.9591,1.7924,47.83,3.3296,0.064072,23.0658,1.6476,ramp_up
0.450,0.2312,3.2375,1.95,0.14,0.2114,2.9591,1.7924,47.83,3.3296,0.064072,23.0658,1.6476,ramp_up
0.463,0.2312,3.2375,0.41,0.03,0.2287,3.2023,1.7924,47.85,3.6032,0.064468,23.2086,1.6578,ramp_up
0.475,0.2395,3.3531,1.77,0.13,0.2308,3.2309,1.7924,47.81,3.6354,0.065033,23.4119,1.6723,ramp_up
0.488,0.2478,3.4688,3.02,0.22,0.2525,3.5347,1.7924,47.83,3.9772,0.065704,23.6536,1.6895,ramp_up
0.502,0.2560,3.5844,1.95,0.14,0.2439,3.4150,1.7924,47.83,3.8426,0.066681,24.0051,1.7147,ramp_up
0.513,0.2560,3.5844,1.95,0.14,0.2439,3.4150,1.7924,47.83,3.8426,0.066681,24.0051,1.7147,ramp_up
0.526,0.2643,3.7000,1.70,0.12,0.2567,3.5939,2.7777,47.85,4.0438,0.067062,24.1425,1.7245,ramp_up
0.538,0.2725,3.8156,0.72,0.05,0.2656,3.7180,2.7777,47.81,4.1835,0.067474,24.2908,1.7351,ramp_up
0.550,0.2808,3.9312,0.72,0.05,0.2656,3.7180,2.7777,47.81,4.1835,0.067474,24.2908,1.7351,ramp_up
0.563,0.2808,3.9312,0.54,0.04,0.2722,3.8110,2.7777,47.83,4.1284,0.067703,24.3732,1.7409,ramp_up
0.575,0.2891,4.0469,-0.04,-0.00,0.2877,4.0282,2.7777,47.83,4.5325,0.067856,24.4281,1.7449,ramp_up
0.588,0.2973,4.1625,-0.50,-0.04,0.2891,4.0469,2.7777,47.83,4.5535,0.067993,24.4775,1.7484,ramp_up
0.601,0.3056,4.2781,-0.17,-0.01,0.3014,4.2190,2.7777,47.81,4.7472,0.068192,24.5490,1.7535,ramp_up
0.613,0.3056,4.2781,-0.17,-0.01,0.3014,4.2190,2.7777,47.81,4.7472,0.068192,24.5490,1.7535,ramp_up
0.626,0.3138,4.3937,1.10,0.08,0.3014,4.2192,3.1921,47.81,4.7474,0.068527,24.6698,1.7621,ramp_up
0.638,0.3221,4.5094,0.64,0.05,0.3083,4.3157,3.1921,47.81,4.8561,0.068817,24.7742,1.7696,ramp_up
0.650,0.3304,4.6250,1.23,0.09,0.3235,4.5292,3.1921,47.83,5.0963,0.069183,24.9060,1.7790,ramp_up
