time_s,encoder_pos_rad,output_torque_Nm
0.011014,-0.560552383,0.025000
0.022315,-0.560920804,0.050000
0.033090,-0.559898962,0.075000
0.043633,-0.559543508,0.100000
0.054163,-0.559136278,0.125000
0.064702,-0.558383613,0.150000
0.075278,-0.557729817,0.175000
0.085907,-0.556494365,0.200000
0.096590,-0.554876682,0.225000
0.107195,-0.553245563,0.250000
0.117890,-0.549287024,0.275000
0.128661,-0.544011156,0.300000
0.139377,-0.533741799,0.325000
0.150147,-0.517839856,0.350000
0.160847,-0.501936275,0.375000
0.171663,-0.444319398,0.400000
0.182275,-0.409985203,0.425000
0.192885,-0.394300380,0.450000
0.203359,-0.396492932,0.475000
0.213779,-0.398447671,0.500000
0.224349,-0.396641377,0.525000
0.235027,-0.396822872,0.550000
0.245641,-0.396233445,0.575000
0.256238,-0.396273939,0.600000
0.266929,-0.396003544,0.625000
0.277467,-0.395471979,0.650000
0.288220,-0.395225506,0.675000
0.298885,-0.393823586,0.700000
0.309582,-0.393098587,0.725000
0.320248,-0.391132612,0.750000
0.330945,-0.389633695,0.775000
0.342062,-0.385751789,0.800000
0.352844,-0.383610826,0.825000
0.363351,-0.381823538,0.850000
0.373876,-0.380113305,0.875000
0.384564,-0.378312441,0.900000
0.395118,-0.377544842,0.925000
0.405788,-0.375511737,0.950000
0.416512,-0.373441275,0.975000
0.427222,-0.370563563,1.000000
0.437857,-0.366930704,1.025000
0.448551,-0.358179411,1.050000
0.459262,-0.336067533,1.075000
0.470005,-0.308887264,1.100000
0.480752,-0.270427686,1.125000
0.492013,-0.164791987,1.150000
0.502719,-0.134958710,1.175000
0.513297,-0.133726957,1.200000
0.523888,-0.142220823,1.225000
0.534486,-0.143449768,1.250000
0.545095,-0.141875293,1.275000
0.555719,-0.141739769,1.300000
0.566338,-0.141708310,1.325000
0.577060,-0.140494486,1.350000
0.587727,-0.140982609,1.375000
0.598408,-0.139917277,1.400000
0.609083,-0.139180528,1.425000
0.619745,-0.138379223,1.450000
0.630443,-0.138281618,1.475000
0.641189,-0.135908788,1.500000
0.652161,-0.133513254,1.525000
0.662803,-0.130372076,1.550000
0.673484,-0.126456886,1.575000
0.684004,-0.122238626,1.600000
0.694647,-0.119824975,1.625000
0.705340,-0.118465093,1.650000
0.715935,-0.119400612,1.675000
0.726601,-0.118343659,1.700000
0.737320,-0.116226243,1.725000
0.747979,-0.114419668,1.750000
0.758723,-0.113731324,1.775000
0.769471,-0.112774646,1.800000
0.780262,-0.111264212,1.825000
0.790958,-0.109426647,1.850000
0.802518,-0.102153205,1.875000
0.813092,-0.096902430,1.900000
0.823624,-0.091240258,1.925000
0.834204,-0.082279709,1.950000
0.844771,-0.072688631,1.975000
0.855317,-0.062262355,2.000000
0.866031,-0.040883528,2.025000
0.876666,-0.013557857,2.050000
0.887252,0.009284497,2.075000
0.897875,0.021759326,2.100000
0.908596,0.022253114,2.125000
0.919235,0.022306762,2.150000
0.929997,0.023971727,2.175000
0.940638,0.024341178,2.200000
0.952141,0.026754314,2.225000
0.962861,0.028462253,2.250000
0.973411,0.028941997,2.275000
0.983971,0.028911662,2.300000
0.994497,0.030284511,2.325000
1.005043,0.032033646,2.350000
1.015681,0.032462176,2.375000
1.026361,0.033208100,2.400000
1.037021,0.035102637,2.425000
1.047675,0.035314515,2.450000
1.058375,0.036256774,2.475000
1.069052,0.038548477,2.500000
1.079704,0.039209107,2.525000
1.090410,0.041823353,2.550000
1.102102,0.045504102,2.575000
