time_s,encoder_pos_rad,output_torque_Nm
0.096133,-0.232135373,0.360000
0.106847,-0.232135373,0.400000
0.117620,-0.232135373,0.440000
0.128386,-0.232135373,0.480000
0.139073,-0.232135373,0.520000
0.149803,-0.232135373,0.560000
0.160493,-0.232135373,0.600000
0.171021,-0.232135373,0.640000
0.181582,-0.232135373,0.680000
0.192822,-0.232135373,0.720000
0.203666,-0.224767321,0.760000
0.214325,-0.224767321,0.800000
0.225037,-0.224767321,0.840000
0.235753,-0.224767321,0.880000
0.246398,-0.224767321,0.920000
0.257154,-0.224767321,0.960000
0.267966,-0.224767321,1.000000
0.278615,-0.224767321,1.040000
0.289367,-0.224767321,1.080000
0.300007,-0.219640320,1.120000
0.310613,-0.219640320,1.160000
0.321245,-0.219640320,1.200000
0.331967,-0.219640320,1.240000
0.342657,-0.219640320,1.280000
0.353364,-0.219640320,1.320000
0.364063,-0.219640320,1.360000
0.374810,-0.219640320,1.400000
0.385639,-0.219640320,1.440000
0.396465,-0.193996700,1.480000
0.407084,-0.193996700,1.520000
0.417852,-0.193996700,1.560000
0.428619,-0.193996700,1.600000
0.439284,-0.193996700,1.640000
0.449870,-0.193996700,1.680000
0.460589,-0.193996700,1.720000
0.471279,-0.193996700,1.760000
0.482101,-0.193996700,1.800000
0.493263,-0.050552082,1.840000
0.503970,-0.050552082,1.880000
0.514605,-0.050552082,1.920000
0.525185,-0.050552082,1.960000
0.535713,-0.050552082,2.000000
0.546207,-0.050552082,2.040000
0.556772,-0.050552082,2.080000
0.567326,-0.050552082,2.120000
0.577950,-0.050552082,2.160000
0.588655,-0.050552082,2.200000
0.599265,-0.035118460,2.240000
0.609823,-0.035118460,2.280000
0.620413,-0.035118460,2.320000
0.631083,-0.035118460,2.360000
0.641773,-0.035118460,2.400000
0.652478,-0.035118460,2.440000
0.663329,-0.035118460,2.480000
0.674080,-0.035118460,2.520000
0.684750,-0.035118460,2.560000
0.695305,-0.009710031,2.600000
0.706016,-0.009710031,2.640000
0.716737,-0.009710031,2.680000
0.727334,-0.009710031,2.720000
0.737936,-0.009710031,2.760000
0.748577,-0.009710031,2.800000
0.759234,-0.009710031,2.840000
0.769868,-0.009710031,2.880000
0.780386,-0.009710031,2.920000
0.791098,-0.009710031,2.960000
0.801788,0.018032888,3.000000
0.812429,0.018032888,3.040000
0.823195,0.018032888,3.080000
0.833823,0.018032888,3.120000
0.844405,0.018032888,3.160000
0.855047,0.018032888,3.200000
0.865679,0.018032888,3.240000
0.876609,0.018032888,3.280000
0.887296,0.018032888,3.320000
0.897962,0.030788223,3.360000
0.908744,0.030788223,3.400000
0.919417,0.030788223,3.440000
0.930125,0.030788223,3.480000
0.940875,0.030788223,3.520000
0.951538,0.030788223,3.560000
0.962231,0.030788223,3.600000
0.972885,0.030788223,3.640000
0.983567,0.030788223,3.680000
0.994217,0.035917097,3.720000
1.004880,0.035917097,3.760000
1.015596,0.035917097,3.800000
1.026383,0.035917097,3.840000
1.037030,0.035917097,3.880000
1.047706,0.035917097,3.920000
1.058350,0.035917097,3.960000
1.069032,0.035917097,4.000000
1.079771,0.035917097,4.040000
1.090390,0.035917097,4.080000
1.100997,0.051261773,4.120000
1.111701,0.051261773,4.160000
1.122345,0.051261773,4.200000
1.133092,0.051261773,4.240000
1.143892,0.051261773,4.280000
1.154577,0.051261773,4.320000
1.165241,0.051261773,4.360000
1.175875,0.051261773,4.400000
1.186569,0.051261773,4.440000
1.197067,0.113741155,4.480000
1.207701,0.113741155,4.520000
1.218345,0.113741155,4.560000
1.229021,0.113741155,4.600000
1.239696,0.113741155,4.640000
1.250394,0.113741155,4.680000
1.261085,0.113741155,4.720000
1.271651,0.113741155,4.760000
1.282315,0.113741155,4.800000
1.293258,0.118946054,4.840000
1.303902,0.118946054,4.880000
1.314603,0.118946054,4.920000
1.325201,0.118946054,4.960000
1.335796,0.118946054,5.000000
1.346251,0.118946054,5.040000
1.357060,0.118946054,5.080000
1.367633,0.118946054,5.120000
1.378341,0.118946054,5.160000
1.388880,0.118946054,5.200000
1.399765,0.125634749,5.240000
1.410357,0.125634749,5.280000
1.420861,0.125634749,5.320000
1.431742,0.125634749,5.360000
1.442315,0.125634749,5.400000
1.453116,0.125634749,5.440000
1.463798,0.125634749,5.480000
1.474390,0.125634749,5.520000
1.485117,0.125634749,5.560000
1.495551,0.181608008,5.600000
1.506153,0.181608008,5.640000
1.516876,0.181608008,5.680000
1.527564,0.181608008,5.720000
1.538205,0.181608008,5.760000
1.549026,0.181608008,5.800000
1.559661,0.181608008,5.840000
1.570222,0.181608008,5.880000
1.580855,0.181608008,5.920000
1.591478,0.181608008,5.960000
1.602098,0.187156517,6.000000
1.612882,0.187156517,6.040000
1.623561,0.187156517,6.080000
1.634216,0.187156517,6.120000
1.645041,0.187156517,6.160000
1.655779,0.187156517,6.200000
1.666360,0.187156517,6.240000
1.677024,0.187156517,6.280000
1.687662,0.187156517,6.320000
1.698302,0.193590922,6.360000
1.708979,0.193590922,6.400000
1.719667,0.193590922,6.440000
1.730356,0.193590922,6.480000
1.740923,0.193590922,6.520000
1.751593,0.193590922,6.560000
1.762270,0.193590922,6.600000
1.772934,0.193590922,6.640000
1.783607,0.193590922,6.680000
1.794147,0.196746893,6.720000
1.804788,0.196746893,6.760000
1.815416,0.196746893,6.800000
1.826138,0.196746893,6.840000
1.836810,0.196746893,6.880000
1.847479,0.196746893,6.920000
1.858108,0.196746893,6.960000
1.868818,0.196746893,7.000000
1.879454,0.196746893,7.040000
1.890093,0.196746893,7.080000
1.900711,0.199277624,7.120000
1.911466,0.199277624,7.160000
1.922124,0.199277624,7.200000
1.932929,0.199277624,7.240000
1.943671,0.199277624,7.280000
1.954375,0.199277624,7.320000
1.965074,0.199277624,7.360000
1.975735,0.199277624,7.400000
1.986409,0.199277624,7.440000
1.996998,0.202114889,7.480000
2.007622,0.202114889,7.520000
2.018235,0.202114889,7.560000
2.028899,0.202114889,7.600000
2.039561,0.202114889,7.640000
2.050174,0.202114889,7.680000
2.061037,0.202114889,7.720000
2.071659,0.202114889,7.760000
2.082417,0.202114889,7.800000
2.093167,0.206571523,7.840000
2.103840,0.206571523,7.880000
2.114486,0.206571523,7.920000
2.125262,0.206571523,7.960000
2.135898,0.206571523,8.000000
2.146572,0.206571523,8.040000
2.157262,0.206571523,8.080000
2.167972,0.206571523,8.120000
2.178630,0.206571523,8.160000
2.189305,0.206571523,8.200000
2.200008,0.222157756,8.240000
2.210658,0.222157756,8.280000
2.221365,0.222157756,8.320000
2.231989,0.222157756,8.360000
2.242657,0.222157756,8.400000
2.253309,0.222157756,8.440000
2.263948,0.222157756,8.480000
2.274583,0.222157756,8.520000
2.285208,0.222157756,8.560000
2.295722,0.226171723,8.600000
2.306328,0.226171723,8.640000
2.316996,0.226171723,8.680000
2.327769,0.226171723,8.720000
2.338463,0.226171723,8.760000
2.349131,0.226171723,8.800000
2.359800,0.226171723,8.840000
2.370417,0.226171723,8.880000
2.381189,0.226171723,8.920000
2.392100,0.226171723,8.960000
2.402738,0.239172547,9.000000
2.413418,0.239172547,9.040000
2.424049,0.239172547,9.080000
2.434780,0.239172547,9.120000
2.445385,0.239172547,9.160000
2.456085,0.239172547,9.200000
2.466763,0.239172547,9.240000
2.477480,0.239172547,9.280000
2.488131,0.239172547,9.320000
2.498775,0.247584911,9.360000
2.509441,0.247584911,9.400000
2.520118,0.247584911,9.440000
2.530832,0.247584911,9.480000
2.541477,0.247584911,9.520000
2.552190,0.247584911,9.560000
2.562903,0.247584911,9.600000
2.573525,0.247584911,9.640000
2.584200,0.247584911,9.680000
2.594836,0.250581904,9.720000
2.605466,0.250581904,9.760000
2.616109,0.250581904,9.800000
2.626763,0.250581904,9.840000
2.637382,0.250581904,9.880000
2.648048,0.250581904,9.920000
2.658700,0.250581904,9.960000
2.669415,0.250581904,10.000000
2.680028,0.250581904,10.040000
2.690662,0.250581904,10.080000
2.701304,0.254200765,10.120000
2.711969,0.254200765,10.160000
2.722646,0.254200765,10.200000
2.733359,0.254200765,10.240000
2.744030,0.254200765,10.280000
2.754690,0.254200765,10.320000
2.765320,0.254200765,10.360000
2.776033,0.254200765,10.400000
2.786701,0.254200765,10.440000
2.797275,0.260434060,10.480000
2.807924,0.260434060,10.520000
2.818602,0.260434060,10.560000
2.829281,0.260434060,10.600000
2.839898,0.260434060,10.640000
2.850561,0.260434060,10.680000
2.861241,0.260434060,10.720000
2.871852,0.260434060,10.760000
2.882756,0.260434060,10.800000
2.893649,0.265600384,10.840000
2.904202,0.265600384,10.880000
2.914870,0.265600384,10.920000
2.925608,0.265600384,10.960000
2.936211,0.265600384,11.000000
2.946846,0.265600384,11.040000
2.957511,0.265600384,11.080000
2.968270,0.265600384,11.120000
2.978969,0.265600384,11.160000
2.989662,0.265600384,11.200000
3.000239,0.268362748,11.240000
3.010918,0.268362748,11.280000
3.021581,0.268362748,11.320000
3.032322,0.268362748,11.360000
3.043092,0.268362748,11.400000
3.053705,0.268362748,11.440000
3.064570,0.268362748,11.480000
3.075208,0.268362748,11.520000
3.085886,0.268362748,11.560000
3.096517,0.270145402,11.600000
3.107210,0.270145402,11.640000
3.117855,0.270145402,11.680000
3.128515,0.270145402,11.720000
3.139205,0.270145402,11.760000
3.149831,0.270145402,11.800000
3.160627,0.270145402,11.840000
3.171248,0.270145402,11.880000
3.181935,0.270145402,11.920000
3.192957,0.274085965,11.960000
3.203618,0.274085965,12.000000
3.214419,0.274085965,12.040000
3.225110,0.274085965,12.080000
3.235879,0.274085965,12.120000
3.246495,0.274085965,12.160000
3.257163,0.274085965,12.200000
3.267886,0.274085965,12.240000
3.278543,0.274085965,12.280000
3.289211,0.274085965,12.320000
3.299815,0.277652957,12.360000
3.310529,0.277652957,12.400000
3.321332,0.277652957,12.440000
3.331989,0.277652957,12.480000
3.342628,0.277652957,12.520000
3.353227,0.277652957,12.560000
3.363901,0.277652957,12.600000
3.374528,0.277652957,12.640000
3.385204,0.277652957,12.680000
3.395742,0.295495033,12.720000
3.406385,0.295495033,12.760000
3.417026,0.295495033,12.800000
3.427715,0.295495033,12.840000
3.438369,0.295495033,12.880000
3.448978,0.295495033,12.920000
3.459570,0.295495033,12.960000
3.470241,0.295495033,13.000000
3.480962,0.295495033,13.040000
3.491675,0.295495033,13.080000
3.502295,0.298645199,13.120000
3.512987,0.298645199,13.160000
3.523641,0.298645199,13.200000
3.534273,0.298645199,13.240000
3.544928,0.298645199,13.280000
3.555634,0.298645199,13.320000
3.566314,0.298645199,13.360000
3.577013,0.298645199,13.400000
3.587670,0.298645199,13.440000
3.598341,0.305827495,13.480000
3.609094,0.305827495,13.520000
3.619773,0.305827495,13.560000
3.630408,0.305827495,13.600000
3.641014,0.305827495,13.640000
3.651688,0.305827495,13.680000
3.662292,0.305827495,13.720000
3.673064,0.305827495,13.760000
3.683761,0.305827495,13.800000
3.694409,0.320841107,13.840000
3.705114,0.320841107,13.880000
3.715721,0.320841107,13.920000
3.726431,0.320841107,13.960000
3.737118,0.320841107,14.000000
3.747730,0.320841107,14.040000
3.758396,0.320841107,14.080000
3.769021,0.320841107,14.120000
3.779643,0.320841107,14.160000
3.790363,0.320841107,14.200000
3.800981,0.323687548,14.240000
3.811614,0.323687548,14.280000
3.822294,0.323687548,14.320000
3.832963,0.323687548,14.360000
3.843711,0.323687548,14.400000
3.854373,0.323687548,14.440000
3.865015,0.323687548,14.480000
3.875672,0.323687548,14.520000
3.886330,0.323687548,14.560000
3.896877,0.326821236,14.600000
3.907551,0.326821236,14.640000
3.918214,0.326821236,14.680000
3.928944,0.326821236,14.720000
3.939565,0.326821236,14.760000
3.950104,0.326821236,14.800000
3.960753,0.326821236,14.840000
3.971433,0.326821236,14.880000
3.982101,0.326821236,14.920000
3.993388,0.333311068,14.960000
4.004011,0.333311068,15.000000
4.014691,0.333311068,15.040000
4.025440,0.333311068,15.080000
4.036089,0.333311068,15.120000
4.046760,0.333311068,15.160000
4.057381,0.333311068,15.200000
4.068150,0.333311068,15.240000
4.078834,0.333311068,15.280000
4.089496,0.333311068,15.320000
4.100225,0.339555598,15.360000
4.110919,0.339555598,15.400000
4.121686,0.339555598,15.440000
4.132626,0.339555598,15.480000
4.143342,0.339555598,15.520000
4.154056,0.339555598,15.560000
4.164742,0.339555598,15.600000
4.175433,0.339555598,15.640000
4.186088,0.339555598,15.680000
4.196740,0.342589854,15.720000
4.207327,0.342589854,15.760000
4.218013,0.342589854,15.800000
4.228870,0.342589854,15.840000
4.239479,0.342589854,15.880000
4.250119,0.342589854,15.920000
4.260751,0.342589854,15.960000
4.271242,0.342589854,16.000000
4.281755,0.342589854,16.040000
4.292429,0.344657507,16.080000
4.302953,0.344657507,16.120000
4.313604,0.344657507,16.160000
4.324194,0.344657507,16.200000
4.334741,0.344657507,16.240000
4.345386,0.344657507,16.280000
4.355964,0.344657507,16.320000
4.366591,0.344657507,16.360000
4.377420,0.344657507,16.400000
4.388059,0.344657507,16.440000
4.398694,0.346121455,16.480000
4.409320,0.346121455,16.520000
4.419986,0.346121455,16.560000
4.430667,0.346121455,16.600000
4.441391,0.346121455,16.640000
4.452178,0.346121455,16.680000
4.462873,0.346121455,16.720000
4.473498,0.346121455,16.760000
4.484133,0.346121455,16.800000
4.494788,0.348359697,16.840000
4.505409,0.348359697,16.880000
4.516088,0.348359697,16.920000
4.526730,0.348359697,16.960000
4.537364,0.348359697,17.000000
4.548194,0.348359697,17.040000
4.558838,0.348359697,17.080000
4.569472,0.348359697,17.120000
4.580118,0.348359697,17.160000
4.590753,0.348359697,17.200000
4.601409,0.352421787,17.240000
4.612080,0.352421787,17.280000
4.622762,0.352421787,17.320000
4.633456,0.352421787,17.360000
4.644048,0.352421787,17.400000
4.654711,0.352421787,17.440000
4.665384,0.352421787,17.480000
4.676086,0.352421787,17.520000
4.686696,0.352421787,17.560000
4.697348,0.366287910,17.600000
4.708005,0.366287910,17.640000
4.718597,0.366287910,17.680000
4.729306,0.366287910,17.720000
4.739965,0.366287910,17.760000
4.750592,0.366287910,17.800000
4.761235,0.366287910,17.840000
4.771912,0.366287910,17.880000
4.782459,0.366287910,17.920000
4.793424,0.368731006,17.960000
4.804035,0.368731006,18.000000
4.814713,0.368731006,18.040000
4.825462,0.368731006,18.080000
4.836145,0.368731006,18.120000
4.846712,0.368731006,18.160000
4.857390,0.368731006,18.200000
4.868061,0.368731006,18.240000
4.878751,0.368731006,18.280000
4.889517,0.368731006,18.320000
4.900102,0.370133535,18.360000
4.910811,0.370133535,18.400000
4.921452,0.370133535,18.440000
4.932087,0.370133535,18.480000
