time_s,output_pos_rad,output_torque_Nm
0.004832,-0.000006848,0.000000
0.013501,-0.000006848,0.040000
0.023791,-0.000006848,0.080000
0.034306,0.000006848,0.120000
0.044449,0.000020544,0.160000
0.054492,0.000068481,0.200000
0.064904,0.000116418,0.240000
0.075300,0.000136963,0.280000
0.085188,0.000191748,0.320000
0.095035,0.000253381,0.360000
0.105090,0.000287621,0.400000
0.115266,0.000342406,0.440000
0.125549,0.000417736,0.480000
0.135703,0.000506762,0.520000
0.145806,0.000671117,0.560000
0.156250,0.000903953,0.600000
0.166098,0.001273752,0.640000
0.176073,0.001896932,0.680000
0.186349,0.002389997,0.720000
0.196311,0.002739251,0.760000
0.206624,0.003088506,0.800000
0.216906,0.003389824,0.840000
0.226812,0.003766471,0.880000
0.236935,0.004245840,0.920000
0.247070,0.004766297,0.960000
0.257250,0.005129248,1.000000
0.267318,0.005437414,1.040000
0.277502,0.005567528,1.080000
0.287601,0.005793517,1.120000
0.297776,0.005978416,1.160000
0.307934,0.006211253,1.200000
0.318313,0.006574203,1.240000
0.328403,0.007005635,1.280000
0.338176,0.007464460,1.320000
0.347993,0.007854803,1.360000
0.358769,0.008204058,1.400000
0.368668,0.008532768,1.440000
0.378802,0.008888871,1.480000
0.388951,0.009429873,1.520000
0.399108,0.009984571,1.560000
0.409619,0.010340674,1.600000
0.419522,0.010539270,1.640000
0.429664,0.010676232,1.680000
0.439869,0.010785802,1.720000
0.449917,0.010909069,1.760000
0.460083,0.011004943,1.800000
0.470204,0.011148753,1.840000
0.480033,0.011244627,1.880000
0.490178,0.011374741,1.920000
0.500814,0.011491160,1.960000
0.510566,0.011634970,2.000000
0.521261,0.011826718,2.040000
0.530692,0.012011617,2.080000
0.541178,0.012244454,2.120000
0.551313,0.012449898,2.160000
0.561446,0.012696430,2.200000
0.571240,0.012895026,2.240000
0.581041,0.013045685,2.280000
0.591410,0.013216888,2.320000
0.601599,0.013319610,2.360000
0.612413,0.013436028,2.400000
0.622180,0.013552446,2.440000
0.631917,0.013662016,2.480000
0.641849,0.013771586,2.520000
0.652163,0.013901701,2.560000
0.662413,0.014066056,2.600000
0.672647,0.014216715,2.640000
0.682584,0.014449551,2.680000
0.693694,0.014661843,2.720000
0.703009,0.014901528,2.760000
0.713025,0.015278175,2.800000
0.723288,0.015415137,2.840000
0.733801,0.015558948,2.880000
0.744433,0.015600037,2.920000
0.753825,0.015730151,2.960000
0.763911,0.015798632,3.000000
0.774343,0.015928747,3.040000
0.784180,0.015962988,3.080000
0.793992,0.016058861,3.120000
0.804433,0.016099950,3.160000
0.814879,0.016223216,3.200000
0.824670,0.016312242,3.240000
0.834184,0.016449205,3.280000
0.844320,0.016545078,3.320000
0.854642,0.016716282,3.360000
0.864616,0.016873789,3.400000
0.875706,0.017168258,3.440000
0.885701,0.017538057,3.480000
0.895545,0.018195477,3.520000
0.905951,0.019571951,3.560000
0.916056,0.021598997,3.600000
0.926259,0.023454840,3.640000
0.936276,0.024550541,3.680000
0.946370,0.025098391,3.720000
0.956519,0.025728419,3.760000
0.966666,0.026105066,3.800000
0.976743,0.026331054,3.840000
0.986866,0.026481713,3.880000
0.996978,0.026639220,3.920000
1.007101,0.026769334,3.960000
1.017260,0.026872056,4.000000
1.027291,0.026981626,4.040000
1.037336,0.027118589,4.080000
1.047480,0.027207615,4.120000
1.057620,0.027303488,4.160000
1.068030,0.027392514,4.200000
1.077993,0.027467843,4.240000
1.088408,0.027556869,4.280000
1.098189,0.027659591,4.320000
1.107972,0.027714376,4.360000
1.118302,0.027782857,4.400000
1.128926,0.027912972,4.440000
1.138872,0.027967757,4.480000
1.148964,0.028063631,4.520000
1.158914,0.028145808,4.560000
1.169036,0.028186897,4.600000
1.179423,0.028269075,4.640000
1.189515,0.028303315,4.680000
1.199450,0.028344404,4.720000
1.209648,0.028406037,4.760000
1.219804,0.028460822,4.800000
1.229880,0.028508759,4.840000
1.240015,0.028536152,4.880000
1.250180,0.028584088,4.920000
1.260162,0.028604633,4.960000
1.270621,0.028659418,5.000000
1.280729,0.028721051,5.040000
1.290914,0.028748444,5.080000
1.301029,0.028796380,5.120000
1.311141,0.028803229,5.160000
1.321256,0.028858014,5.200000
1.331483,0.028899102,5.240000
1.341535,0.028926495,5.280000
1.351965,0.028988128,5.320000
1.361840,0.029042913,5.360000
1.371916,0.029077154,5.400000
1.382222,0.029097698,5.440000
1.392232,0.029131939,5.480000
1.402056,0.029179876,5.520000
1.412576,0.029227813,5.560000
1.422740,0.029207268,5.600000
1.432595,0.029323686,5.640000
1.443054,0.029330534,5.680000
1.452891,0.029357927,5.720000
1.462887,0.029419560,5.760000
1.473135,0.029446953,5.800000
1.483103,0.029494890,5.840000
1.493829,0.029556523,5.880000
1.503764,0.029577067,5.920000
1.513912,0.029659245,5.960000
1.523989,0.029727726,6.000000
1.533944,0.029761967,6.040000
1.543970,0.029796207,6.080000
1.554444,0.029857840,6.120000
1.564348,0.029953714,6.160000
1.574385,0.030008499,6.200000
1.584638,0.030042740,6.240000
1.595022,0.030104373,6.280000
1.605472,0.030179702,6.320000
1.614976,0.030268728,6.360000
1.625169,0.030296121,6.400000
1.635138,0.030419387,6.440000
1.645334,0.030439931,6.480000
1.655634,0.030535805,6.520000
1.665856,0.030659071,6.560000
1.675923,0.030761793,6.600000
1.686003,0.030878211,6.640000
1.696198,0.031042567,6.680000
1.706215,0.031165833,6.720000
1.716282,0.031295947,6.760000
1.726533,0.031439758,6.800000
1.736623,0.031597265,6.840000
1.746701,0.031768468,6.880000
1.756853,0.031960216,6.920000
1.767001,0.032357407,6.960000
1.777087,0.033213423,7.000000
1.787186,0.035904738,7.040000
1.797150,0.039301410,7.080000
1.807188,0.040369718,7.120000
1.817468,0.041013442,7.160000
1.827439,0.041342152,7.200000
1.837551,0.041533899,7.240000
1.847601,0.041691406,7.280000
1.858120,0.041684558,7.320000
1.868041,0.041862610,7.360000
1.878214,0.041910547,7.400000
1.889189,0.041951635,7.440000
1.898721,0.042061205,7.480000
1.908390,0.042074902,7.520000
1.919060,0.042136535,7.560000
1.929242,0.042232409,7.600000
1.939082,0.042280345,7.640000
1.949324,0.042335130,7.680000
1.959443,0.042396764,7.720000
1.969786,0.042444701,7.760000
1.979993,0.042526878,7.800000
1.989625,0.042595359,7.840000
1.999915,0.042636448,7.880000
2.010068,0.042691233,7.920000
2.020306,0.042766563,7.960000
2.030333,0.042800803,8.000000
2.040514,0.042862436,8.040000
2.050576,0.042944614,8.080000
2.060688,0.042978855,8.120000
2.071085,0.043061032,8.160000
2.080824,0.043088425,8.200000
2.090899,0.043163754,8.240000
2.101147,0.043245932,8.280000
2.111234,0.043314413,8.320000
2.121274,0.043382894,8.360000
2.131268,0.043437679,8.400000
2.141916,0.043526705,8.440000
2.151961,0.043595186,8.480000
2.162012,0.043622579,8.520000
2.172169,0.043704756,8.560000
2.182270,0.043773237,8.600000
2.192377,0.043841719,8.640000
2.202487,0.043896504,8.680000
2.212745,0.043917048,8.720000
2.222828,0.043992378,8.760000
2.232942,0.044033466,8.800000
2.243068,0.044067707,8.840000
2.253018,0.044129340,8.880000
2.263270,0.044170429,8.920000
2.273394,0.044204670,8.960000
2.283717,0.044259455,9.000000
2.293759,0.044279999,9.040000
2.303849,0.044355328,9.080000
2.313932,0.044389569,9.120000
2.324300,0.044396417,9.160000
2.334316,0.044437506,9.200000
2.344379,0.044458050,9.240000
2.354426,0.044519683,9.280000
2.364719,0.044553924,9.320000
2.374800,0.044615557,9.360000
2.384866,0.044649798,9.400000
2.394936,0.044677190,9.440000
2.405108,0.044731975,9.480000
2.415312,0.044752520,9.520000
2.425299,0.044800457,9.560000
2.435600,0.044827849,9.600000
2.445790,0.044896331,9.640000
2.455821,0.045485270,9.680000
2.465927,0.045416788,9.720000
2.476041,0.045368851,9.760000
2.486185,0.045485270,9.800000
2.496238,0.045574295,9.840000
2.506581,0.045594840,9.880000
2.516645,0.045608536,9.920000
2.526811,0.045697562,9.960000
2.536873,0.045718106,10.000000
2.547045,0.045766043,10.040000
2.557128,0.045834524,10.080000
2.567310,0.045875613,10.120000
2.577485,0.045916702,10.160000
2.587412,0.045923550,10.200000
2.597871,0.045978335,10.240000
2.607400,0.045998879,10.280000
2.617616,0.046067361,10.320000
2.627961,0.046108449,10.360000
2.638090,0.046156386,10.400000
2.648413,0.046204323,10.440000
2.658646,0.046245412,10.480000
2.668557,0.046259108,10.520000
2.678486,0.046341286,10.560000
2.688882,0.046368678,10.600000
2.698944,0.046423463,10.640000
2.709204,0.046457704,10.680000
2.719443,0.046519337,10.720000
2.729413,0.046533033,10.760000
2.739527,0.046601515,10.800000
2.749798,0.046663148,10.840000
2.759854,0.046676844,10.880000
2.769603,0.046711085,10.920000
2.780040,0.046800110,10.960000
2.790282,0.046841199,11.000000
2.800523,0.046868592,11.040000
2.810690,0.046902832,11.080000
2.820409,0.046978162,11.120000
2.830653,0.046991858,11.160000
2.841617,0.047060339,11.200000
2.850846,0.047135669,11.240000
2.861102,0.047210998,11.280000
2.871225,0.047252087,11.320000
2.881416,0.047306872,11.360000
2.891141,0.047389049,11.400000
2.901657,0.047526012,11.440000
2.911593,0.047656126,11.480000
2.922200,0.047834178,11.520000
2.932461,0.048142343,11.560000
2.942182,0.048827156,11.600000
2.952318,0.050936380,11.640000
2.962877,0.056202591,11.680000
2.972985,0.058044737,11.720000
2.982819,0.058318662,11.760000
2.993192,0.058304966,11.800000
3.003002,0.058332359,11.840000
3.013207,0.058414536,11.880000
3.023432,0.058435081,11.920000
3.033783,0.058476169,11.960000
3.044413,0.058544651,12.000000
3.053850,0.058578891,12.040000
3.064215,0.058585739,12.080000
3.074391,0.058640524,12.120000
3.084556,0.058681613,12.160000
3.094511,0.058709006,12.200000
3.104427,0.058763791,12.240000
3.115506,0.058832272,12.280000
3.125198,0.058866513,12.320000
3.134445,0.058900753,12.360000
3.144719,0.058887057,12.400000
3.154573,0.058934994,12.440000
3.165006,0.058969235,12.480000
3.174906,0.058982931,12.520000
3.185374,0.059044564,12.560000
3.195199,0.059058260,12.600000
3.205186,0.059085653,12.640000
3.215067,0.059154134,12.680000
3.225281,0.059154134,12.720000
3.235505,0.059202071,12.760000
3.246395,0.059250008,12.800000
3.256248,0.059263704,12.840000
3.265710,0.059297945,12.880000
3.275849,0.059332185,12.920000
3.285961,0.059352730,12.960000
3.296008,0.059373274,13.000000
3.306290,0.059414363,13.040000
3.316369,0.059393819,13.080000
3.326365,0.059469148,13.120000
3.336430,0.059462300,13.160000
3.346634,0.059510237,13.200000
3.356772,0.059537629,13.240000
3.366788,0.059558174,13.280000
3.376943,0.059578718,13.320000
3.387000,0.059626655,13.360000
3.397188,0.059612959,13.400000
3.407610,0.059633503,13.440000
3.417765,0.059660896,13.480000
3.428212,0.059722529,13.520000
3.438331,0.059743073,13.560000
3.448773,0.059797858,13.600000
3.458837,0.059791010,13.640000
3.468913,0.059791010,13.680000
3.478754,0.059811554,13.720000
3.489098,0.059866339,13.760000
3.499382,0.059825251,13.800000
3.509583,0.059893732,13.840000
3.519732,0.059900580,13.880000
3.529711,0.059941669,13.920000
3.539924,0.059927973,13.960000
3.550615,0.059955365,14.000000
3.562613,0.059962213,14.040000
3.572365,0.059996454,14.080000
3.583227,0.060003302,14.120000
3.592759,0.060030695,14.160000
3.603865,0.060064935,14.200000
3.613065,0.060071783,14.240000
3.623084,0.060112872,14.280000
3.633717,0.060119720,14.320000
3.643784,0.060140265,14.360000
3.653936,0.060167657,14.400000
3.664132,0.060174505,14.440000
3.673732,0.060208746,14.480000
3.683517,0.060236138,14.520000
3.693864,0.060270379,14.560000
3.704299,0.060277227,14.600000
3.714242,0.060297772,14.640000
3.724247,0.060318316,14.680000
3.734416,0.060359405,14.720000
3.744594,0.060345708,14.760000
3.754694,0.060379949,14.800000
3.764958,0.060407342,14.840000
3.774976,0.060427886,14.880000
3.785085,0.060462127,14.920000
3.795243,0.060496367,14.960000
3.805547,0.060482671,15.000000
3.815529,0.060523760,15.040000
3.825689,0.060516912,15.080000
3.835788,0.060564849,15.120000
3.845997,0.060564849,15.160000
3.856099,0.060599089,15.200000
3.866147,0.060633330,15.240000
3.876275,0.060653874,15.280000
3.886243,0.060674419,15.320000
3.896512,0.060694963,15.360000
3.906720,0.060722356,15.400000
3.916911,0.060742900,15.440000
3.926936,0.060763444,15.480000
3.937142,0.060790837,15.520000
3.947172,0.060818229,15.560000
3.957370,0.060811381,15.600000
3.967442,0.060845622,15.640000
3.977580,0.060886711,15.680000
3.987597,0.060866166,15.720000
3.997830,0.060927799,15.760000
4.007910,0.060955192,15.800000
4.018074,0.060975736,15.840000
4.027850,0.060989433,15.880000
4.039007,0.061030521,15.920000
4.049062,0.061071610,15.960000
4.058635,0.061092155,16.000000
4.069316,0.061099003,16.040000
4.079242,0.061133243,16.080000
4.089283,0.061194876,16.120000
4.099591,0.061222269,16.160000
4.109827,0.061235965,16.200000
4.119911,0.061263358,16.240000
4.130238,0.061311295,16.280000
4.139981,0.061331839,16.320000
4.150341,0.061366080,16.360000
4.160701,0.061393472,16.400000
4.170776,0.061434561,16.440000
4.180180,0.061489346,16.480000
4.190487,0.061550979,16.520000
4.200764,0.061578372,16.560000
4.211829,0.061640005,16.600000
4.221728,0.061653701,16.640000
4.230863,0.061681094,16.680000
4.241458,0.061729030,16.720000
4.251500,0.061797512,16.760000
4.261697,0.061859145,16.800000
4.271727,0.061907082,16.840000
4.281795,0.061996107,16.880000
4.292298,0.062030348,16.920000
4.302272,0.062091981,16.960000
4.312549,0.062167311,17.000000
4.323294,0.062201551,17.040000
4.334015,0.062331666,17.080000
4.342992,0.062406995,17.120000
4.352896,0.062516565,17.160000
4.363341,0.062612439,17.200000
4.373617,0.062728857,17.240000
4.383778,0.062893212,17.280000
4.393847,0.063215074,17.320000
4.405639,0.064399801,17.360000
4.413145,0.066926760,17.400000
4.423579,0.075774542,17.440000
4.434481,0.074377524,17.480000
4.444540,0.074466549,17.520000
4.454679,0.074808956,17.560000
4.464678,0.075014400,17.600000
4.474760,0.075014400,17.640000
4.484835,0.075041792,17.680000
4.495425,0.075041792,17.720000
4.505377,0.075076033,17.760000
4.515230,0.075069185,17.800000
4.525569,0.075076033,17.840000
4.535975,0.075096577,17.880000
4.545306,0.075082881,17.920000
4.555786,0.075076033,17.960000
4.566533,0.075117122,18.000000
4.576303,0.075130818,18.040000
4.585966,0.075158210,18.080000
4.596222,0.075144514,18.120000
4.606388,0.075192451,18.160000
4.616312,0.075206147,18.200000
4.626628,0.075192451,18.240000
4.637140,0.075219844,18.280000
4.646872,0.075226692,18.320000
4.657031,0.075247236,18.360000
4.667141,0.075260932,18.400000
4.677184,0.075288325,18.440000
4.687319,0.075302021,18.480000
4.697331,0.075329414,18.520000
4.707354,0.075336262,18.560000
4.718134,0.075363654,18.600000
4.727726,0.075356806,18.640000
4.738001,0.075397895,18.680000
4.748224,0.075418439,18.720000
4.758602,0.075411591,18.760000
4.768619,0.075432136,18.800000
4.778777,0.075438984,18.840000
4.788900,0.075459528,18.880000
4.798983,0.075445832,18.920000
4.809145,0.075459528,18.960000
4.819462,0.075473224,19.000000
4.829549,0.075507465,19.040000
4.839530,0.075507465,19.080000
4.849674,0.075548554,19.120000
4.858989,0.075541706,19.160000
4.869693,0.075555402,19.200000
4.880104,0.075562250,19.240000
4.890274,0.075589643,19.280000
4.900330,0.075596491,19.320000
4.910425,0.075610187,19.360000
4.920589,0.075630731,19.400000
4.930497,0.075630731,19.440000
4.940469,0.075658124,19.480000
4.951065,0.075664972,19.520000
4.960854,0.075671820,19.560000
4.971030,0.075726605,19.600000
4.981108,0.075706061,19.640000
4.991169,0.075692365,19.680000
5.001159,0.075740301,19.720000
5.011336,0.075760846,19.760000
5.021752,0.075774542,19.800000
5.032025,0.075788238,19.840000
5.042378,0.075774542,19.880000
5.052356,0.075815631,19.920000
5.062019,0.075808783,19.960000
5.072367,0.075808783,20.000000
5.082890,0.075843023,20.000000
5.092828,0.075829327,19.960000
5.102961,0.075843023,19.920000
5.113044,0.075877264,19.880000
5.123092,0.075870416,19.840000
5.133236,0.075856720,19.800000
5.143323,0.075815631,19.760000
5.153423,0.075856720,19.720000
5.163557,0.075836175,19.680000
5.173818,0.075822479,19.640000
5.183977,0.075829327,19.600000
5.193910,0.075822479,19.560000
5.204189,0.075815631,19.520000
5.214230,0.075815631,19.480000
5.224613,0.075795086,19.440000
5.234363,0.075801935,19.400000
5.244539,0.075795086,19.360000
5.254611,0.075781390,19.320000
5.264704,0.075788238,19.280000
5.275006,0.075774542,19.240000
5.284952,0.075767694,19.200000
5.295153,0.075774542,19.160000
5.305065,0.075740301,19.120000
5.315445,0.075753998,19.080000
5.325826,0.075733453,19.040000
5.335955,0.075726605,19.000000
5.346324,0.075733453,18.960000
5.355233,0.075733453,18.920000
5.365923,0.075699213,18.880000
