time_s,odrive_pos_rad,output_pos_rad,diff_rad
3.867094,6.372127,4.877292,1.494835
3.868413,6.372526,4.877292,1.495234
3.871108,6.371871,4.877292,1.494579
3.874677,6.371872,4.876908,1.494963
3.877671,6.372200,4.877292,1.494908
3.880474,6.372555,4.877292,1.495264
3.884027,6.373182,4.877292,1.495890
3.888417,6.373719,4.877292,1.496427
3.890868,6.374391,4.877292,1.497099
3.894510,6.375739,4.877292,1.498448
3.897960,6.379197,4.876908,1.502289
3.901284,6.381702,4.876908,1.504794
3.904328,6.383848,4.876525,1.507323
3.908371,6.385285,4.876525,1.508760
3.910460,6.386886,4.875758,1.511128
3.913773,6.389070,4.876525,1.512546
3.918695,6.394340,4.875758,1.518583
3.920449,6.396120,4.875758,1.520362
3.923572,6.401826,4.875374,1.526452
3.928430,6.406875,4.874991,1.531884
3.930555,6.409123,4.875374,1.533749
3.934098,6.413480,4.874607,1.538873
3.938345,6.430527,4.873457,1.557070
3.940641,6.438358,4.872690,1.565668
3.943538,6.453310,4.871539,1.581771
3.946612,6.464608,4.871156,1.593453
3.950020,6.482134,4.869622,1.612512
3.952686,6.488832,4.868855,1.619977
3.955781,6.501947,4.868088,1.633859
3.959312,6.511874,4.867705,1.644169
3.961608,6.521498,4.866171,1.655327
3.964745,6.536273,4.865404,1.670870
3.968873,6.552047,4.863870,1.688177
3.971344,6.566755,4.862719,1.704035
3.974444,6.584425,4.861952,1.722473
3.977630,6.600344,4.860802,1.739542
3.980381,6.612877,4.859651,1.753225
3.983531,6.630628,4.858501,1.772128
3.988294,6.650852,4.857350,1.793502
3.989586,6.659006,4.856583,1.802423
3.992784,6.670772,4.855433,1.815339
3.995665,6.685010,4.854666,1.830345
3.999393,6.703423,4.852748,1.850675
4.001826,6.721865,4.851214,1.870651
4.005090,6.744371,4.849680,1.894691
4.008647,6.769707,4.847379,1.922328
4.011767,6.790623,4.846229,1.944394
4.018576,6.843352,4.842777,2.000575
4.021056,6.865587,4.841243,2.024344
4.024613,6.887827,4.839326,2.048501
4.028142,6.908497,4.838175,2.070321
4.031158,6.930945,4.837408,2.093536
4.034561,6.947399,4.835107,2.112292
4.037435,6.972413,4.835107,2.137306
4.040471,6.985698,4.832039,2.153659
4.043984,7.016777,4.830889,2.185888
4.048525,7.043417,4.828972,2.214445
4.049822,7.072699,4.827054,2.245645
4.052821,7.100253,4.825137,2.275117
4.055638,7.126376,4.822836,2.303540
4.058792,7.152912,4.821302,2.331610
4.061666,7.176868,4.819384,2.357484
4.064818,7.200573,4.817850,2.382723
4.068288,7.226122,4.815166,2.410956
4.071199,7.250734,4.813632,2.437102
