time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
3.867094,6.372127,4.877292,1.494835,-4.827198999999999,-0.345529,-0.34479992857142855,0.0007290714285714262
3.868413,6.372526,4.877292,1.495234,-4.8267999999999995,-0.345529,-0.34477142857142856,0.000757571428571413
3.871108,6.371871,4.877292,1.494579,-4.827455,-0.345529,-0.34481821428571424,0.0007107857142857332
3.874677,6.371872,4.876908,1.494963,-4.8274539999999995,-0.3451450000000005,-0.3448181428571428,0.00032685714285768386
3.877671,6.3722,4.877292,1.494908,-4.827125999999999,-0.345529,-0.34479471428571423,0.0007342857142857429
3.880474,6.372555,4.877292,1.495264,-4.826770999999999,-0.345529,-0.34476935714285706,0.000759642857142917
3.884027,6.373182,4.877292,1.49589,-4.826143999999999,-0.345529,-0.3447245714285714,0.0008044285714285948
3.888417,6.373719,4.877292,1.496427,-4.825606999999999,-0.345529,-0.3446862142857142,0.0008427857142857542
3.890868,6.374391,4.877292,1.497099,-4.824934999999999,-0.345529,-0.34463821428571423,0.0008907857142857467
3.89451,6.375739,4.877292,1.498448,-4.823586999999999,-0.345529,-0.3445419285714285,0.0009870714285714621
3.89796,6.379197,4.876908,1.502289,-4.820129,-0.3451450000000005,-0.34429492857142857,0.000850071428571908
3.901284,6.381702,4.876908,1.504794,-4.8176239999999995,-0.3451450000000005,-0.344116,0.0010290000000005017
3.904328,6.383848,4.876525,1.507323,-4.815477999999999,-0.34476200000000023,-0.3439627142857142,0.0007992857142860577
3.908371,6.385285,4.876525,1.50876,-4.814041,-0.34476200000000023,-0.3438600714285714,0.000901928571428845
3.91046,6.386886,4.875758,1.511128,-4.81244,-0.3439950000000005,-0.34374571428571427,0.00024928571428622925
3.913773,6.38907,4.876525,1.512546,-4.810255999999999,-0.34476200000000023,-0.3435897142857142,0.0011722857142860144
3.918695,6.39434,4.875758,1.518583,-4.8049859999999995,-0.3439950000000005,-0.34321328571428567,0.0007817142857148296
3.920449,6.39612,4.875758,1.520362,-4.803205999999999,-0.3439950000000005,-0.34308614285714284,0.0009088571428576553
3.923572,6.401826,4.875374,1.526452,-4.797499999999999,-0.3436110000000001,-0.3426785714285714,0.0009324285714287228
3.92843,6.406875,4.874991,1.531884,-4.792450999999999,-0.34322799999999987,-0.3423179285714285,0.0009100714285713574
3.930555,6.409123,4.875374,1.533749,-4.790202999999999,-0.3436110000000001,-0.34215735714285705,0.001453642857143056
3.934098,6.41348,4.874607,1.538873,-4.785845999999999,-0.34284400000000037,-0.3418461428571428,0.00099785714285755
3.938345,6.430527,4.873457,1.55707,-4.768799,-0.3416940000000004,-0.34062849999999995,0.001065500000000441
3.940641,6.438358,4.87269,1.565668,-4.760967999999999,-0.34092700000000065,-0.3400691428571428,0.0008578571428578541
3.943538,6.45331,4.871539,1.581771,-4.746015999999999,-0.3397760000000005,-0.3390011428571428,0.0007748571428577433
3.946612,6.464608,4.871156,1.593453,-4.734717999999999,-0.3393930000000003,-0.3381941428571428,0.0011988571428575012
3.95002,6.482134,4.869622,1.612512,-4.717191999999999,-0.3378589999999999,-0.33694228571428564,0.0009167142857142707
3.952686,6.488832,4.868855,1.619977,-4.710493999999999,-0.33709200000000017,-0.33646385714285704,0.0006281428571431324
3.955781,6.501947,4.868088,1.633859,-4.697378999999999,-0.33632500000000043,-0.33552707142857136,0.000797928571429074
3.959312,6.511874,4.867705,1.644169,-4.6874519999999995,-0.3359420000000002,-0.33481799999999995,0.001124000000000236
3.961608,6.521498,4.866171,1.655327,-4.677827999999999,-0.3344079999999998,-0.33413057142857133,0.0002774285714284841
3.964745,6.536273,4.865404,1.67087,-4.663052999999999,-0.3336410000000001,-0.3330752142857142,0.0005657857142858935
3.968873,6.552047,4.86387,1.688177,-4.647278999999999,-0.3321070000000006,-0.3319484999999999,0.000158500000000672
3.971344,6.566755,4.862719,1.704035,-4.6325709999999996,-0.33095600000000047,-0.3308979285714285,5.807142857194858e-05
3.974444,6.584425,4.861952,1.722473,-4.614900999999999,-0.33018899999999984,-0.32963578571428565,0.0005532142857141986
3.97763,6.600344,4.860802,1.739542,-4.5989819999999995,-0.32903899999999986,-0.32849871428571426,0.0005402857142856043
3.980381,6.612877,4.859651,1.753225,-4.586448999999999,-0.3278880000000006,-0.32760349999999994,0.000284500000000687
3.983531,6.630628,4.858501,1.772128,-4.5686979999999995,-0.32673800000000064,-0.3263355714285714,0.0004024285714292475
3.988294,6.650852,4.85735,1.793502,-4.548473999999999,-0.3255870000000005,-0.32489099999999993,0.000696000000000585
3.989586,6.659006,4.856583,1.802423,-4.5403199999999995,-0.3248199999999999,-0.3243085714285714,0.0005114285714284961
3.992784,6.670772,4.855433,1.815339,-4.528553999999999,-0.3236699999999999,-0.32346814285714276,0.0002018571428571425
3.995665,6.68501,4.854666,1.830345,-4.514315999999999,-0.32290300000000016,-0.32245114285714277,0.00045185714285739254
3.999393,6.703423,4.852748,1.850675,-4.495902999999999,-0.3209850000000003,-0.32113592857142853,-0.00015092857142823268
4.001826,6.721865,4.851214,1.870651,-4.477460999999999,-0.31945099999999993,-0.3198186428571428,-0.00036764285714285805
4.00509,6.744371,4.84968,1.894691,-4.454954999999999,-0.31791700000000045,-0.31821107142857136,-0.00029407142857090784
4.008647,6.769707,4.847379,1.922328,-4.429618999999999,-0.31561600000000034,-0.31640135714285705,-0.000785357142856713
4.011767,6.790623,4.846229,1.944394,-4.408702999999999,-0.31446600000000036,-0.31490735714285706,-0.000441357142856702
4.018576,6.843352,4.842777,2.000575,-4.355973999999999,-0.3110140000000001,-0.31114099999999995,-0.0001269999999998217
4.021056,6.865587,4.841243,2.024344,-4.333739,-0.30948000000000064,-0.3095527857142857,-7.278571428503966e-05
4.024613,6.887827,4.839326,2.048501,-4.3114989999999995,-0.30756300000000003,-0.30796421428571424,-0.00040121428571421314
4.028142,6.908497,4.838175,2.070321,-4.290829,-0.3064119999999999,-0.3064877857142857,-7.578571428579206e-05
4.031158,6.930945,4.837408,2.093536,-4.268380999999999,-0.30564500000000017,-0.30488435714285705,0.0007606428571431123
4.034561,6.947399,4.835107,2.112292,-4.251926999999999,-0.30334400000000006,-0.3037090714285714,-0.0003650714285713397
4.037435,6.972413,4.835107,2.137306,-4.226912999999999,-0.30334400000000006,-0.30192235714285703,0.001421642857143024
4.040471,6.985698,4.832039,2.153659,-4.213627999999999,-0.3002760000000002,-0.3009734285714285,-0.0006974285714282935
4.043984,7.016777,4.830889,2.185888,-4.182548999999999,-0.2991260000000002,-0.29875349999999995,0.0003725000000002754
4.048525,7.043417,4.828972,2.214445,-4.155908999999999,-0.2972090000000005,-0.2968506428571428,0.0003583571428577015
4.049822,7.072699,4.827054,2.245645,-4.126626999999999,-0.29529100000000064,-0.2947590714285714,0.0005319285714292521
4.052821,7.100253,4.825137,2.275117,-4.099072999999999,-0.293374,-0.29279092857142847,0.0005830714285715577
4.055638,7.126376,4.822836,2.30354,-4.07295,-0.2910729999999999,-0.290925,0.00014799999999992597
4.058792,7.152912,4.821302,2.33161,-4.0464139999999995,-0.28953900000000043,-0.2890295714285714,0.0005094285714290492
4.061666,7.176868,4.819384,2.357484,-4.022457999999999,-0.28762100000000057,-0.28731842857142853,0.00030257142857204045
4.064818,7.200573,4.81785,2.382723,-3.998752999999999,-0.2860870000000002,-0.2856252142857142,0.00046178571428601156
4.068288,7.226122,4.815166,2.410956,-3.973203999999999,-0.28340299999999985,-0.28380028571428567,-0.00039728571428582216
4.071199,7.250734,4.813632,2.437102,-3.9485919999999997,-0.28186900000000037,-0.2820422857142857,-0.00017328571428532058
4.074672,7.280954,4.812098,2.468857,-3.918371999999999,-0.280335,-0.2798837142857142,0.00045128571428582065
4.077808,7.317715,4.809413,2.508301,-3.8816109999999995,-0.2776500000000004,-0.27725792857142856,0.0003920714285718385
4.080619,7.342368,4.806729,2.535639,-3.8569579999999997,-0.27496600000000004,-0.275497,-0.0005309999999999482
4.084158,7.377198,4.804428,2.57277,-3.8221279999999993,-0.27266499999999994,-0.2730091428571428,-0.0003441428571428484
4.088402,7.421537,4.801743,2.619794,-3.7777889999999994,-0.26998000000000033,-0.26984207142857136,0.00013792857142896908
4.090105,7.441363,4.799826,2.641537,-3.7579629999999993,-0.2680630000000006,-0.2684259285714285,-0.0003629285714278896
4.093787,7.473822,4.797908,2.675913,-3.725503999999999,-0.26614499999999985,-0.2661074285714285,3.757142857135909e-05
4.098845,7.502151,4.79484,2.707311,-3.6971749999999997,-0.263077,-0.26408392857142854,-0.0010069285714285336
