Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 90.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
16 , 4.017857142857142 , 0.6 , 0.6 , 42 , 39 , 36 , 117 , 3 , 3.702 , 4.0 , 4.0 , 4.0 , 0.606 , 0.961 , 9.259 , 0.28380885101838915 , 91.45093555439067 , 99.07184685058988 , 15.279 , 0.103 , 67.5 , 0.017373758214995767 , 0.012824855203029763 , 0.009290443458901886 , 0.06949179827618693 , 0.0648472279559727
20 , 5.092592592592593 , 0.5 , 0.5 , 48 , 52 , 36 , 136 , 4 , 3.351 , 3.351 , 4.709 , 4.709 , 0.62 , 0.962 , 11.736 , 0.30742400817179205 , 72.01761174908265 , 104.02543919311938 , 18.929 , 0.103 , 67.56036394026637 , 0.016252401722743257 , 0.014920150652485257 , 0.010181517362093155 , 0.07346376294443269 , 0.06950592711790754
31 , 6.133333333333333 , 0.8 , 0.8 , 27 , 42 , 30 , 99 , 3 , 3.693 , 3.693 , 4.404 , 4.404 , 0.701 , 0.949 , 14.135 , 0.42364989899533145 , 106.69275814678912 , 149.3698614055048 , 20.164 , 0.134 , 67.59660227779824 , 0.014112972896016119 , 0.02227121931032991 , 0.011166138209140917 , 0.084588343550324 , 0.08537982679654502
24 , 7.0 , 0.5 , 0.5 , 48 , 64 , 32 , 144 , 4 , 3.32 , 3.32 , 6.77 , 6.77 , 0.717 , 0.959 , 16.132 , 0.8167259424577342 , 72.01761174908265 , 144.0352234981653 , 22.499 , 0.134 , 69.59040498877562 , 0.01756566929894307 , 0.019577520458986006 , 0.014304565192674841 , 0.09449833355828903 , 0.08434458028268169
24 , 8.4375 , 0.7 , 0.7 , 24 , 51 , 30 , 105 , 3 , 5.606 , 5.606 , 7.884 , 7.884 , 0.712 , 0.945 , 19.445 , 1.5198308460684882 , 137.17640333158604 , 233.19988566369622 , 27.31 , 0.128 , 72.98990950783849 , 0.01217986129098725 , 0.03296566566861213 , 0.016546927838786123 , 0.10128025633059581 , 0.08460285281384813
23 , 9.0 , 0.6 , 0.6 , 30 , 60 , 30 , 120 , 3 , 5.593 , 5.593 , 10.168 , 10.168 , 0.728 , 0.95 , 20.741 , 1.9804993947739593 , 128.03130977614694 , 256.0626195522939 , 28.49 , 0.128 , 75.26034870991087 , 0.014084313386610968 , 0.03134300556662029 , 0.020180508858012872 , 0.11370820411839329 , 0.08694347851332711
21 , 10.545454545454547 , 0.7 , 0.7 , 18 , 54 , 33 , 105 , 3 , 8.294 , 8.294 , 9.813 , 9.813 , 0.748 , 0.939 , 24.303 , 2.4909796124820254 , 182.90187110878134 , 299.29397090527857 , 32.491 , 0.128 , 77.60702318948152 , 0.009814817788143011 , 0.05366181944200407 , 0.01994904572329375 , 0.11459595326074057 , 0.08460285281384813
16 , 11.200000000000001 , 0.7 , 0.7 , 18 , 54 , 30 , 102 , 3 , 8.294 , 8.294 , 11.112 , 11.112 , 0.753 , 0.937 , 25.811 , 2.7611940592459847 , 182.90187110878134 , 329.22336799580637 , 34.278 , 0.128 , 78.90595089898163 , 0.010046424953140762 , 0.05162400517855231 , 0.021644501121995705 , 0.12113517648110272 , 0.08460285281384813
15 , 12.4 , 0.6 , 0.6 , 21 , 63 , 30 , 114 , 3 , 9.072 , 9.072 , 15.215 , 15.215 , 0.78 , 0.941 , 28.577 , 3.755634774822084 , 182.90187110878134 , 384.0939293284408 , 36.637 , 0.128 , 83.78679795999521 , 0.01091671137656614 , 0.05323455369441393 , 0.027557952946754276 , 0.1421325608473977 , 0.08460285281384816
10 , 13.222222222222225 , 0.6 , 0.6 , 18 , 66 , 36 , 120 , 3 , 11.182 , 11.182 , 14.681 , 14.681 , 0.807 , 0.94 , 30.471 , 4.098970972137725 , 213.38551629357823 , 391.2067798715602 , 37.758 , 0.128 , 85.36365802171568 , 0.009524969957625874 , 0.07530197884610416 , 0.027987003726828413 , 0.14497205129259927 , 0.08694347851332711
