Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 90.0 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
1 , 4.41 , 0.5 , 0.5 , 30 , 33 , 30 , 93 , 3 , 1.456 , 4.0 , 4.0 , 4.0 , 0.727 , 0.952 , 10.163 , 0.42320601241484423 , 153.6375717313763 , 169.00132890451397 , 13.979 , 0.038 , 64.5 , 0.05113254239487339 , 0.025459918468635635 , 0.034926852675825376 , 0.14571264752744556 , 0.12289229913334687
1 , 5.133333333333334 , 0.5 , 0.5 , 27 , 36 , 30 , 93 , 3 , 1.669 , 4.0 , 4.0 , 4.0 , 0.726 , 0.949 , 11.83 , 0.42752309538603983 , 170.70841303486256 , 204.85009564183508 , 16.295 , 0.038 , 64.5 , 0.04652007078708842 , 0.02928861670547369 , 0.034926852675825376 , 0.14571264752744556 , 0.12289229913334687
1 , 6.0375 , 0.5 , 0.5 , 24 , 39 , 30 , 93 , 3 , 1.951 , 4.0 , 4.0 , 4.0 , 0.726 , 0.946 , 13.914 , 0.43368275382208177 , 192.04696466422038 , 249.6610540634865 , 19.165 , 0.038 , 64.5 , 0.04239312250643871 , 0.03345024522377592 , 0.034926852675825376 , 0.14571264752744556 , 0.12289229913334687
1 , 7.2 , 0.5 , 0.5 , 21 , 42 , 30 , 93 , 3 , 2.334 , 4.0 , 4.0 , 4.0 , 0.727 , 0.942 , 16.593 , 0.4421509674946402 , 219.48224533053758 , 307.2751434627526 , 22.824 , 0.038 , 64.5 , 0.03875169755292426 , 0.03794480402354232 , 0.034926852675825376 , 0.14571264752744556 , 0.12289229913334687
1 , 8.542857142857143 , 0.5 , 0.5 , 21 , 48 , 30 , 99 , 3 , 2.317 , 4.0 , 4.0 , 4.0 , 0.737 , 0.942 , 19.688 , 0.4531292627883303 , 219.48224533053758 , 351.1715925288602 , 26.714 , 0.038 , 64.5 , 0.03875169755292426 , 0.04793271246746768 , 0.03696142661810647 , 0.14696821644737926 , 0.12289229913334687
1 , 9.257142857142858 , 0.5 , 0.5 , 21 , 51 , 30 , 102 , 3 , 2.31 , 4.0 , 4.0 , 4.0 , 0.773 , 0.941 , 21.334 , 0.48976236635687465 , 219.48224533053758 , 373.1198170619139 , 27.599 , 0.05 , 64.5 , 0.03875169755292426 , 0.053426062111626614 , 0.037978713589247 , 0.1516197959749629 , 0.12289229913334687
1 , 10.0 , 0.5 , 0.5 , 21 , 54 , 30 , 105 , 3 , 2.303 , 4.0 , 4.0 , 4.0 , 0.778 , 0.941 , 23.046 , 0.49577986981847944 , 219.48224533053758 , 395.06804159496767 , 29.622 , 0.05 , 64.5 , 0.03875169755292426 , 0.059252342037249744 , 0.03899600056038756 , 0.15219969078191659 , 0.12289229913334687
1 , 11.571428571428571 , 0.5 , 0.5 , 21 , 60 , 30 , 111 , 3 , 2.291 , 4.0 , 4.0 , 4.0 , 0.865 , 0.941 , 26.667 , 0.5828180357630859 , 219.48224533053758 , 438.96449066107516 , 30.829 , 0.081 , 66.5 , 0.03875169755292426 , 0.0719036927328885 , 0.04103057450266864 , 0.16825209826840515 , 0.12289229913334687
1 , 12.4 , 0.5 , 0.5 , 21 , 63 , 30 , 114 , 3 , 2.286 , 4.0 , 4.0 , 4.0 , 0.876 , 0.941 , 28.577 , 0.5946890175274508 , 219.48224533053758 , 460.91271519412896 , 32.622 , 0.081 , 66.5 , 0.03875169755292426 , 0.07872876350290417 , 0.0420478614738092 , 0.1706613778204615 , 0.1261711440429812
1 , 13.257142857142858 , 0.5 , 0.5 , 21 , 66 , 30 , 117 , 3 , 2.282 , 4.0 , 4.022 , 4.022 , 0.894 , 0.941 , 30.552 , 0.6168748145710885 , 219.48224533053758 , 482.8609397271827 , 34.174 , 0.081 , 66.5216714887818 , 0.0387664283715965 , 0.0859368693797998 , 0.04323483678702459 , 0.17530896232761964 , 0.1328437690294814
1 , 14.142857142857142 , 0.5 , 0.5 , 21 , 69 , 30 , 120 , 3 , 2.277 , 4.0 , 4.209 , 4.209 , 0.915 , 0.94 , 32.593 , 0.675979615347223 , 219.48224533053758 , 504.8091642602365 , 35.621 , 0.081 , 66.70943023844916 , 0.03889405412556864 , 0.0938619019167307 , 0.04576101631801958 , 0.18254405500565496 , 0.13966964090562373
2 , 15.857142857142858 , 0.5 , 0.5 , 21 , 78 , 33 , 132 , 3 , 2.266 , 4.0 , 4.212 , 4.212 , 1.036 , 0.942 , 36.544 , 0.7936902281861657 , 219.48224533053758 , 518.776216235816 , 35.274 , 0.103 , 67.7124318149439 , 0.038896094395137575 , 0.12333155131824393 , 0.050011388433921534 , 0.20708191876558474 , 0.16106673787190337
1 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 2.269 , 4.0 , 4.585 , 4.585 , 1.019 , 0.94 , 36.873 , 0.8558222121169152 , 219.48224533053758 , 548.705613326344 , 36.185 , 0.103 , 68.08536760553075 , 0.039149591031332545 , 0.11071172857586806 , 0.05102526451152577 , 0.20806728685000392 , 0.15378112532683472


Running Time (sec)
92.43923711776733
