Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 90.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
12 , 4.1558441558441555 , 0.5 , 0.5 , 44 , 36 , 28 , 108 , 4 , 3.795 , 4.0 , 4.0 , 4.0 , 0.522 , 0.956 , 9.577 , 0.2106804016734558 , 78.56466736263562 , 50.50585759026575 , 18.347 , 0.05 , 64.5 , 0.01440512908654201 , 0.016285680165795555 , 0.007289044735042699 , 0.05949387946143018 , 0.0648472279559727
18 , 5.018181818181818 , 0.6 , 0.6 , 33 , 39 , 30 , 102 , 3 , 5.038 , 5.038 , 2.979 , 2.979 , 0.569 , 0.953 , 11.565 , 0.2665656410002726 , 116.39209979649719 , 75.65486486772319 , 20.325 , 0.081 , 66.51738175384278 , 0.01260534639890469 , 0.018671587406767144 , 0.006660634301217761 , 0.06504707054923706 , 0.0648472279559727
26 , 6.233766233766234 , 0.5 , 0.5 , 44 , 52 , 28 , 124 , 4 , 3.72 , 4.0 , 4.0 , 4.0 , 0.629 , 0.955 , 14.366 , 0.3192390821457054 , 78.56466736263562 , 72.95290540816164 , 22.839 , 0.103 , 67.5 , 0.01440512908654201 , 0.027948151741863873 , 0.008277389783862046 , 0.07261191374575972 , 0.06715860762696159
28 , 7.071428571428571 , 0.5 , 0.5 , 48 , 60 , 28 , 136 , 4 , 3.329 , 4.0 , 4.0 , 4.0 , 0.695 , 0.956 , 16.297 , 0.38323747896677585 , 72.01761174908265 , 77.1617268740171 , 23.449 , 0.128 , 67.5 , 0.01621335127813196 , 0.03691019509590805 , 0.009018648570476559 , 0.08114312850806855 , 0.07925460328126203
31 , 8.0 , 0.6 , 0.6 , 30 , 60 , 36 , 126 , 3 , 5.593 , 5.593 , 4.013 , 4.013 , 0.709 , 0.954 , 18.437 , 0.7215244657674824 , 128.03130977614694 , 106.69275814678913 , 26.004 , 0.128 , 69.10517203475489 , 0.011844501978831877 , 0.04492776558228419 , 0.009980260114739445 , 0.08728201701351364 , 0.08694347851332711
29 , 9.0 , 0.6 , 0.6 , 30 , 60 , 30 , 120 , 3 , 5.593 , 5.593 , 5.084 , 5.084 , 0.716 , 0.95 , 20.741 , 0.9515875283847179 , 128.03130977614694 , 128.03130977614694 , 28.968 , 0.128 , 70.17649576492398 , 0.012234346696359241 , 0.045412444506856206 , 0.01138745730558183 , 0.09263628414810318 , 0.08694347851332711
25 , 10.545454545454547 , 0.7 , 0.7 , 18 , 54 , 33 , 105 , 3 , 8.294 , 8.294 , 4.907 , 4.907 , 0.734 , 0.939 , 24.303 , 1.496226282678042 , 182.90187110878134 , 149.64698545263929 , 33.11 , 0.128 , 72.7002787472234 , 0.008939913695075938 , 0.06309303071100815 , 0.011296995924129583 , 0.0958094599453892 , 0.08460285281384813
19 , 11.200000000000001 , 0.7 , 0.7 , 18 , 54 , 30 , 102 , 3 , 8.294 , 8.294 , 5.556 , 5.556 , 0.737 , 0.937 , 25.811 , 1.6342467612223515 , 182.90187110878134 , 164.61168399790319 , 35.022 , 0.128 , 73.34974260197345 , 0.009055717277574815 , 0.0625949616830168 , 0.012109345363210322 , 0.09904369329530004 , 0.08460285281384813
15 , 12.4 , 0.6 , 0.6 , 21 , 63 , 30 , 114 , 3 , 9.072 , 9.072 , 7.607 , 7.607 , 0.757 , 0.941 , 28.577 , 2.2117468463940693 , 182.90187110878134 , 192.0469646642204 , 37.75 , 0.128 , 76.17951735754899 , 0.009560284316931676 , 0.06886233242639139 , 0.015015530903774981 , 0.1103506785501524 , 0.08460285281384816
11 , 13.222222222222225 , 0.6 , 0.6 , 18 , 66 , 36 , 120 , 3 , 11.182 , 11.182 , 7.341 , 7.341 , 0.783 , 0.94 , 30.471 , 2.6076889867500683 , 213.38551629357823 , 195.6033899357801 , 38.916 , 0.128 , 78.02307590300524 , 0.008563348974622707 , 0.08827255742207805 , 0.015290704739989603 , 0.11454627764913909 , 0.08694347851332711
