Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 109.75 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
38 , 4.0857142857142845 , 0.6 , 0.6 , 84 , 48 , 30 , 162 , 6 , 3.913 , 3.913 , 7.035 , 7.035 , 1.206 , 0.964 , 20.288 , 1.4676880865537263 , 65.6829923871314 , 105.09278781941023 , 16.823 , 0.276 , 77.94797391189942 , 0.0638034293508608 , 0.03211883821904955 , 0.019592540983298573 , 0.12963638030431623 , 0.11804096929086634
41 , 5.090909090909091 , 0.7 , 0.7 , 55 , 50 , 30 , 135 , 5 , 5.6 , 5.6 , 9.804 , 9.804 , 1.204 , 0.96 , 25.28 , 2.3646635304330674 , 103.18200985905733 , 171.97001643176225 , 20.997 , 0.263 , 82.4040193022822 , 0.04692615414005454 , 0.05702501369055961 , 0.025264326187410972 , 0.14680777461173544 , 0.11880244422620673
49 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 8.318 , 8.318 , 12.149 , 12.149 , 1.071 , 0.95 , 30.326 , 3.264233511905489 , 172.41785501621996 , 270.9423435969171 , 28.316 , 0.151 , 84.46696400496955 , 0.033383374093650504 , 0.0876711075037834 , 0.030229146502854878 , 0.14810971146473054 , 0.11804096929086634
50 , 7.027777777777778 , 0.7 , 0.7 , 36 , 56 , 32 , 124 , 4 , 11.645 , 11.645 , 19.182 , 19.182 , 1.122 , 0.955 , 34.897 , 5.377816247236627 , 197.04897716139422 , 344.83571003243986 , 31.102 , 0.149 , 94.82764489116363 , 0.034230058958602566 , 0.11248859687919283 , 0.04264820840397429 , 0.18593082583413645 , 0.11143684767465548
40 , 8.0 , 1.0 , 1.0 , 18 , 42 , 30 , 90 , 3 , 19.725 , 19.725 , 20.12 , 20.12 , 1.148 , 0.938 , 39.725 , 7.241181880749614 , 367.82475736793594 , 514.9546603151103 , 34.604 , 0.134 , 103.84518937432112 , 0.023423599482306295 , 0.16886761296690214 , 0.04613570788585526 , 0.1980709881549214 , 0.10907847668907271
39 , 9.000000000000002 , 0.9 , 0.9 , 18 , 48 , 33 , 99 , 3 , 24.17 , 24.17 , 25.183 , 25.183 , 1.236 , 0.939 , 44.691 , 9.228058965026989 , 408.6941748532621 , 594.4642543320176 , 36.158 , 0.134 , 113.35302840052826 , 0.022814360476098493 , 0.21415273934410262 , 0.056399423216651076 , 0.23496381528914018 , 0.10996017032216947
40 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 24.093 , 24.093 , 30.347 , 30.347 , 1.343 , 0.937 , 51.394 , 10.357746600922313 , 408.6941748532621 , 694.7800972505455 , 38.268 , 0.149 , 118.43976545800636 , 0.024313683591536593 , 0.23040230221940622 , 0.06731489150939553 , 0.2854097190534903 , 0.11804096929086634
33 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 30.323 , 30.323 , 38.032 , 38.032 , 1.42 , 0.939 , 56.428 , 13.213124904927822 , 459.7809467099198 , 794.1670897716797 , 39.738 , 0.134 , 132.35502029002276 , 0.023599003380581334 , 0.2817431288397446 , 0.08116160647747248 , 0.3333327218136044 , 0.1144171572445953
33 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 30.323 , 30.323 , 43.071 , 43.071 , 1.45 , 0.936 , 60.001 , 14.25601345485379 , 459.7809467099198 , 873.5837987488477 , 41.38 , 0.134 , 137.39396751701514 , 0.02477252396818236 , 0.2737131096271097 , 0.08910407219170412 , 0.36718735779370393 , 0.1144171572445953
27 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 31.85 , 31.85 , 56.142 , 56.142 , 1.602 , 0.941 , 65.83 , 17.318699634644602 , 450.3976620831868 , 990.8748565830108 , 41.092 , 0.149 , 151.9913129580865 , 0.029127986192249187 , 0.2845485328265569 , 0.11251563924751846 , 0.4636568140319866 , 0.11667597492889695
24 , 14.097222222222221 , 0.7 , 0.7 , 18 , 69 , 36 , 123 , 3 , 39.263 , 39.263 , 54.053 , 54.053 , 1.721 , 0.94 , 70.002 , 18.504197459312223 , 525.4639390970513 , 1007.1392166026816 , 40.675 , 0.149 , 157.31643070639086 , 0.02380017599673032 , 0.39553992922830566 , 0.11368030157734517 , 0.4707042102896118 , 0.11987228281677871
