Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 109.75 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
11 , 4.1558441558441555 , 0.5 , 0.5 , 44 , 36 , 28 , 108 , 4 , 3.18 , 4.0 , 4.107 , 4.107 , 1.008 , 0.956 , 20.636 , 0.7179210363604294 , 225.71064656668793 , 290.1994027285987 , 20.472 , 0.05 , 69.10727175913843 , 0.08255388293295106 , 0.035371945661736945 , 0.04079370493924054 , 0.17538573046305536 , 0.16895971892292025
16 , 5.142857142857143 , 0.5 , 0.5 , 44 , 44 , 28 , 116 , 4 , 3.144 , 3.144 , 5.038 , 5.038 , 1.104 , 0.955 , 25.538 , 0.829437082499614 , 225.71064656668793 , 354.68815889050956 , 23.132 , 0.081 , 71.18187152144782 , 0.08277649174061047 , 0.045250291431486386 , 0.05079068252525374 , 0.20379947697597917 , 0.16895971892292025
25 , 6.230769230769231 , 0.5 , 0.5 , 52 , 56 , 28 , 136 , 4 , 2.548 , 2.548 , 5.463 , 5.463 , 1.25 , 0.957 , 30.94 , 0.9385668679223551 , 190.9859317102744 , 381.9718634205488 , 24.752 , 0.128 , 72.0110166846358 , 0.1029953567503791 , 0.05946285633578079 , 0.06267907898777939 , 0.22714256902124413 , 0.16895971892292025
33 , 7.040816326530612 , 0.5 , 0.5 , 56 , 64 , 28 , 148 , 4 , 2.326 , 2.326 , 5.816 , 5.816 , 1.327 , 0.958 , 34.962 , 1.0396445359888091 , 177.3440794452548 , 405.35789587486806 , 26.347 , 0.134 , 72.14170020038941 , 0.11528693113581295 , 0.07031963735322667 , 0.07126600728980367 , 0.24465277662053958 , 0.1797692436953092
39 , 8.0 , 1.0 , 1.0 , 18 , 42 , 30 , 90 , 3 , 3.452 , 4.0 , 4.0 , 4.0 , 1.422 , 0.938 , 39.725 , 1.1464947400277217 , 367.82475736793594 , 514.9546603151103 , 27.936 , 0.134 , 72.0 , 0.06497072789017613 , 0.2044931773259976 , 0.06442817483890118 , 0.23634564386907503 , 0.2067151551240469
41 , 9.000000000000002 , 0.9 , 0.9 , 18 , 48 , 33 , 99 , 3 , 4.23 , 4.23 , 4.407 , 4.407 , 1.448 , 0.939 , 44.691 , 1.2968669892550935 , 408.6941748532621 , 594.4642543320176 , 30.864 , 0.134 , 72.63677997009245 , 0.059359104981479616 , 0.22363012333603444 , 0.0685399200339246 , 0.2463831556910977 , 0.20838605704411137
44 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 4.216 , 4.216 , 5.311 , 5.311 , 1.549 , 0.937 , 51.394 , 1.5806505783944131 , 408.6941748532621 , 694.7800972505455 , 33.179 , 0.149 , 73.52695895515112 , 0.06079945122611814 , 0.2357364284562059 , 0.07902602112983907 , 0.27834740510440703 , 0.22370001872604742
40 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 5.307 , 5.307 , 6.656 , 6.656 , 1.576 , 0.939 , 56.428 , 2.0908267950742045 , 459.7809467099198 , 794.1670897716797 , 35.805 , 0.134 , 75.96212855075399 , 0.057451355533453353 , 0.2843243673763959 , 0.09191606514246821 , 0.3030833207723337 , 0.21683251477821905
35 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 5.307 , 5.307 , 7.537 , 7.537 , 1.586 , 0.936 , 60.001 , 2.2821218347192653 , 459.7809467099198 , 873.5837987488477 , 37.832 , 0.134 , 76.84394431547764 , 0.05857871490912951 , 0.2738415660834621 , 0.09917988538175673 , 0.3214483774420467 , 0.21683251477821905
32 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 5.574 , 5.574 , 9.825 , 9.825 , 1.703 , 0.941 , 65.83 , 2.9018873062724886 , 450.3976620831868 , 990.8748565830108 , 38.655 , 0.149 , 79.39847976766514 , 0.06318469560788148 , 0.2811607615381615 , 0.1213500974983824 , 0.3791538029437723 , 0.22111321122888863
