Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 109.75 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
40 , 4.199999999999999 , 0.6 , 0.6 , 78 , 48 , 30 , 156 , 6 , 4.267 , 4.267 , 3.783 , 3.783 , 1.228 , 0.964 , 20.856 , 0.9109436597614875 , 70.7355302630646 , 56.58842421045168 , 16.984 , 0.276 , 75.05041173256329 , 0.048639620077977265 , 0.09007946474741474 , 0.01170141988254327 , 0.11480848233945462 , 0.11262465872423655
49 , 5.090909090909091 , 0.7 , 0.7 , 55 , 50 , 30 , 135 , 5 , 5.6 , 5.6 , 4.902 , 4.902 , 1.215 , 0.96 , 25.28 , 1.395408507819164 , 103.18200985905733 , 85.98500821588112 , 20.807 , 0.263 , 77.50206386550042 , 0.038765654750142806 , 0.10448761923212417 , 0.014308418758890577 , 0.12392699507759937 , 0.11880244422620673
55 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 8.318 , 8.318 , 6.074 , 6.074 , 1.064 , 0.95 , 30.326 , 2.0421931296130427 , 172.41785501621996 , 135.47117179845856 , 28.502 , 0.151 , 78.3925862246061 , 0.027724725918938424 , 0.11985334315917996 , 0.01677566680506814 , 0.11966078681495129 , 0.11804096929086634
60 , 7.199999999999999 , 0.7 , 0.7 , 40 , 56 , 28 , 124 , 4 , 10.186 , 10.186 , 10.313 , 10.313 , 1.129 , 0.953 , 35.753 , 3.322966037158724 , 177.3440794452548 , 177.34407944525478 , 31.668 , 0.151 , 84.49955293717414 , 0.03188271912915523 , 0.15001500186393657 , 0.02435997688403265 , 0.14763481537952552 , 0.11561934422215915
49 , 8.064935064935066 , 0.6 , 0.6 , 44 , 64 , 28 , 136 , 4 , 12.254 , 12.254 , 14.641 , 14.641 , 1.168 , 0.954 , 40.048 , 4.6380331675273325 , 188.09220547223993 , 214.96252053970275 , 34.288 , 0.149 , 90.89453892516978 , 0.03395587209276651 , 0.1772788946585029 , 0.0313975172768898 , 0.17135077608363788 , 0.11084509853906234
47 , 9.36734693877551 , 0.5 , 0.5 , 56 , 80 , 28 , 164 , 4 , 13.176 , 13.176 , 20.841 , 20.841 , 1.32 , 0.957 , 46.515 , 6.208194017397889 , 177.3440794452548 , 253.34868492179254 , 35.239 , 0.151 , 98.01735229915525 , 0.04378548737364654 , 0.2397629024841413 , 0.04365988060012559 , 0.2224302308112273 , 0.11804096929086634
49 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 24.093 , 24.093 , 15.173 , 15.173 , 1.286 , 0.937 , 51.394 , 7.265802348424184 , 408.6941748532621 , 347.39004862527275 , 39.964 , 0.149 , 103.26637235973276 , 0.019841303998330444 , 0.2647269782350603 , 0.035242728750616535 , 0.20810771207725032 , 0.11804096929086634
42 , 11.250000000000004 , 0.7 , 0.7 , 24 , 66 , 33 , 123 , 3 , 26.52 , 26.52 , 21.705 , 21.705 , 1.388 , 0.947 , 55.863 , 9.139388972774142 , 394.09795432278855 , 394.09795432278855 , 40.247 , 0.149 , 112.22410971347173 , 0.02376526516367523 , 0.30559999930299 , 0.04748392119653319 , 0.25793273352685514 , 0.11987228281677871
36 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 30.323 , 30.323 , 21.535 , 21.535 , 1.366 , 0.936 , 60.001 , 9.865558278567681 , 459.7809467099198 , 436.79189937442385 , 43.925 , 0.134 , 115.85850583880847 , 0.019757129580344555 , 0.3213837359570963 , 0.04605140045968596 , 0.25510093628410624 , 0.1144171572445953
30 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 31.85 , 31.85 , 28.071 , 28.071 , 1.493 , 0.941 , 65.83 , 11.595984170070178 , 450.3976620831868 , 495.4374282915054 , 44.092 , 0.149 , 123.9204350719429 , 0.022315328260500585 , 0.357650834139233 , 0.057721805727322904 , 0.30698680465611783 , 0.11667597492889695
