Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 109.75 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
5 , 4.340277777777778 , 0.5 , 0.5 , 36 , 39 , 36 , 111 , 3 , 5.427 , 5.427 , 2.607 , 2.607 , 1.006 , 0.959 , 21.552 , 0.6953544000941256 , 367.82475736793594 , 199.23841024096532 , 21.423 , 0.05 , 69.03443671752838 , 0.06503951804653268 , 0.07516477112753951 , 0.03064034952675454 , 0.15679855319342156 , 0.16895971892292025
14 , 5.133333333333333 , 0.6 , 0.6 , 27 , 36 , 30 , 93 , 3 , 5.551 , 5.551 , 2.801 , 2.801 , 1.016 , 0.949 , 25.49 , 0.7883177973744713 , 408.6941748532621 , 245.21650491195726 , 25.089 , 0.05 , 69.35180097068444 , 0.05889799722844598 , 0.08730576381617733 , 0.03224196893450046 , 0.16064374027475875 , 0.16895971892292025
18 , 6.059171597633136 , 0.5 , 0.5 , 39 , 57 , 39 , 135 , 3 , 4.805 , 4.805 , 3.205 , 3.205 , 1.218 , 0.961 , 30.088 , 0.8988987318437118 , 339.53054526271006 , 248.11847538428813 , 24.703 , 0.103 , 72.01023112298677 , 0.07106375516106728 , 0.14388978707871364 , 0.042063422897987764 , 0.1928148687736163 , 0.16895971892292025
25 , 7.289999999999999 , 0.6 , 0.6 , 30 , 51 , 30 , 111 , 3 , 4.723 , 4.723 , 3.607 , 3.607 , 1.23 , 0.95 , 36.199 , 0.9962304268143498 , 367.82475736793594 , 312.65104376274553 , 29.43 , 0.103 , 72.33002004267419 , 0.06562996988435418 , 0.1551822998522588 , 0.04509204111646717 , 0.19903084519496717 , 0.16895971892292025
36 , 8.4375 , 0.7 , 0.7 , 24 , 51 , 30 , 105 , 3 , 4.697 , 4.697 , 3.303 , 3.303 , 1.32 , 0.945 , 41.898 , 1.0302097674086406 , 394.09795432278855 , 334.9832611743702 , 31.741 , 0.128 , 72.00051589976346 , 0.060465969139589654 , 0.20229995369513798 , 0.04649308645074745 , 0.2013939719162704 , 0.16997625662421287
43 , 9.1 , 0.7 , 0.7 , 24 , 54 , 30 , 108 , 3 , 4.684 , 4.684 , 3.503 , 3.503 , 1.362 , 0.945 , 45.187 , 1.1095881412954052 , 394.09795432278855 , 354.6881588905097 , 33.177 , 0.128 , 72.18674350940458 , 0.060790026709106104 , 0.225240364637611 , 0.049720694562734924 , 0.21070242316321358 , 0.18081438748266837
42 , 10.333333333333332 , 0.7 , 0.7 , 27 , 63 , 30 , 120 , 3 , 3.96 , 4.0 , 4.0 , 4.0 , 1.571 , 0.947 , 51.312 , 1.2767817443973377 , 350.3092927313675 , 367.82475736793583 , 32.662 , 0.149 , 72.0 , 0.06855389004443435 , 0.2866185695449062 , 0.060359026954339 , 0.24753907738983838 , 0.22111321122888863
39 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 5.307 , 5.307 , 3.328 , 3.328 , 1.56 , 0.939 , 56.428 , 1.409809381225094 , 459.7809467099198 , 397.08354488583984 , 36.172 , 0.134 , 72.63433063942965 , 0.053196924703604584 , 0.34625154210708975 , 0.054410762495074635 , 0.2340325427213883 , 0.21683251477821905
38 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 5.307 , 5.307 , 3.769 , 3.769 , 1.568 , 0.936 , 60.001 , 1.510449796256099 , 459.7809467099198 , 436.79189937442385 , 38.266 , 0.134 , 73.07523852179148 , 0.05376060439144267 , 0.3438810197536829 , 0.05782071909374278 , 0.2429164940904476 , 0.21683251477821905
28 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 5.574 , 5.574 , 4.912 , 4.912 , 1.681 , 0.941 , 65.83 , 1.8966720283638794 , 450.3976620831868 , 495.4374282915054 , 39.161 , 0.149 , 74.48607613759 , 0.05664001810176985 , 0.37559042123843367 , 0.0687116158212015 , 0.2745567534718322 , 0.22111321122888863
