Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
36 , 4.199999999999999 , 0.6 , 0.6 , 78 , 48 , 30 , 156 , 6 , 2.954 , 2.954 , 5.238 , 5.238 , 1.289 , 0.964 , 14.439 , 1.0003493885446364 , 48.97075172058319 , 78.3532027529331 , 11.202 , 0.276 , 86.69257355369666 , 0.04898932408066988 , 0.024692558285971743 , 0.01492420171918245 , 0.11753646032567541 , 0.12772331402401257
41 , 5.090909090909091 , 0.7 , 0.7 , 55 , 50 , 30 , 135 , 5 , 3.877 , 3.877 , 6.787 , 6.787 , 1.279 , 0.96 , 17.501 , 1.4920219953704035 , 71.43369913319354 , 119.05616522198925 , 13.683 , 0.263 , 89.16432105542614 , 0.039035771383489216 , 0.04036266418519703 , 0.0185222293083215 , 0.1281407321470398 , 0.13443065031066267
49 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 5.759 , 5.759 , 8.411 , 8.411 , 1.133 , 0.95 , 20.995 , 2.066835814408755 , 119.3662073189215 , 187.57546864401954 , 18.53 , 0.151 , 89.66943661882507 , 0.02751684864243407 , 0.061804761422032506 , 0.02195008207344765 , 0.12381870401977607 , 0.13360459601133695
49 , 7.027777777777778 , 0.7 , 0.7 , 36 , 56 , 32 , 124 , 4 , 8.062 , 8.062 , 13.28 , 13.28 , 1.16 , 0.955 , 24.16 , 3.5181220128802773 , 136.418522650196 , 238.73241463784296 , 20.828 , 0.149 , 96.84221569388251 , 0.02746480682300942 , 0.07870975065093837 , 0.03047739681969146 , 0.14905291180203767 , 0.12643217599205492
39 , 8.0 , 1.0 , 1.0 , 18 , 42 , 30 , 90 , 3 , 13.656 , 13.656 , 13.929 , 13.929 , 1.166 , 0.938 , 27.502 , 4.80754664941659 , 254.64790894703256 , 356.5070725258456 , 23.587 , 0.134 , 103.08513110529924 , 0.018962278577931823 , 0.11815241812944612 , 0.03292499475633865 , 0.15676648917879135 , 0.12386715104171905
36 , 9.000000000000002 , 0.9 , 0.9 , 18 , 48 , 33 , 99 , 3 , 16.733 , 16.733 , 17.434 , 17.434 , 1.228 , 0.939 , 30.94 , 6.182206722654449 , 282.94212105225836 , 411.5521760760122 , 25.195 , 0.134 , 109.66748120036573 , 0.018338398443756305 , 0.1494758078349172 , 0.04002131330132383 , 0.1823315218830297 , 0.12482633991159824
38 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 16.68 , 16.68 , 21.009 , 21.009 , 1.314 , 0.937 , 35.581 , 6.978262675844289 , 282.94212105225836 , 481.0016057888392 , 27.078 , 0.149 , 113.18906839400441 , 0.019376391369828834 , 0.16048743673255506 , 0.04757817596553153 , 0.21819004442338663 , 0.13360459601133695
33 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 20.993 , 20.993 , 26.33 , 26.33 , 1.356 , 0.939 , 39.065 , 8.942887758261572 , 318.30988618379064 , 549.8079852265474 , 28.809 , 0.134 , 122.82270635463112 , 0.01870078708733351 , 0.1959812609000835 , 0.05713637166057976 , 0.2505709570553786 , 0.12967080301793618
32 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 20.993 , 20.993 , 29.818 , 29.818 , 1.377 , 0.936 , 41.539 , 9.666164134927255 , 318.30988618379064 , 604.7887837492023 , 30.166 , 0.134 , 126.31120828101047 , 0.019513224417211143 , 0.1902339133413456 , 0.06261012035661602 , 0.2739839005508619 , 0.12967080301793618
26 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 22.05 , 22.05 , 38.867 , 38.867 , 1.492 , 0.941 , 45.575 , 11.79399897138858 , 311.81376605759084 , 685.9902853266998 , 30.546 , 0.149 , 136.41706281713678 , 0.022557204697027978 , 0.19752542324265587 , 0.07879635708124426 , 0.34146747233941727 , 0.1321233587941939
