Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
4 , 4.025 , 0.5 , 0.5 , 36 , 33 , 30 , 99 , 3 , 3.795 , 4.0 , 4.0 , 4.0 , 1.071 , 0.955 , 13.837 , 0.760572186673315 , 254.64790894703256 , 280.11269984173583 , 12.92 , 0.038 , 80.5 , 0.06497072789017613 , 0.025459918468635635 , 0.03696142661810647 , 0.16642307936176695 , 0.1907358890981618
11 , 5.133333333333333 , 0.6 , 0.6 , 27 , 36 , 30 , 93 , 3 , 3.843 , 4.0 , 4.0 , 4.0 , 1.12 , 0.949 , 17.647 , 0.8215536243088759 , 282.94212105225836 , 339.53054526271006 , 15.756 , 0.05 , 80.5 , 0.058328768774965775 , 0.04990698903655025 , 0.041234031896896735 , 0.17286289364015986 , 0.1907358890981618
15 , 6.0375 , 0.7 , 0.7 , 24 , 39 , 30 , 93 , 3 , 3.3 , 4.0 , 4.0 , 4.0 , 1.228 , 0.946 , 20.755 , 0.9355545780491332 , 272.83704530039205 , 354.68815889050967 , 16.901 , 0.081 , 82.5 , 0.0604650714143609 , 0.08243094823278582 , 0.04754121111796814 , 0.19071948213052844 , 0.1907358890981618
22 , 7.2 , 0.7 , 0.7 , 21 , 42 , 30 , 93 , 3 , 3.948 , 3.948 , 4.273 , 4.273 , 1.235 , 0.942 , 24.752 , 0.994922203281742 , 311.81376605759084 , 436.5392724806272 , 20.042 , 0.081 , 82.72097237361135 , 0.05362227469763244 , 0.09222319542274585 , 0.04990473384315396 , 0.19505719570970526 , 0.1907358890981618
28 , 8.064935064935064 , 0.7 , 0.7 , 21 , 48 , 33 , 102 , 3 , 3.918 , 3.918 , 4.33 , 4.33 , 1.323 , 0.944 , 27.725 , 1.0845720498244489 , 311.81376605759084 , 453.5472960837684 , 20.956 , 0.103 , 83.74890811863699 , 0.05365949282054206 , 0.12133596257148105 , 0.05492694737043782 , 0.2075845267871675 , 0.1907358890981618
37 , 9.1 , 0.7 , 0.7 , 24 , 54 , 30 , 108 , 3 , 3.243 , 3.243 , 4.85 , 4.85 , 1.408 , 0.945 , 31.283 , 1.1364618164721314 , 272.83704530039205 , 491.1066815407057 , 22.218 , 0.128 , 83.59275666474446 , 0.060626478734099744 , 0.11975192823425909 , 0.0631102393334422 , 0.2284643736665805 , 0.20649069099930165
41 , 10.545454545454547 , 0.8 , 0.8 , 18 , 54 , 33 , 105 , 3 , 3.684 , 3.684 , 4.359 , 4.359 , 1.528 , 0.939 , 36.253 , 1.2584889478349515 , 318.30988618379064 , 520.8707228462029 , 23.726 , 0.134 , 83.54218182923712 , 0.05243989070662766 , 0.18502417798690288 , 0.06429479353427524 , 0.2395720289957866 , 0.23112410686333998
34 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 3.674 , 3.674 , 4.608 , 4.608 , 1.571 , 0.939 , 39.065 , 1.3494691894375717 , 318.30988618379064 , 549.8079852265474 , 24.866 , 0.134 , 83.78147361206045 , 0.05274581383216021 , 0.20193599948680888 , 0.0688358788979183 , 0.25255574506163797 , 0.24573977355147344
31 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 3.674 , 3.674 , 5.218 , 5.218 , 1.576 , 0.936 , 41.539 , 1.4821774773745118 , 318.30988618379064 , 604.7887837492023 , 26.357 , 0.134 , 84.39196144917683 , 0.05352629339993601 , 0.19364607944180579 , 0.07372809074297891 , 0.2650862753924872 , 0.24573977355147344
31 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 3.859 , 3.859 , 6.802 , 6.802 , 1.672 , 0.941 , 45.575 , 1.9229257932239745 , 311.81376605759084 , 685.9902853266998 , 27.258 , 0.149 , 86.16048599299893 , 0.05687238016797929 , 0.19756076378229853 , 0.08895718569704028 , 0.3062376077174645 , 0.2503876240085772
25 , 14.000000000000002 , 0.7 , 0.7 , 18 , 66 , 33 , 117 , 3 , 4.766 , 4.766 , 6.996 , 6.996 , 1.671 , 0.938 , 48.128 , 2.1475569198445807 , 363.78272706718934 , 727.5654541343786 , 28.802 , 0.134 , 87.26229670197736 , 0.05082490386759615 , 0.2474828256214326 , 0.09104120266075993 , 0.30605862775835224 , 0.24389136065090686
19 , 15.299999999999999 , 0.6 , 0.6 , 24 , 78 , 30 , 132 , 3 , 4.344 , 4.344 , 9.624 , 9.624 , 1.763 , 0.944 , 52.598 , 2.669391022939532 , 318.3098861837907 , 827.6057040778558 , 29.834 , 0.149 , 89.46786771199478 , 0.06001559733887654 , 0.21401960810052545 , 0.11549736103147425 , 0.37151000784944244 , 0.2531947239095966
13 , 16.107142857142858 , 0.6 , 0.6 , 18 , 81 , 42 , 141 , 3 , 6.433 , 6.433 , 8.669 , 8.669 , 1.855 , 0.943 , 55.372 , 2.9898810011471095 , 424.4131815783876 , 818.5111359011762 , 29.85 , 0.134 , 90.60175359788296 , 0.04770489283612537 , 0.36976976583216575 , 0.11234886345340266 , 0.35740392836175294 , 0.2531947239095966
10 , 17.875000000000004 , 0.6 , 0.6 , 18 , 81 , 36 , 135 , 3 , 6.433 , 6.433 , 10.504 , 10.504 , 1.879 , 0.939 , 61.45 , 3.3871759326218376 , 424.4131815783876 , 954.9296585513723 , 32.704 , 0.134 , 92.43700285156642 , 0.0490246745453906 , 0.35052424787934344 , 0.1272966482294714 , 0.3970509614518753 , 0.2531947239095966
7 , 18.083333333333332 , 0.6 , 0.6 , 18 , 75 , 30 , 123 , 3 , 6.452 , 6.452 , 12.302 , 12.302 , 1.812 , 0.935 , 62.166 , 3.6922021810315 , 424.4131815783876 , 1061.032953945969 , 34.308 , 0.134 , 94.2542926681358 , 0.05033154109527665 , 0.2869182562960165 , 0.13410877499842105 , 0.4089525013641072 , 0.23112410686333992
7 , 19.000000000000004 , 0.6 , 0.6 , 18 , 81 , 33 , 132 , 3 , 6.433 , 6.433 , 11.748 , 11.748 , 1.898 , 0.937 , 65.317 , 3.659531094715472 , 424.4131815783876 , 1041.741445692406 , 34.414 , 0.134 , 93.68136191439817 , 0.049919529741537724 , 0.34070018492988 , 0.13755184839194076 , 0.42397048682335325 , 0.2531947239095966
4 , 20.35 , 0.6 , 0.6 , 18 , 81 , 30 , 129 , 3 , 6.433 , 6.433 , 13.313 , 13.313 , 1.925 , 0.935 , 69.958 , 4.003980454054933 , 424.4131815783876 , 1145.9155902616467 , 36.342 , 0.134 , 95.24624510433395 , 0.05104488326344691 , 0.3305108508508909 , 0.15051136668483958 , 0.45785236934749285 , 0.2531947239095966


Running Time (sec)
282.4373211860657
