Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
37 , 4.1558441558441555 , 0.8 , 0.8 , 44 , 36 , 28 , 108 , 4 , 4.913 , 4.913 , 3.174 , 3.174 , 1.042 , 0.956 , 14.287 , 0.7473679076267292 , 97.66326053366303 , 62.783524628783375 , 13.711 , 0.149 , 83.58704226672468 , 0.029941294246921952 , 0.04932255270985446 , 0.009595077534501822 , 0.08613337935928003 , 0.10956463014115449
47 , 5.126984126984128 , 0.9 , 0.9 , 36 , 40 , 28 , 104 , 4 , 4.963 , 4.963 , 3.398 , 3.398 , 1.1 , 0.952 , 17.625 , 0.8669454492034474 , 106.1032953945969 , 75.78806813899777 , 16.023 , 0.151 , 83.86100912184084 , 0.02652557834679755 , 0.06869254683522895 , 0.01084860931583342 , 0.09552000403518583 , 0.1277233140240126
53 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 5.759 , 5.759 , 4.205 , 4.205 , 1.131 , 0.95 , 20.995 , 1.2236585376056197 , 119.3662073189215 , 93.78773432200977 , 18.563 , 0.151 , 85.46409815549653 , 0.02359932298301801 , 0.08693545089048016 , 0.012636134590364525 , 0.104123294646852 , 0.13360459601133695
59 , 7.199999999999999 , 0.7 , 0.7 , 40 , 56 , 28 , 124 , 4 , 7.052 , 7.052 , 7.14 , 7.14 , 1.175 , 0.953 , 24.752 , 2.106647625095416 , 122.7766703851764 , 122.77667038517639 , 21.066 , 0.151 , 89.69199818727441 , 0.02632875576817709 , 0.10714899771662915 , 0.01781631345973187 , 0.12333096521867024 , 0.1309763169778766
48 , 8.064935064935066 , 0.6 , 0.6 , 44 , 64 , 28 , 136 , 4 , 8.483 , 8.483 , 10.136 , 10.136 , 1.193 , 0.954 , 27.725 , 3.0082031816979677 , 130.2176807115507 , 148.8202065274865 , 23.24 , 0.149 , 94.1192961789637 , 0.027478266297541624 , 0.12563702808527735 , 0.02263454707869737 , 0.1388830046633218 , 0.12578876336527353
47 , 9.36734693877551 , 0.5 , 0.5 , 56 , 80 , 28 , 164 , 4 , 9.122 , 9.122 , 14.429 , 14.429 , 1.307 , 0.957 , 32.203 , 4.1022040644243605 , 122.7766703851764 , 175.39524340739484 , 24.639 , 0.151 , 99.05047466864595 , 0.03456913378359414 , 0.1691085869416798 , 0.031128022435547964 , 0.17515111109287906 , 0.13360459601133695
48 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 16.68 , 16.68 , 10.505 , 10.505 , 1.276 , 0.937 , 35.581 , 4.8395261842205715 , 282.94212105225836 , 240.5008028944196 , 27.885 , 0.149 , 102.68441163366114 , 0.016280128574532274 , 0.18609097254145715 , 0.025374370978684526 , 0.1646732703629128 , 0.13360459601133695
42 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 20.993 , 20.993 , 13.165 , 13.165 , 1.307 , 0.939 , 39.065 , 6.260590431118299 , 318.30988618379064 , 274.9039926132737 , 29.889 , 0.134 , 109.65779154060081 , 0.015634809637615387 , 0.22410086580873034 , 0.030107982491575484 , 0.18471956928623506 , 0.12967080301793618
35 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 20.993 , 20.993 , 14.909 , 14.909 , 1.32 , 0.936 , 41.539 , 6.628265393246908 , 318.30988618379064 , 302.3943918746011 , 31.469 , 0.134 , 111.40204250379048 , 0.016041028302554203 , 0.22488380424136867 , 0.032804424542141906 , 0.19638560873652502 , 0.12967080301793618
27 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 22.05 , 22.05 , 19.434 , 19.434 , 1.418 , 0.941 , 45.575 , 7.8337633918090095 , 311.81376605759084 , 342.9951426633499 , 32.14 , 0.149 , 116.98337812672969 , 0.01784074920581741 , 0.24977906620030718 , 0.04086216464418579 , 0.23300361969458505 , 0.1321233587941939
24 , 14.000000000000002 , 0.7 , 0.7 , 18 , 66 , 33 , 117 , 3 , 27.234 , 27.234 , 19.989 , 19.989 , 1.437 , 0.938 , 48.128 , 9.00548865842178 , 363.78272706718934 , 363.7827270671893 , 33.492 , 0.134 , 122.72376043505352 , 0.015581556430265747 , 0.2910025077456145 , 0.0419468395334011 , 0.2403069563873405 , 0.1286954412290763
