Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
3 , 4.025 , 0.5 , 0.5 , 36 , 33 , 30 , 99 , 3 , 3.795 , 4.0 , 4.0 , 4.0 , 1.101 , 0.955 , 13.837 , 0.7906953254975004 , 254.64790894703256 , 140.05634992086792 , 12.568 , 0.038 , 80.5 , 0.06497072789017613 , 0.05558305729282109 , 0.03696142661810647 , 0.16642307936176695 , 0.1907358890981618
1 , 5.133333333333334 , 0.5 , 0.5 , 27 , 36 , 30 , 93 , 3 , 5.534 , 5.534 , 2.792 , 2.792 , 1.07 , 0.949 , 17.647 , 0.8369598511152587 , 339.53054526271 , 203.71832715762602 , 16.493 , 0.038 , 80.82610312154387 , 0.05004316549905702 , 0.05250050294863004 , 0.027255498196447854 , 0.1519504137153162 , 0.1907358890981618
5 , 6.76 , 0.5 , 0.5 , 30 , 48 , 30 , 108 , 3 , 4.723 , 4.723 , 3.38 , 3.38 , 1.145 , 0.95 , 23.239 , 0.8650661230174888 , 305.5774907364391 , 244.46199258915124 , 20.296 , 0.05 , 80.60261667917203 , 0.05443156552603236 , 0.08753956187738665 , 0.035502165219592284 , 0.1649890762940859 , 0.1907358890981618
10 , 7.200000000000001 , 0.6 , 0.6 , 21 , 42 , 30 , 93 , 3 , 5.373 , 5.373 , 2.908 , 2.908 , 1.151 , 0.942 , 24.752 , 0.9228135370262625 , 363.78272706718934 , 254.64790894703256 , 21.505 , 0.05 , 80.78134771400046 , 0.04741769868818712 , 0.10408543907289251 , 0.03304951985264318 , 0.16050090028656716 , 0.1907358890981618
12 , 8.0 , 0.5 , 0.5 , 30 , 60 , 36 , 126 , 3 , 4.672 , 4.672 , 3.352 , 3.352 , 1.269 , 0.954 , 27.502 , 0.9652955807028178 , 305.5774907364391 , 254.64790894703253 , 21.672 , 0.081 , 82.523768020193 , 0.05432218591675334 , 0.13877294956112665 , 0.040682772637058585 , 0.1821136046194045 , 0.1907358890981618
18 , 9.0 , 0.5 , 0.5 , 33 , 66 , 33 , 132 , 3 , 4.1 , 4.1 , 4.0 , 4.0 , 1.36 , 0.954 , 30.94 , 1.072759533993568 , 277.7977188513082 , 277.79771885130816 , 22.75 , 0.103 , 83.59950298801446 , 0.05955422773206016 , 0.15988853685112334 , 0.048151583300652466 , 0.20152004409364083 , 0.1907358890981618
20 , 10.5 , 0.6 , 0.6 , 24 , 60 , 30 , 114 , 3 , 4.392 , 4.392 , 3.678 , 3.678 , 1.428 , 0.944 , 36.096 , 1.1527421188737308 , 318.3098861837907 , 318.3098861837907 , 25.277 , 0.128 , 83.56928082542234 , 0.05247453548010865 , 0.18529206888187075 , 0.04686084636878629 , 0.20344631443168504 , 0.1907358890981618
27 , 11.200000000000001 , 0.7 , 0.7 , 18 , 54 , 30 , 102 , 3 , 4.811 , 4.811 , 3.223 , 3.223 , 1.45 , 0.937 , 38.503 , 1.1833598599456367 , 363.78272706718934 , 327.4044543604703 , 26.554 , 0.128 , 83.53438106744315 , 0.0471759640232444 , 0.21181123946210156 , 0.0444959604127266 , 0.20005807453165395 , 0.19462452892283036
23 , 12.083333333333336 , 0.7 , 0.7 , 18 , 57 , 30 , 105 , 3 , 4.798 , 4.798 , 3.408 , 3.408 , 1.492 , 0.936 , 41.539 , 1.260669552807985 , 363.78272706718934 , 345.5935907138298 , 27.841 , 0.128 , 83.70618114372351 , 0.04734412451963406 , 0.23485906227267198 , 0.04750582576601856 , 0.20908425538256864 , 0.20649069099930165
25 , 13.000000000000002 , 0.7 , 0.7 , 18 , 60 , 30 , 108 , 3 , 4.787 , 4.787 , 3.593 , 3.593 , 1.537 , 0.936 , 44.691 , 1.3403622627807747 , 363.78272706718934 , 363.7827270671893 , 29.077 , 0.128 , 83.87927818476624 , 0.04751355450462327 , 0.2594153012112485 , 0.050613330880782056 , 0.21855590995774093 , 0.21865721697947152
