Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 133.5 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
46 , 4.085714285714285 , 0.7 , 0.7 , 84 , 48 , 30 , 162 , 6 , 4.377 , 4.377 , 7.868 , 7.868 , 1.822 , 0.964 , 30.887 , 2.342441863303197 , 85.71269610958083 , 137.1403137753293 , 16.952 , 0.324 , 95.34557521542911 , 0.08990797632896526 , 0.05187848237319838 , 0.024915666409347847 , 0.15520367380565958 , 0.17191307472744966
51 , 5.1269841269841265 , 1.1 , 1.1 , 36 , 40 , 28 , 104 , 4 , 7.306 , 7.306 , 10.005 , 10.005 , 1.786 , 0.952 , 38.759 , 3.343163202325468 , 190.90555042588457 , 272.7222148941208 , 21.702 , 0.297 , 100.41089768222668 , 0.052687525948889126 , 0.10412235660686515 , 0.030857018312763565 , 0.17217117556399336 , 0.17490578353527467
62 , 6.107142857142857 , 1.1 , 1.1 , 32 , 44 , 28 , 104 , 4 , 8.478 , 8.478 , 12.381 , 12.381 , 1.853 , 0.95 , 46.169 , 4.125293490225041 , 214.76874422912013 , 337.4937409314745 , 24.916 , 0.297 , 103.95893303907616 , 0.04771452753947442 , 0.13833083877548444 , 0.03723009443288942 , 0.19913867283015788 , 0.1832543341626517
73 , 7.027777777777778 , 0.9 , 0.9 , 36 , 56 , 32 , 124 , 4 , 10.725 , 10.725 , 17.667 , 17.667 , 1.957 , 0.955 , 53.129 , 5.724887772960974 , 233.32900607608116 , 408.325760633142 , 27.148 , 0.297 , 111.49163638975297 , 0.05014180394694271 , 0.18038012214486923 , 0.05019966737675401 , 0.24833400017492666 , 0.18556140105524577
64 , 8.25 , 0.9 , 0.9 , 32 , 56 , 28 , 116 , 4 , 12.51 , 12.51 , 23.674 , 23.674 , 1.979 , 0.949 , 62.369 , 7.316858288952352 , 262.4951318355913 , 524.9902636711826 , 31.515 , 0.276 , 119.28369966516787 , 0.048024458460104266 , 0.19764910158719728 , 0.06186117916798496 , 0.29425845120643684 , 0.17867901538301728
60 , 9.126984126984127 , 0.8 , 0.8 , 36 , 64 , 28 , 128 , 4 , 13.493 , 13.493 , 30.573 , 30.573 , 2.074 , 0.951 , 68.999 , 8.98458597560588 , 262.4951318355913 , 599.9888727670657 , 33.269 , 0.276 , 127.1657754380031 , 0.05536708601762633 , 0.21073061364760037 , 0.07737419786559423 , 0.35970573089571345 , 0.18172347753158044
56 , 10.350000000000001 , 1.1 , 1.1 , 18 , 51 , 30 , 99 , 3 , 24.554 , 24.554 , 30.928 , 30.928 , 2.222 , 0.937 , 78.245 , 11.445246455854939 , 509.0814678023588 , 865.4384952640099 , 35.214 , 0.276 , 138.5823579147274 , 0.03407957891582598 , 0.36016297260265584 , 0.08296584808833306 , 0.38067122086886074 , 0.1832543341626517
42 , 11.363636363636363 , 1.0 , 1.0 , 18 , 57 , 33 , 108 , 3 , 29.546 , 29.546 , 37.057 , 37.057 , 2.337 , 0.939 , 85.907 , 13.7798266245544 , 559.9896145825949 , 967.254788824482 , 36.76 , 0.263 , 149.70232746207338 , 0.03316027257738835 , 0.4419639174917789 , 0.09786678232051749 , 0.43903905599755877 , 0.1832543341626517
47 , 12.083333333333334 , 1.0 , 1.0 , 18 , 57 , 30 , 105 , 3 , 29.546 , 29.546 , 41.967 , 41.967 , 2.378 , 0.936 , 91.348 , 14.80745477669785 , 559.9896145825949 , 1063.9802677069301 , 38.414 , 0.263 , 154.6120709140146 , 0.034946882446332185 , 0.43064476131704627 , 0.10739985074081394 , 0.4862336809735675 , 0.1832543341626517
49 , 13.090909090909093 , 0.9 , 0.9 , 18 , 63 , 33 , 114 , 3 , 36.305 , 36.305 , 50.703 , 50.703 , 2.546 , 0.938 , 98.965 , 18.071269131496447 , 622.2106828695498 , 1187.856758205504 , 38.871 , 0.263 , 170.10860920208222 , 0.03391339745856198 , 0.518593843004417 , 0.12617291091108007 , 0.560939878153821 , 0.17867901538301728
