Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 133.5 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
21 , 4.020979020979022 , 0.7 , 0.7 , 39 , 36 , 33 , 108 , 3 , 3.824 , 4.0 , 4.0 , 4.0 , 1.765 , 0.958 , 30.398 , 1.448452468854287 , 369.2239217028097 , 402.7897327667015 , 17.223 , 0.128 , 88.1 , 0.11042542177657916 , 0.08369525097664604 , 0.054662219915951944 , 0.23800032825954315 , 0.2611353817707244
30 , 5.133333333333333 , 0.9 , 0.9 , 27 , 36 , 30 , 93 , 3 , 3.756 , 4.0 , 4.0 , 4.0 , 1.831 , 0.949 , 38.807 , 1.5325883248784666 , 414.80712191303314 , 497.76854629563974 , 21.194 , 0.134 , 88.1 , 0.09372341932312625 , 0.13425487584549983 , 0.0601555695601109 , 0.24312405491960143 , 0.2611353817707244
41 , 6.333333333333333 , 0.7 , 0.7 , 36 , 48 , 28 , 112 , 4 , 3.126 , 3.126 , 5.209 , 5.209 , 1.855 , 0.952 , 47.879 , 1.6186496632927527 , 299.9944363835329 , 514.2761766574848 , 25.811 , 0.134 , 88.43494114144738 , 0.09984148195207843 , 0.12634119503801722 , 0.06899273698296773 , 0.26380727584193425 , 0.2611353817707244
52 , 7.027777777777778 , 0.7 , 0.7 , 36 , 56 , 32 , 124 , 4 , 3.103 , 3.103 , 5.111 , 5.111 , 1.941 , 0.955 , 53.129 , 1.6741313029838294 , 299.9944363835329 , 524.9902636711826 , 27.372 , 0.149 , 88.31329481274992 , 0.09936520493379901 , 0.17542256103437925 , 0.07483080578100289 , 0.2662657990737166 , 0.2611353817707244
52 , 8.0 , 1.1 , 1.1 , 18 , 42 , 30 , 90 , 3 , 4.343 , 4.343 , 4.43 , 4.43 , 2.057 , 0.938 , 60.479 , 1.9364002095991961 , 509.0814678023588 , 712.7140549233023 , 29.402 , 0.151 , 88.87339310961126 , 0.07418118885239158 , 0.2719106338950178 , 0.07604857249935222 , 0.27137006077532344 , 0.27868598180698706
55 , 9.0 , 1.1 , 1.1 , 18 , 48 , 33 , 99 , 3 , 4.311 , 4.311 , 4.491 , 4.491 , 2.415 , 0.939 , 68.039 , 2.296398155465188 , 509.0814678023588 , 740.4821349852491 , 28.173 , 0.263 , 91.90218556233594 , 0.07425078233676062 , 0.3492516648754103 , 0.08414707246072224 , 0.3273362609733029 , 0.32367773613701417
49 , 10.0 , 1.0 , 1.0 , 21 , 54 , 30 , 105 , 3 , 4.197 , 4.197 , 5.964 , 5.964 , 2.46 , 0.941 , 75.599 , 2.6099966574417537 , 479.99109821365266 , 863.9839767845748 , 30.731 , 0.263 , 93.26051109335577 , 0.08346861418810177 , 0.3290321849485355 , 0.10123587326675933 , 0.37255915766120473 , 0.3364631241398554
49 , 11.363636363636363 , 1.0 , 1.0 , 18 , 57 , 33 , 108 , 3 , 5.17 , 5.17 , 6.485 , 6.485 , 2.606 , 0.939 , 85.907 , 3.0599476905462124 , 559.9896145825949 , 967.254788824482 , 32.965 , 0.263 , 94.75540730586285 , 0.07227270258941892 , 0.44721615151015204 , 0.11126014158237832 , 0.3988544756157762 , 0.3472861857208294
51 , 12.083333333333334 , 1.0 , 1.0 , 18 , 57 , 30 , 105 , 3 , 5.17 , 5.17 , 7.344 , 7.344 , 2.618 , 0.936 , 91.348 , 3.2483937207873304 , 559.9896145825949 , 1063.9802677069301 , 34.892 , 0.263 , 95.61461240995256 , 0.0739890349722592 , 0.43201622901849657 , 0.11996044128619182 , 0.42304852330721415 , 0.3472861857208294
59 , 13.090909090909093 , 0.9 , 0.9 , 18 , 63 , 33 , 114 , 3 , 6.353 , 6.353 , 8.873 , 8.873 , 2.737 , 0.938 , 98.965 , 3.905946396487318 , 622.2106828695498 , 1187.856758205504 , 36.158 , 0.263 , 98.32650661036439 , 0.0700215539707518 , 0.5160958339327875 , 0.13762882735343654 , 0.4646920083709986 , 0.3386154767048789
