Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
32 , 4.384615384615384 , 0.6 , 0.6 , 52 , 44 , 32 , 128 , 4 , 4.722 , 4.722 , 3.282 , 3.282 , 0.709 , 0.961 , 10.049 , 0.38754102214895947 , 73.45612758087478 , 50.50108771185141 , 14.173 , 0.134 , 67.00404958763646 , 0.024604335636039466 , 0.03846104066788779 , 0.008786424558105273 , 0.08216690566118892 , 0.08224486368885245
40 , 5.059523809523809 , 0.5 , 0.5 , 70 , 55 , 30 , 155 , 5 , 3.832 , 4.0 , 4.0 , 4.0 , 0.769 , 0.962 , 11.596 , 0.44475814611668785 , 52.38471269767526 , 48.01931997286899 , 15.079 , 0.149 , 67.0 , 0.029544216683769754 , 0.053821108797523116 , 0.010192308315949538 , 0.08728490680291924 , 0.0863678798343272
52 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 3.839 , 4.0 , 4.0 , 4.0 , 0.826 , 0.95 , 13.997 , 0.5259992373718243 , 79.57747154594767 , 62.52515621467318 , 16.946 , 0.151 , 67.0 , 0.021769647443494557 , 0.07357341174907116 , 0.012181352726698475 , 0.0984999051581346 , 0.11127417506457479
58 , 7.199999999999999 , 0.7 , 0.7 , 40 , 56 , 28 , 124 , 4 , 4.701 , 4.701 , 4.76 , 4.76 , 0.834 , 0.953 , 16.501 , 0.8198571690490304 , 81.8511135901176 , 81.8511135901176 , 19.785 , 0.151 , 68.4613321248496 , 0.022163283247443478 , 0.0749994946061486 , 0.01290856589150628 , 0.10510307759802874 , 0.10894239954576027
48 , 8.064935064935066 , 0.6 , 0.6 , 44 , 64 , 28 , 136 , 4 , 5.656 , 5.656 , 6.757 , 6.757 , 0.838 , 0.954 , 18.483 , 1.412182033303461 , 86.81178714103382 , 99.21347101832434 , 22.056 , 0.149 , 71.41286411930913 , 0.022620061951122962 , 0.08690562815535818 , 0.016062319430053044 , 0.11453217609808472 , 0.1043478529624488
47 , 9.36734693877551 , 0.5 , 0.5 , 56 , 80 , 28 , 164 , 4 , 6.081 , 6.081 , 9.619 , 9.619 , 0.922 , 0.957 , 21.468 , 2.147708458707098 , 81.8511135901176 , 116.93016227159657 , 23.284 , 0.151 , 74.70031644576396 , 0.027656868591054845 , 0.11611785028483364 , 0.021729128812114744 , 0.13969177130411783 , 0.11127417506457479
48 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 11.12 , 11.12 , 7.003 , 7.003 , 0.894 , 0.937 , 23.72 , 2.6448159200807475 , 188.6280807015056 , 160.33386859627976 , 26.532 , 0.149 , 77.12294108910743 , 0.013609247006683641 , 0.12711396827125485 , 0.01797310264973553 , 0.13209743907715965 , 0.11127417506457479
42 , 11.363636363636363 , 0.8 , 0.8 , 18 , 57 , 33 , 108 , 3 , 13.995 , 13.995 , 8.777 , 8.777 , 0.903 , 0.939 , 26.044 , 3.5795473370459776 , 212.20659078919377 , 183.26932840884916 , 28.842 , 0.134 , 81.7718610270672 , 0.012983139900918896 , 0.15226782010217516 , 0.021098519435240725 , 0.1445987083072803 , 0.10778513734314273
35 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 13.995 , 13.995 , 9.939 , 9.939 , 0.912 , 0.936 , 27.693 , 3.8259698292515276 , 212.20659078919377 , 201.5962612497341 , 30.365 , 0.134 , 82.93469500252698 , 0.013253952344211438 , 0.15250885545457288 , 0.02286919260398387 , 0.15234911307583915 , 0.10778513734314273
27 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 14.7 , 14.7 , 12.956 , 12.956 , 0.987 , 0.941 , 30.383 , 4.637348632494387 , 207.87584403839392 , 228.6634284422333 , 30.783 , 0.149 , 86.65558541781981 , 0.014484814914805032 , 0.16887524024611308 , 0.028217433831832974 , 0.1775162309734355 , 0.10995972107442001
