Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 108.5 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
1 , 4.41 , 0.5 , 0.5 , 30 , 33 , 30 , 93 , 3 , 3.217 , 4.0 , 4.0 , 4.0 , 0.79 , 0.952 , 10.107 , 0.4869670164126336 , 203.71832715762605 , 112.04507993669434 , 12.794 , 0.038 , 64.0 , 0.054289214693200416 , 0.05063904261307804 , 0.034926852675825376 , 0.16516751044183325 , 0.1558626437739791
1 , 5.133333333333334 , 0.5 , 0.5 , 27 , 36 , 30 , 93 , 3 , 3.689 , 4.0 , 4.0 , 4.0 , 0.79 , 0.949 , 11.765 , 0.49128409938382944 , 226.3536968418067 , 135.812218105084 , 14.892 , 0.038 , 64.0 , 0.04967674308541544 , 0.0544677408499161 , 0.034926852675825376 , 0.16516751044183325 , 0.1558626437739791
2 , 6.133333333333334 , 0.5 , 0.5 , 27 , 42 , 30 , 99 , 3 , 3.656 , 4.0 , 4.0 , 4.0 , 0.803 , 0.949 , 14.057 , 0.5059805786648286 , 226.3536968418067 , 158.44758778926473 , 17.506 , 0.038 , 64.0 , 0.04967674308541544 , 0.06806794284772778 , 0.03696142661810647 , 0.16642307936176695 , 0.1558626437739791
2 , 7.857142857142857 , 0.5 , 0.5 , 21 , 45 , 30 , 96 , 3 , 5.138 , 5.138 , 2.997 , 2.997 , 0.788 , 0.942 , 18.007 , 0.5306572268605352 , 291.0261816537515 , 218.26963624031362 , 22.852 , 0.038 , 64.13554308013633 , 0.04200050290938441 , 0.07153267590321993 , 0.029392293627585064 , 0.15421322228991086 , 0.1558626437739791
2 , 8.727272727272727 , 0.5 , 0.5 , 21 , 51 , 33 , 105 , 3 , 5.104 , 5.104 , 3.011 , 3.011 , 0.842 , 0.944 , 20.001 , 0.5770932258091415 , 291.0261816537515 , 224.8838676415352 , 23.754 , 0.05 , 64.11482644344636 , 0.04198642113486255 , 0.09496487453794442 , 0.03198321324021168 , 0.15997299482586794 , 0.1558626437739791
3 , 9.595238095238095 , 0.5 , 0.5 , 21 , 57 , 36 , 114 , 3 , 5.076 , 5.076 , 3.019 , 3.019 , 0.868 , 0.946 , 21.991 , 0.5956085042579804 , 291.0261816537515 , 230.39572714255328 , 25.335 , 0.05 , 64.09477820992484 , 0.04197279369580297 , 0.12090058814645874 , 0.03454748636036297 , 0.1614896880408072 , 0.1558626437739791
2 , 10.12987012987013 , 0.5 , 0.5 , 21 , 57 , 33 , 111 , 3 , 5.076 , 5.076 , 3.375 , 3.375 , 0.871 , 0.943 , 23.216 , 0.6745061117456777 , 291.0261816537515 , 251.34079324642175 , 26.654 , 0.05 , 64.45082934951657 , 0.0422148132832978 , 0.11847298335902007 , 0.03636783877013797 , 0.16687815456399469 , 0.1558626437739791
6 , 12.0 , 0.5 , 0.5 , 24 , 66 , 30 , 120 , 3 , 4.198 , 4.198 , 3.893 , 3.893 , 0.975 , 0.944 , 27.502 , 0.7045398701773953 , 254.6479089470325 , 280.1126998417358 , 28.207 , 0.081 , 66.09119695606071 , 0.045630760746765656 , 0.1421325991862229 , 0.0432243453786351 , 0.18825694381129104 , 0.1558626437739791
6 , 12.0 , 0.5 , 0.5 , 24 , 66 , 30 , 120 , 3 , 4.198 , 4.198 , 3.893 , 3.893 , 0.975 , 0.944 , 27.502 , 0.7045398701773953 , 254.6479089470325 , 280.1126998417358 , 28.207 , 0.081 , 66.09119695606071 , 0.045630760746765656 , 0.1421325991862229 , 0.0432243453786351 , 0.18825694381129104 , 0.1558626437739791
7 , 13.5 , 0.5 , 0.5 , 24 , 75 , 33 , 132 , 3 , 4.176 , 4.176 , 3.916 , 3.916 , 1.076 , 0.946 , 30.94 , 0.8017537957579135 , 254.6479089470325 , 289.372623803446 , 28.755 , 0.103 , 67.09237807550943 , 0.04563180936124699 , 0.18450343618524817 , 0.04741746688173746 , 0.20071284580083154 , 0.15634588229931723
