Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 111.75 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
39 , 4.0857142857142845 , 0.6 , 0.6 , 84 , 48 , 30 , 162 , 6 , 3.01 , 3.01 , 5.411 , 5.411 , 1.544 , 0.964 , 15.606 , 1.2997619086502847 , 50.52537875933185 , 80.84060601493096 , 10.108 , 0.276 , 89.42151839376878 , 0.08081576634871053 , 0.025229308320183174 , 0.015865835525530406 , 0.12020028792664379 , 0.13698799312448273
43 , 5.090909090909091 , 0.7 , 0.7 , 55 , 50 , 30 , 135 , 5 , 4.308 , 4.308 , 7.541 , 7.541 , 1.532 , 0.96 , 19.446 , 1.9817069360554427 , 79.3707768146595 , 132.2846280244325 , 12.693 , 0.263 , 92.84924561714016 , 0.0652284363655729 , 0.04452825156153768 , 0.020207753528093873 , 0.13280749276321369 , 0.13782808641597918
45 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 6.399 , 6.399 , 9.345 , 9.345 , 1.389 , 0.95 , 23.328 , 2.637679611869144 , 132.62911924324612 , 208.4171873822439 , 16.795 , 0.151 , 93.7438184653612 , 0.053203549298180525 , 0.06827134794247021 , 0.02401984818079945 , 0.12989145588101467 , 0.13698799312448273
50 , 7.027777777777778 , 0.7 , 0.7 , 36 , 56 , 32 , 124 , 4 , 8.958 , 8.958 , 14.756 , 14.756 , 1.422 , 0.955 , 26.844 , 4.2542743268237 , 151.57613627799554 , 265.2582384864922 , 18.878 , 0.149 , 101.71357299320279 , 0.053376189149850053 , 0.08715446220800199 , 0.03352009971576216 , 0.15827239031006238 , 0.12969202997409834
41 , 8.0 , 1.0 , 1.0 , 18 , 42 , 30 , 90 , 3 , 15.173 , 15.173 , 15.477 , 15.477 , 1.432 , 0.938 , 30.558 , 5.687087624338046 , 282.9421210522584 , 396.1189694731618 , 21.339 , 0.134 , 108.6501456725547 , 0.04429767809696779 , 0.13083121683881013 , 0.0362276730387178 , 0.16709261392282387 , 0.1270820802488161
42 , 9.257142857142856 , 0.9 , 0.9 , 21 , 51 , 30 , 102 , 3 , 15.003 , 15.003 , 20.044 , 20.044 , 1.541 , 0.941 , 35.36 , 6.667586618173858 , 269.4686867164365 , 458.096767417942 , 22.946 , 0.149 , 113.0464449996224 , 0.04755897912893212 , 0.1471012975524007 , 0.04684388824992505 , 0.21298014352348263 , 0.14155118221488178
34 , 10.350000000000001 , 0.9 , 0.9 , 18 , 51 , 30 , 99 , 3 , 18.533 , 18.533 , 23.344 , 23.344 , 1.593 , 0.937 , 39.534 , 8.094628030200003 , 314.38013450250935 , 534.4462286542658 , 24.817 , 0.149 , 119.87674266000491 , 0.044830783718198125 , 0.1779661531042679 , 0.05251235485149754 , 0.23499496308091258 , 0.13698799312448273
37 , 11.0 , 0.8 , 0.8 , 18 , 60 , 39 , 117 , 3 , 23.269 , 23.269 , 24.951 , 24.951 , 1.692 , 0.942 , 42.017 , 9.451876800529046 , 353.677651315323 , 544.1194635620353 , 24.833 , 0.149 , 126.21962759748575 , 0.0431297403984113 , 0.2506374096122538 , 0.05858366325381298 , 0.2556675895270625 , 0.14104092662104123
34 , 12.212121212121213 , 0.8 , 0.8 , 18 , 60 , 33 , 111 , 3 , 23.269 , 23.269 , 30.839 , 30.839 , 1.728 , 0.939 , 46.647 , 10.67209194220557 , 353.677651315323 , 643.0502751187689 , 26.995 , 0.149 , 132.10713717780962 , 0.044500882700755306 , 0.23783859381795883 , 0.0681365377266492 , 0.29855012579025747 , 0.14104092662104123
29 , 13.0 , 0.8 , 0.8 , 18 , 60 , 30 , 108 , 3 , 23.269 , 23.269 , 34.928 , 34.928 , 1.754 , 0.936 , 49.656 , 11.521340707429012 , 353.677651315323 , 707.355302630646 , 28.31 , 0.149 , 136.19667441425494 , 0.045453295164021794 , 0.23121760907983158 , 0.07478924653299363 , 0.3280875104775286 , 0.14104092662104123
26 , 14.142857142857142 , 0.7 , 0.7 , 21 , 69 , 30 , 120 , 3 , 24.453 , 24.453 , 45.202 , 45.202 , 1.85 , 0.94 , 54.022 , 13.899783056685383 , 346.45974006398984 , 796.8574021471766 , 29.201 , 0.149 , 147.65531837051526 , 0.048898003745798724 , 0.2376294230960826 , 0.09336477549410031 , 0.4049828507044736 , 0.1425741193404097
