Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 111.75 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
37 , 4.107142857142857 , 0.6 , 0.6 , 70 , 45 , 30 , 145 , 5 , 4.479 , 4.479 , 3.639 , 3.639 , 1.334 , 0.963 , 15.688 , 1.0319243918738137 , 72.75654541343786 , 54.567409060078404 , 11.76 , 0.151 , 86.11763735122715 , 0.06459117053918056 , 0.06252599208682665 , 0.010620088037458933 , 0.09091980999318883 , 0.11749962575276303
49 , 5.090909090909091 , 0.7 , 0.7 , 55 , 50 , 30 , 135 , 5 , 4.308 , 4.308 , 3.771 , 3.771 , 1.543 , 0.96 , 19.446 , 1.239200000264175 , 79.3707768146595 , 66.14231401221625 , 12.603 , 0.263 , 89.07851066576956 , 0.058951129142563875 , 0.0841117989667841 , 0.011780132429232027 , 0.11520689312157056 , 0.13782808641597918
50 , 6.107142857142858 , 0.9 , 0.9 , 32 , 44 , 28 , 104 , 4 , 6.399 , 6.399 , 4.673 , 4.673 , 1.385 , 0.95 , 23.328 , 1.6997865586936811 , 132.62911924324612 , 104.20859369112195 , 16.843 , 0.151 , 89.07122017277392 , 0.04885074300994046 , 0.09516492395765509 , 0.01367101764404043 , 0.10800766768887682 , 0.13698799312448273
63 , 7.199999999999999 , 0.7 , 0.7 , 40 , 56 , 28 , 124 , 4 , 7.835 , 7.835 , 7.933 , 7.933 , 1.435 , 0.953 , 27.502 , 2.682125012931314 , 136.418522650196 , 136.418522650196 , 19.165 , 0.151 , 93.76888687474934 , 0.051937315901363974 , 0.117865498753456 , 0.019452229315807066 , 0.12940692775888407 , 0.13431478931607604
51 , 8.285714285714285 , 0.6 , 0.6 , 48 , 68 , 28 , 144 , 4 , 8.471 , 8.471 , 10.992 , 10.992 , 1.506 , 0.956 , 31.649 , 3.486983454625971 , 132.62911924324612 , 161.04964479537028 , 21.015 , 0.151 , 97.46304087063541 , 0.056668228617762426 , 0.15040274783414875 , 0.02564764466073573 , 0.15453452062666878 , 0.14104092662104123
51 , 9.0 , 0.5 , 0.5 , 60 , 80 , 28 , 168 , 4 , 9.37 , 9.37 , 14.974 , 14.974 , 1.574 , 0.958 , 34.377 , 4.526675952296161 , 127.32395447351627 , 181.89136353359464 , 21.841 , 0.151 , 102.34374913362441 , 0.06389692770019716 , 0.18179139114893975 , 0.03293387697324519 , 0.1814782751746388 , 0.14036184372295243
46 , 10.461538461538462 , 0.5 , 0.5 , 52 , 84 , 28 , 164 , 4 , 11.019 , 11.019 , 18.128 , 18.128 , 1.634 , 0.956 , 39.96 , 5.550436312150852 , 146.91225516174956 , 220.3683827426243 , 24.455 , 0.151 , 107.14683201189547 , 0.05902919829975297 , 0.21500882597563403 , 0.03835794060741968 , 0.20715909612013603 , 0.14036184372295243
46 , 11.022222222222219 , 0.7 , 0.7 , 27 , 66 , 30 , 123 , 3 , 17.372 , 17.372 , 16.833 , 16.833 , 1.628 , 0.947 , 42.102 , 6.574832259430197 , 269.46868671643654 , 296.4155553880802 , 25.861 , 0.151 , 112.20527500373069 , 0.047221510582868526 , 0.21526941094569674 , 0.037515314527584366 , 0.21477322794862022 , 0.1425741193404097
38 , 12.212121212121213 , 0.8 , 0.8 , 18 , 60 , 33 , 111 , 3 , 23.269 , 23.269 , 15.419 , 15.419 , 1.666 , 0.939 , 46.647 , 7.526801833264791 , 353.677651315323 , 321.52513755938446 , 27.999 , 0.149 , 116.68783366883555 , 0.04090988059275146 , 0.27410224662431615 , 0.0356484978220619 , 0.21442307380150563 , 0.14104092662104123
34 , 13.0 , 0.8 , 0.8 , 18 , 60 , 30 , 108 , 3 , 23.269 , 23.269 , 17.464 , 17.464 , 1.685 , 0.936 , 49.656 , 7.95902963431548 , 353.677651315323 , 353.677651315323 , 29.469 , 0.149 , 118.73260228705821 , 0.041386086824384695 , 0.2760221473185577 , 0.038934419927782404 , 0.22915133384768946 , 0.14104092662104123
