Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
2.0 , 2.0 , MIT , 111.75 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPlanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density, Outer_Bearing_mass, Actuator_width, Sun_mass, Planet_mass_total, Ring_mass, Gearbox_casing_mass, Motor_case_mass
2 , 4.84 , 0.5 , 0.5 , 30 , 36 , 30 , 96 , 3 , 5.333 , 5.333 , 2.798 , 2.798 , 1.436 , 0.951 , 18.487 , 1.1596365653427554 , 339.53054526271006 , 203.71832715762605 , 12.874 , 0.038 , 83.13096471297183 , 0.1874272146282766 , 0.05355868091290489 , 0.028086337197509074 , 0.15484439746746453 , 0.2034063845023519
3 , 5.625 , 0.5 , 0.5 , 30 , 45 , 36 , 111 , 3 , 5.265 , 5.265 , 2.777 , 2.777 , 1.501 , 0.955 , 21.486 , 1.199826693162668 , 339.53054526271006 , 212.20659078919377 , 14.314 , 0.05 , 83.04231507514822 , 0.1873042390079753 , 0.08854028060630638 , 0.03190633841010539 , 0.1608448374905747 , 0.2034063845023519
7 , 6.066666666666666 , 0.5 , 0.5 , 30 , 48 , 36 , 114 , 3 , 5.247 , 5.247 , 2.966 , 2.966 , 1.516 , 0.955 , 23.173 , 1.2487515716412414 , 339.53054526271006 , 226.3536968418067 , 15.286 , 0.05 , 83.21339574926886 , 0.18754156374542558 , 0.09959793716133418 , 0.03414257604849285 , 0.16447934139910303 , 0.2034063845023519
14 , 7.0 , 0.5 , 0.5 , 36 , 54 , 30 , 120 , 3 , 4.104 , 4.104 , 4.0 , 4.0 , 1.625 , 0.953 , 26.738 , 1.33895944508098 , 282.9421210522584 , 254.6479089470326 , 16.454 , 0.081 , 85.1037541196603 , 0.1981343096600235 , 0.11437563354750566 , 0.044082435416090276 , 0.19326611827452428 , 0.2034063845023519
16 , 8.0 , 0.5 , 0.5 , 36 , 60 , 30 , 126 , 3 , 4.084 , 4.084 , 3.941 , 3.941 , 1.702 , 0.953 , 30.558 , 1.4008527777937618 , 282.9421210522584 , 282.9421210522584 , 17.954 , 0.103 , 86.02460892445843 , 0.1979762106673329 , 0.1349017402642934 , 0.04562037272764651 , 0.2032217582468685 , 0.2034063845023519
22 , 9.015151515151516 , 0.5 , 0.5 , 36 , 69 , 33 , 138 , 3 , 4.06 , 4.06 , 4.01 , 4.01 , 1.796 , 0.955 , 34.435 , 1.499821682268356 , 282.9421210522584 , 295.8031265546338 , 19.173 , 0.128 , 86.06971812034622 , 0.1980663199710342 , 0.17641077762956794 , 0.05027853354606035 , 0.2113873221636639 , 0.2034063845023519
28 , 10.333333333333334 , 0.6 , 0.6 , 27 , 63 , 30 , 120 , 3 , 4.146 , 4.146 , 4.0 , 4.0 , 1.83 , 0.947 , 39.47 , 1.5650354745102029 , 314.38013450250935 , 330.0991412276348 , 21.568 , 0.128 , 86.14631843805311 , 0.19152184247163878 , 0.20681247681885456 , 0.05222073118521464 , 0.21565935702867206 , 0.21032701403858958
28 , 11.022222222222224 , 0.6 , 0.6 , 27 , 66 , 30 , 123 , 3 , 4.138 , 4.138 , 4.01 , 4.01 , 1.896 , 0.947 , 42.102 , 1.6312673994172195 , 314.38013450250935 , 345.8181479527603 , 22.206 , 0.134 , 86.14750647658309 , 0.19152376476688937 , 0.22354392475702717 , 0.05353412116130978 , 0.22527692722019893 , 0.2208918546105167
34 , 12.083333333333332 , 0.8 , 0.8 , 18 , 57 , 30 , 105 , 3 , 4.082 , 4.082 , 4.0 , 4.0 , 2.015 , 0.936 , 46.155 , 1.7589804964054685 , 353.677651315323 , 335.9937687495568 , 22.906 , 0.134 , 86.08194825238871 , 0.18544705462128386 , 0.30561603552575145 , 0.060359026954339 , 0.24171008580975256 , 0.2520239602413114
29 , 13.257142857142853 , 0.7 , 0.7 , 21 , 66 , 30 , 117 , 3 , 4.287 , 4.287 , 3.779 , 3.779 , 2.056 , 0.941 , 50.639 , 1.7878326184660753 , 346.45974006398984 , 381.10571407038884 , 24.63 , 0.149 , 86.06621241353078 , 0.1863724161558392 , 0.29786900102544456 , 0.05656427389569822 , 0.24400738769947217 , 0.2567516267867705
